Unity ID,Robot ID,Unity x Position,Unity y Position,Unity z Position,Robot x Position,Robot y Position,Robot z Position,Unity x Rotation,Unity y Rotation,Unity z Rotation,Unity w Rotation,Robot x Rotation,Robot y Rotation,Robot z Rotation,Robot w Rotation,Unity Time Stamp,Robot Time Stamp
0,0,0.1350821,0.9257997,1.072073,0.1345945,0.9267741,1.067035,0.002555419,-0.5585802,-0.05963851,0.8272997,-0.004719175,0.06642829,0.03135118,0.9972874,1654780234220,1654780104949
1,1,0.1350833,0.9257959,1.072032,0.1345945,0.9267741,1.067035,0.002564557,-0.5585851,-0.05963662,0.8272966,-0.004719175,0.06642829,0.03135118,0.9972874,1654780234246,1654780104972
2,2,0.1350874,0.9257779,1.071934,0.1345945,0.9267741,1.067035,0.002579952,-0.5585986,-0.05963143,0.8272878,-0.004719175,0.06642829,0.03135118,0.9972874,1654780234301,1654780105020
3,3,0.1350905,0.9257923,1.07192,0.1345945,0.9267741,1.067035,0.00260151,-0.5586035,-0.0596366,0.827284,-0.004719175,0.06642829,0.03135118,0.9972874,1654780234342,1654780105072
4,4,0.1351046,0.9257991,1.071927,0.1346029,0.9267643,1.067041,0.002595963,-0.5585123,-0.05970868,0.8273404,-0.004687987,0.06637569,0.03131115,0.9972923,1654780234397,1654780105121
5,5,0.1351534,0.9258377,1.071838,0.1346491,0.9267917,1.066986,0.002719251,-0.5583963,-0.05987165,0.8274065,-0.004604027,0.06616424,0.03112166,0.9973127,1654780234439,1654780105174
6,6,0.1352679,0.9258101,1.071613,0.1347244,0.9267861,1.066868,0.003067986,-0.5577914,-0.06060962,0.8277596,-0.004384756,0.06563242,0.03059289,0.9973652,1654780234495,1654780105224
7,7,0.135527,0.9255325,1.071228,0.1348691,0.9266453,1.066646,0.003532336,-0.5563282,-0.06234947,0.8286127,-0.004095629,0.06446847,0.02948701,0.9974756,1654780234551,1654780105276
8,8,0.1358763,0.9252276,1.070757,0.1351677,0.9263657,1.066245,0.004160979,-0.55453,-0.06472018,0.8296328,-0.003558502,0.06245819,0.02756172,0.9976606,1654780234592,1654780105325
9,9,0.1365538,0.9246435,1.069507,0.1355627,0.925989,1.065696,0.004657968,-0.5502439,-0.06959084,0.832086,-0.002804905,0.05959715,0.02467506,0.9979136,1654780234648,1654780105377
10,10,0.1369869,0.9241392,1.068173,0.1360211,0.9255059,1.065014,0.006389998,-0.5470971,-0.0734819,0.8338132,-0.001946613,0.05579467,0.02087499,0.9982221,1654780234690,1654780105427
11,11,0.1379915,0.9238349,1.065542,0.1367005,0.924954,1.064156,0.008259004,-0.5424663,-0.07873905,0.8363386,-0.0006211996,0.05115826,0.01630795,0.9985572,1654780234746,1654780105478
12,12,0.138534,0.9233868,1.062951,0.1374443,0.9244072,1.063197,0.009054116,-0.5379638,-0.08434347,0.838689,0.0005833581,0.04648282,0.01167114,0.9988507,1654780234801,1654780105528
