Unity ID,Robot ID,Unity x Position,Unity y Position,Unity z Position,Robot x Position,Robot y Position,Robot z Position,Unity x Rotation,Unity y Rotation,Unity z Rotation,Unity w Rotation,Robot x Rotation,Robot y Rotation,Robot z Rotation,Robot w Rotation,Unity Time Stamp,Robot Time Stamp
0,0,0.03398241,0.9169291,0.7738661,0.03397423,0.9169395,0.773855,0.007986268,0.3711086,0.06513877,-0.9262676,0.0408728,0.26593,0.0289166,0.9626913,1654789927036,1654789798463
1,1,0.03398234,0.9169292,0.7738661,0.03397423,0.9169395,0.773855,0.007985121,0.371109,0.06513557,-0.9262676,0.0408728,0.26593,0.0289166,0.9626913,1654789927077,1654789798500
2,2,0.03398243,0.9169291,0.773866,0.03397423,0.9169395,0.773855,0.007988665,0.3711092,0.06513896,-0.9262673,0.0408728,0.26593,0.0289166,0.9626913,1654789927117,1654789798548
3,3,0.03398313,0.9169292,0.773864,0.03401215,0.9169386,0.7738711,0.007992871,0.3710639,0.06513406,-0.9262857,0.04087856,0.2657375,0.02890837,0.9627444,1654789927173,1654789798600
4,4,0.03426475,0.9169155,0.7740914,0.03421652,0.9169227,0.7739846,0.007965876,0.3700454,0.06489361,-0.9267102,0.04080792,0.265064,0.02883834,0.9629352,1654789927228,1654789798651
5,5,0.03490909,0.916715,0.7746266,0.03472731,0.9168043,0.7743875,0.008405761,0.3675316,0.06515269,-0.927688,0.04063375,0.2632831,0.02865964,0.9634364,1654789927270,1654789798701
6,6,0.03672799,0.9164081,0.776127,0.03568808,0.9165682,0.7751939,0.009638596,0.3606478,0.06547726,-0.930351,0.04037204,0.2596683,0.02823174,0.9644406,1654789927325,1654789798752
7,7,0.03896623,0.9160988,0.7777089,0.03728698,0.9162613,0.7764351,0.01032953,0.3526523,0.06585421,-0.9333771,0.0400745,0.2540221,0.02768159,0.9659714,1654789927381,1654789798803
8,8,0.04061386,0.9157584,0.7792218,0.03921859,0.9158727,0.7779301,0.01146029,0.3466274,0.06602316,-0.9356062,0.03965575,0.2473984,0.02692488,0.9677276,1654789927423,1654789798854
9,9,0.043241,0.9153737,0.7811573,0.04135314,0.9154142,0.7796686,0.01248642,0.3389041,0.06697743,-0.9383508,0.0391627,0.2397933,0.02609682,0.9696827,1654789927479,1654789798904
10,10,0.04493101,0.9149932,0.7826046,0.0435045,0.9149429,0.7814903,0.01370141,0.3325287,0.06742342,-0.9405801,0.03846298,0.2321754,0.02535927,0.9715823,1654789927521,1654789798955
11,11,0.04707834,0.914616,0.7841324,0.04577296,0.9144576,0.7834015,0.01532318,0.3234586,0.06788202,-0.9436799,0.03785168,0.2240056,0.02453962,0.9735433,1654789927576,1654789799005
12,12,0.04928919,0.9141115,0.785966,0.04778516,0.9140041,0.7850191,0.0165879,0.3151962,0.06844348,-0.9464099,0.03736807,0.2165987,0.02377069,0.9752557,1654789927632,1654789799055
13,13,0.05093174,0.9138941,0.7873213,0.04992165,0.9135441,0.7868084,0.01771706,0.308411,0.06873964,-0.9486009,0.03672741,0.20874,0.02298623,0.977011,1654789927674,1654789799106
14,14,0.05291851,0.9134461,0.7891117,0.05205664,0.9130937,0.788608,0.01886976,0.2999365,0.06962258,-0.951228,0.03611006,0.2009639,0.0221239,0.9786829,1654789927729,1654789799157
15,15,0.05512692,0.9129833,0.7908798,0.05423876,0.912646,0.7903036,0.01982094,0.291463,0.07016997,-0.9537991,0.03574023,0.192831,0.02129999,0.9803495,1654789927785,1654789799208
16,16,0.05692191,0.9124981,0.7924262,0.05635073,0.9121535,0.7921793,0.02064444,0.2859241,0.07063048,-0.9554228,0.03501397,0.1852753,0.02054435,0.9818478,1654789927826,1654789799259
17,17,0.05911323,0.9121221,0.7941135,0.05858957,0.9117323,0.793966,0.022045,0.2774511,0.07086513,-0.9578691,0.03445494,0.1776086,0.01975319,0.9832996,1654789927882,1654789799309
18,18,0.06122204,0.9115182,0.7958984,0.06070983,0.9112712,0.7957932,0.02391518,0.2684014,0.07076159,-0.960407,0.03384215,0.1697343,0.01894906,0.9847263,1654789927938,1654789799360
19,19,0.06297654,0.9112228,0.797382,0.06284131,0.9107903,0.7976115,0.02468628,0.262089,0.07160804,-0.9620667,0.03330599,0.161404,0.01806194,0.9861609,1654789927980,1654789799411
20,20,0.06516459,0.9109619,0.7992436,0.06502386,0.9103188,0.7994282,0.02528756,0.254323,0.07206418,-0.9640991,0.03277639,0.1538032,0.01727283,0.9874067,1654789928036,1654789799463
21,21,0.06714381,0.910367,0.8009622,0.06729381,0.9098237,0.8013293,0.02665119,0.2465363,0.07326782,-0.9659925,0.03219956,0.1455504,0.01645699,0.9886898,1654789928091,1654789799515
22,22,0.06903768,0.910222,0.8023137,0.06938897,0.9093758,0.8030616,0.02754971,0.2391917,0.07250465,-0.9678695,0.03165074,0.1378318,0.01568398,0.9898256,1654789928133,1654789799566
23,23,0.07119013,0.9098475,0.8043233,0.07151084,0.908915,0.804879,0.02868434,0.2309535,0.07362206,-0.9697512,0.03107999,0.1296088,0.01479501,0.9909676,1654789928188,1654789799615
