06/04/2022 14:41:10, File Created!
06/04/2022 14:41:10:282, 27, idle
06/04/2022 14:41:10:554, 5, idle
06/04/2022 14:41:10:830, 8, idle
06/04/2022 14:41:11:116, 20, idle
06/04/2022 14:41:11:401, 16, idle
06/04/2022 14:41:11:669, 3, idle
06/04/2022 14:41:11:941, 5, idle
06/04/2022 14:41:12:210, 3, idle
06/04/2022 14:41:12:484, 6, idle
06/04/2022 14:41:12:751, 2, idle
06/04/2022 14:41:13:027, 5, idle
06/04/2022 14:41:13:297, 3, idle
06/04/2022 14:41:13:566, 2, idle
06/04/2022 14:41:13:839, 4, creating_exercise
06/04/2022 14:41:14:111, 6, creating_exercise
06/04/2022 14:41:14:390, 12, creating_exercise
06/04/2022 14:41:14:661, 8, creating_exercise
06/04/2022 14:41:14:927, 4, creating_exercise
06/04/2022 14:41:15:197, 4, creating_exercise
06/04/2022 14:41:15:470, 6, creating_exercise
06/04/2022 14:41:15:759, 24, creating_exercise
06/04/2022 14:41:16:017, 8, creating_exercise
06/04/2022 14:41:16:289, 6, creating_exercise
06/04/2022 14:41:16:560, 7, creating_exercise
06/04/2022 14:41:16:834, 10, creating_exercise
06/04/2022 14:41:17:103, 7, creating_exercise
06/04/2022 14:41:17:372, 6, idle
06/04/2022 14:41:17:639, 2, idle
06/04/2022 14:41:17:914, 7, idle
06/04/2022 14:41:18:187, 6, idle
06/04/2022 14:41:18:462, 8, creating_exercise
06/04/2022 14:41:18:732, 8, creating_exercise
06/04/2022 14:41:18:999, 3, creating_exercise
06/04/2022 14:41:19:276, 9, creating_exercise
06/04/2022 14:41:19:551, 13, creating_exercise
06/04/2022 14:41:19:825, 16, creating_exercise
06/04/2022 14:41:20:090, 7, creating_exercise
06/04/2022 14:41:20:364, 11, creating_exercise
06/04/2022 14:41:20:632, 8, creating_exercise
06/04/2022 14:41:20:904, 8, creating_exercise
06/04/2022 14:41:21:172, 6, creating_exercise
06/04/2022 14:41:21:447, 10, idle
06/04/2022 14:41:21:719, 12, idle
06/04/2022 14:41:21:995, 12, idle
06/04/2022 14:41:22:268, 10, idle
06/04/2022 14:41:22:818, 19, idle
06/04/2022 14:41:23:074, 5, idle
06/04/2022 14:41:23:344, 3, idle
06/04/2022 14:41:23:616, 3, idle
06/04/2022 14:41:23:894, 11, idle
06/04/2022 14:41:24:164, 11, idle
06/04/2022 14:41:24:438, 14, idle
06/04/2022 14:41:24:702, 7, idle
06/04/2022 14:41:25:038, 66, idle
