06/04/2022 14:49:10, File Created!
06/04/2022 14:49:10:373, 64
06/04/2022 14:49:14:041, 196
06/04/2022 14:49:17:323, 38
06/04/2022 14:49:20:482, 64
06/04/2022 14:49:23:185, 65
06/04/2022 14:49:29:021, 64
06/04/2022 14:49:32:172, 129
06/04/2022 14:49:36:270, 85
06/04/2022 14:49:40:170, 37
06/04/2022 14:49:43:610, 35
06/04/2022 14:49:47:180, 38
06/04/2022 14:49:50:465, 213
06/04/2022 14:49:53:572, 32
06/04/2022 14:49:59:486, 84
06/04/2022 14:50:04:964, 43
06/04/2022 14:50:08:463, 33
06/04/2022 14:50:10:642, 147
06/04/2022 14:50:12:558, 118
06/04/2022 14:50:14:774, 63
06/04/2022 14:50:17:191, 146
06/04/2022 14:50:19:696, 74
06/04/2022 14:50:29:198, 18
06/04/2022 14:50:31:976, 75
06/04/2022 14:50:36:829, 47
06/04/2022 14:50:39:303, 33
06/04/2022 14:50:42:098, 47
06/04/2022 14:50:44:473, 79
06/04/2022 14:50:50:660, 17
06/04/2022 14:50:53:421, 63
06/04/2022 14:50:56:797, 32
06/04/2022 14:50:59:628, 38
06/04/2022 14:51:02:538, 44
06/04/2022 14:51:05:384, 37
06/04/2022 14:51:08:266, 67
06/04/2022 14:51:13:649, 18
06/04/2022 14:51:15:980, 161
06/04/2022 14:51:18:467, 51
06/04/2022 14:51:21:400, 36
06/04/2022 14:51:26:052, 16
06/04/2022 14:51:46:225, 70
06/04/2022 14:51:49:369, 35
06/04/2022 14:51:52:487, 36
06/04/2022 14:51:55:638, 120
06/04/2022 14:53:42:196, 32
06/04/2022 14:53:46:052, 211
06/04/2022 14:53:49:798, 52
06/04/2022 14:54:01:843, 103
06/04/2022 14:54:07:621, 82
06/04/2022 14:54:13:671, 54
06/04/2022 14:54:22:292, 68
06/04/2022 14:54:25:036, 39
06/04/2022 14:54:28:118, 63
06/04/2022 14:54:31:167, 165
06/04/2022 14:54:34:351, 219
06/04/2022 14:54:37:772, 254
06/04/2022 14:54:42:965, 673
06/04/2022 14:55:03:483, 303
06/04/2022 14:55:08:250, 228
06/04/2022 14:55:24:439, 91
06/04/2022 14:55:28:162, 210
06/04/2022 14:55:34:658, 155
06/04/2022 14:55:39:951, 82
06/04/2022 14:55:42:529, 61
06/04/2022 14:55:45:451, 165
06/04/2022 14:55:48:053, 47
06/04/2022 14:55:51:282, 154
06/04/2022 14:55:58:958, 39
06/04/2022 14:56:02:951, 227
06/04/2022 14:56:05:550, 70
06/04/2022 14:56:07:882, 41
06/04/2022 14:56:07:953, 113
06/04/2022 14:56:30:135, 115
06/04/2022 14:56:33:232, 31
06/04/2022 14:56:35:908, 172
06/04/2022 14:56:38:848, 111
06/04/2022 14:56:58:302, 145
06/04/2022 14:57:01:126, 96
06/04/2022 14:57:03:774, 139
06/04/2022 14:57:12:231, 204
06/04/2022 14:57:14:635, 151
06/04/2022 14:57:16:803, 42
06/04/2022 14:57:19:327, 144
06/04/2022 14:57:21:533, 107
06/04/2022 14:57:23:757, 130
06/04/2022 14:57:26:053, 91
06/04/2022 14:57:35:135, 139
06/04/2022 14:57:37:609, 112
06/04/2022 14:57:39:781, 72
06/04/2022 14:57:42:145, 28
06/04/2022 14:57:44:530, 101
06/04/2022 14:57:46:660, 32
06/04/2022 14:57:54:423, 196
06/04/2022 14:58:11:955, 132
06/04/2022 14:58:15:885, 87
06/04/2022 14:58:23:326, 207
06/04/2022 14:58:25:923, 81
06/04/2022 14:58:28:485, 115
06/04/2022 14:58:30:656, 35
06/04/2022 14:58:33:087, 57
06/04/2022 14:58:35:791, 202
06/04/2022 14:58:38:280, 50
06/04/2022 14:58:43:535, 145
