30/03/2022 10:14:46, File Created!
30/03/2022 10:14:46:554, 148, idle
30/03/2022 10:14:46:951, 4, idle
30/03/2022 10:14:47:227, 9, idle
30/03/2022 10:14:47:494, 5, idle
30/03/2022 10:14:47:762, 3, idle
30/03/2022 10:14:48:031, 2, idle
30/03/2022 10:14:48:304, 2, idle
30/03/2022 10:14:48:576, 4, idle
30/03/2022 10:14:48:848, 5, idle
30/03/2022 10:14:49:117, 4, idle
30/03/2022 10:14:49:391, 8, idle
30/03/2022 10:14:49:655, 1, idle
30/03/2022 10:14:49:927, 3, idle
30/03/2022 10:14:50:196, 2, idle
30/03/2022 10:14:50:466, 1, idle
30/03/2022 10:14:50:739, 4, idle
30/03/2022 10:14:51:008, 2, idle
30/03/2022 10:14:51:280, 2, idle
30/03/2022 10:14:51:552, 3, idle
30/03/2022 10:14:51:826, 7, idle
30/03/2022 10:14:52:092, 2, idle
30/03/2022 10:14:52:363, 3, idle
30/03/2022 10:14:52:635, 3, idle
30/03/2022 10:14:52:907, 4, idle
30/03/2022 10:14:53:177, 3, idle
30/03/2022 10:14:53:449, 4, idle
30/03/2022 10:14:53:719, 4, idle
30/03/2022 10:14:53:990, 2, idle
30/03/2022 10:14:54:260, 2, idle
30/03/2022 10:14:54:531, 2, idle
30/03/2022 10:14:54:801, 2, idle
30/03/2022 10:14:55:073, 3, idle
30/03/2022 10:14:55:344, 4, idle
30/03/2022 10:14:55:615, 5, idle
30/03/2022 10:14:55:888, 4, idle
30/03/2022 10:14:56:157, 3, idle
30/03/2022 10:14:56:426, 2, idle
30/03/2022 10:14:56:698, 3, idle
30/03/2022 10:14:56:971, 4, idle
30/03/2022 10:14:57:239, 2, idle
30/03/2022 10:14:57:511, 3, idle
30/03/2022 10:14:57:781, 3, idle
30/03/2022 10:14:58:054, 4, idle
30/03/2022 10:14:58:327, 7, idle
30/03/2022 10:14:58:595, 4, idle
30/03/2022 10:14:58:868, 6, idle
30/03/2022 10:14:59:137, 4, idle
30/03/2022 10:14:59:408, 4, idle
30/03/2022 10:14:59:678, 2, idle
30/03/2022 10:14:59:948, 2, idle
30/03/2022 10:15:00:220, 3, idle
30/03/2022 10:15:00:490, 3, idle
30/03/2022 10:15:00:761, 4, idle
30/03/2022 10:15:01:032, 4, idle
30/03/2022 10:15:01:303, 4, idle
30/03/2022 10:15:01:576, 4, idle
30/03/2022 10:15:01:845, 3, idle
30/03/2022 10:15:02:117, 5, idle
30/03/2022 10:15:02:385, 1, idle
30/03/2022 10:15:02:661, 6, idle
30/03/2022 10:15:02:928, 2, idle
30/03/2022 10:15:03:199, 2, idle
30/03/2022 10:15:03:468, 1, idle
30/03/2022 10:15:03:739, 2, idle
30/03/2022 10:15:04:012, 3, idle
30/03/2022 10:15:04:284, 4, idle
30/03/2022 10:15:04:552, 2, idle
30/03/2022 10:15:04:825, 5, idle
30/03/2022 10:15:05:098, 4, idle
30/03/2022 10:15:05:368, 3, idle
30/03/2022 10:15:05:638, 3, idle
30/03/2022 10:15:05:908, 2, idle
30/03/2022 10:15:06:181, 5, idle
30/03/2022 10:15:06:451, 4, idle
30/03/2022 10:15:06:719, 2, idle
30/03/2022 10:15:06:990, 2, idle
30/03/2022 10:15:07:261, 3, idle
30/03/2022 10:15:07:532, 3, idle
30/03/2022 10:15:07:803, 4, idle
30/03/2022 10:15:08:076, 6, idle
30/03/2022 10:15:08:347, 3, idle
30/03/2022 10:15:08:624, 9, idle
30/03/2022 10:15:08:893, 2, idle
30/03/2022 10:15:09:164, 3, idle
30/03/2022 10:15:09:435, 3, idle
30/03/2022 10:15:09:707, 5, idle
30/03/2022 10:15:09:980, 5, idle
30/03/2022 10:15:10:249, 2, idle
30/03/2022 10:15:10:523, 6, idle
30/03/2022 10:15:10:794, 4, idle
30/03/2022 10:15:11:065, 3, idle
30/03/2022 10:15:11:335, 2, idle
30/03/2022 10:15:11:608, 4, idle
30/03/2022 10:15:11:875, 1, idle
30/03/2022 10:15:12:146, 2, idle
30/03/2022 10:15:12:418, 3, idle
30/03/2022 10:15:12:691, 4, idle
30/03/2022 10:15:12:960, 2, idle
30/03/2022 10:15:13:234, 6, idle
30/03/2022 10:15:13:502, 4, idle
30/03/2022 10:15:13:771, 2, creating_exercise
30/03/2022 10:15:14:044, 4, creating_exercise
30/03/2022 10:15:14:314, 4, creating_exercise
30/03/2022 10:15:14:584, 4, creating_exercise
30/03/2022 10:15:14:855, 4, creating_exercise
30/03/2022 10:15:15:126, 3, creating_exercise
30/03/2022 10:15:15:398, 3, creating_exercise
30/03/2022 10:15:15:669, 3, creating_exercise
30/03/2022 10:15:15:941, 5, creating_exercise
