05/04/2022 15:36:35, File Created!
05/04/2022 15:36:35:012, 18, idle
05/04/2022 15:36:35:270, 3, idle
05/04/2022 15:36:35:539, 2, idle
05/04/2022 15:36:35:811, 4, idle
05/04/2022 15:36:36:080, 2, idle
05/04/2022 15:36:36:352, 2, idle
05/04/2022 15:36:36:625, 5, idle
05/04/2022 15:36:36:895, 2, idle
05/04/2022 15:36:37:168, 4, idle
05/04/2022 15:36:37:437, 2, idle
05/04/2022 15:36:37:710, 4, idle
05/04/2022 15:36:37:979, 3, idle
05/04/2022 15:36:38:250, 4, idle
05/04/2022 15:36:38:521, 5, idle
05/04/2022 15:36:38:789, 2, idle
05/04/2022 15:36:39:061, 4, idle
05/04/2022 15:36:39:330, 2, idle
05/04/2022 15:36:39:602, 4, creating_exercise
05/04/2022 15:36:39:870, 2, creating_exercise
05/04/2022 15:36:40:146, 7, creating_exercise
05/04/2022 15:36:40:412, 3, creating_exercise
05/04/2022 15:36:40:688, 5, creating_exercise
05/04/2022 15:36:40:956, 2, creating_exercise
05/04/2022 15:36:41:228, 4, creating_exercise
05/04/2022 15:36:41:497, 2, creating_exercise
05/04/2022 15:36:41:774, 7, creating_exercise
05/04/2022 15:36:42:042, 4, creating_exercise
05/04/2022 15:36:42:312, 4, creating_exercise
05/04/2022 15:36:42:582, 3, creating_exercise
05/04/2022 15:36:42:853, 2, creating_exercise
05/04/2022 15:36:43:126, 5, idle
05/04/2022 15:36:43:397, 4, idle
05/04/2022 15:36:43:668, 5, idle
05/04/2022 15:36:43:937, 2, idle
05/04/2022 15:36:44:225, 19, idle
05/04/2022 15:36:44:484, 7, idle
05/04/2022 15:36:44:755, 7, idle
05/04/2022 15:36:45:023, 4, idle
05/04/2022 15:36:45:293, 3, idle
05/04/2022 15:36:45:565, 5, idle
05/04/2022 15:36:45:838, 4, idle
05/04/2022 15:36:46:108, 4, idle
05/04/2022 15:36:46:381, 5, idle
05/04/2022 15:36:46:651, 4, repeating_exercise
05/04/2022 15:36:46:919, 2, repeating_exercise
05/04/2022 15:36:47:190, 3, repeating_exercise
05/04/2022 15:36:47:464, 7, repeating_exercise
05/04/2022 15:36:47:732, 4, repeating_exercise
05/04/2022 15:36:48:003, 3, repeating_exercise
05/04/2022 15:36:48:277, 6, repeating_exercise
05/04/2022 15:36:48:545, 4, repeating_exercise
05/04/2022 15:36:48:815, 2, repeating_exercise
05/04/2022 15:36:49:088, 4, repeating_exercise
05/04/2022 15:36:49:359, 5, repeating_exercise
05/04/2022 15:36:49:629, 4, repeating_exercise
05/04/2022 15:36:49:899, 4, repeating_exercise
05/04/2022 15:36:50:169, 2, repeating_exercise
05/04/2022 15:36:50:443, 6, repeating_exercise
05/04/2022 15:36:50:714, 6, repeating_exercise
05/04/2022 15:36:50:982, 4, repeating_exercise
05/04/2022 15:36:51:253, 3, repeating_exercise
05/04/2022 15:36:51:528, 7, repeating_exercise
05/04/2022 15:36:51:799, 6, repeating_exercise
05/04/2022 15:36:52:067, 2, repeating_exercise
05/04/2022 15:36:52:341, 5, repeating_exercise
05/04/2022 15:36:52:611, 4, repeating_exercise
05/04/2022 15:36:52:882, 4, repeating_exercise
05/04/2022 15:36:53:155, 5, repeating_exercise
05/04/2022 15:36:53:426, 5, repeating_exercise
05/04/2022 15:36:53:695, 3, repeating_exercise
05/04/2022 15:36:53:966, 4, repeating_exercise
05/04/2022 15:36:54:245, 12, repeating_exercise
05/04/2022 15:36:54:512, 4, repeating_exercise
05/04/2022 15:36:54:782, 4, repeating_exercise
05/04/2022 15:36:55:053, 3, repeating_exercise
05/04/2022 15:36:55:328, 7, repeating_exercise
05/04/2022 15:36:55:595, 4, repeating_exercise
05/04/2022 15:36:55:868, 6, repeating_exercise
