05/04/2022 15:35:12, File Created!
05/04/2022 15:35:12:948, 5, idle
05/04/2022 15:35:13:219, 4, idle
05/04/2022 15:35:13:491, 5, idle
05/04/2022 15:35:13:760, 2, idle
05/04/2022 15:35:14:032, 3, idle
05/04/2022 15:35:14:303, 4, idle
05/04/2022 15:35:14:576, 5, idle
05/04/2022 15:35:14:850, 8, idle
05/04/2022 15:35:15:116, 4, idle
05/04/2022 15:35:15:385, 2, idle
05/04/2022 15:35:15:657, 4, idle
05/04/2022 15:35:15:927, 3, idle
05/04/2022 15:35:16:199, 4, creating_exercise
05/04/2022 15:35:16:468, 3, creating_exercise
05/04/2022 15:35:16:737, 1, creating_exercise
05/04/2022 15:35:17:010, 4, creating_exercise
05/04/2022 15:35:17:283, 4, creating_exercise
05/04/2022 15:35:17:554, 5, creating_exercise
05/04/2022 15:35:17:825, 5, creating_exercise
05/04/2022 15:35:18:094, 4, creating_exercise
05/04/2022 15:35:18:365, 4, idle
05/04/2022 15:35:18:679, 48, creating_exercise
05/04/2022 15:35:18:906, 5, creating_exercise
05/04/2022 15:35:19:177, 6, creating_exercise
05/04/2022 15:35:19:446, 3, creating_exercise
05/04/2022 15:35:19:715, 2, creating_exercise
05/04/2022 15:35:19:986, 2, creating_exercise
05/04/2022 15:35:20:257, 2, creating_exercise
05/04/2022 15:35:20:527, 2, creating_exercise
05/04/2022 15:35:20:797, 2, creating_exercise
05/04/2022 15:35:21:067, 1, creating_exercise
05/04/2022 15:35:21:342, 6, creating_exercise
05/04/2022 15:35:21:611, 5, creating_exercise
05/04/2022 15:35:21:882, 5, creating_exercise
05/04/2022 15:35:22:151, 4, creating_exercise
05/04/2022 15:35:22:425, 8, creating_exercise
05/04/2022 15:35:22:690, 2, idle
05/04/2022 15:35:22:966, 8, idle
05/04/2022 15:35:23:232, 3, idle
05/04/2022 15:35:23:505, 4, idle
05/04/2022 15:35:23:778, 5, idle
05/04/2022 15:35:24:049, 5, idle
05/04/2022 15:35:24:324, 8, idle
05/04/2022 15:35:24:592, 5, idle
05/04/2022 15:35:24:863, 5, idle
05/04/2022 15:35:25:130, 2, idle
05/04/2022 15:35:25:403, 4, idle
05/04/2022 15:35:25:673, 4, idle
05/04/2022 15:35:25:944, 4, idle
05/04/2022 15:35:26:216, 6, idle
05/04/2022 15:35:26:487, 5, idle
05/04/2022 15:35:26:756, 3, idle
05/04/2022 15:35:27:026, 3, idle
05/04/2022 15:35:27:296, 3, idle
05/04/2022 15:35:27:568, 4, idle
05/04/2022 15:35:27:838, 4, idle
05/04/2022 15:35:28:110, 6, idle
05/04/2022 15:35:28:377, 2, idle
05/04/2022 15:35:28:649, 4, idle
05/04/2022 15:35:28:918, 2, idle
05/04/2022 15:35:29:191, 5, idle
05/04/2022 15:35:29:459, 3, idle
05/04/2022 15:35:29:732, 6, idle
05/04/2022 15:35:30:000, 3, idle
05/04/2022 15:35:30:271, 4, idle
05/04/2022 15:35:30:542, 4, idle
05/04/2022 15:35:30:811, 3, idle
05/04/2022 15:35:31:082, 4, idle
05/04/2022 15:35:31:352, 3, idle
