21/03/2022 15:31:52, File Created!
21/03/2022 15:31:52:533, 18, idle
21/03/2022 15:31:52:797, 6, idle
21/03/2022 15:31:53:064, 3, idle
21/03/2022 15:31:53:337, 5, idle
21/03/2022 15:31:53:607, 5, idle
21/03/2022 15:31:53:877, 4, idle
21/03/2022 15:31:54:146, 3, idle
21/03/2022 15:31:54:419, 4, idle
21/03/2022 15:31:54:689, 4, idle
21/03/2022 15:31:54:959, 4, idle
21/03/2022 15:31:55:234, 9, idle
21/03/2022 15:31:55:500, 3, idle
21/03/2022 15:31:55:789, 20, idle
21/03/2022 15:31:56:044, 2, idle
21/03/2022 15:31:56:315, 3, idle
21/03/2022 15:31:56:584, 2, idle
21/03/2022 15:31:56:855, 2, idle
21/03/2022 15:31:57:127, 4, idle
21/03/2022 15:31:57:399, 3, idle
21/03/2022 15:31:57:671, 4, idle
21/03/2022 15:31:57:941, 4, idle
21/03/2022 15:31:58:211, 3, idle
21/03/2022 15:31:58:487, 9, idle
21/03/2022 15:31:58:756, 4, idle
21/03/2022 15:31:59:026, 4, idle
21/03/2022 15:31:59:299, 4, idle
21/03/2022 15:31:59:569, 4, idle
21/03/2022 15:31:59:840, 5, repeating_exercise
21/03/2022 15:32:00:110, 4, repeating_exercise
21/03/2022 15:32:00:380, 4, repeating_exercise
21/03/2022 15:32:00:695, 49, repeating_exercise
21/03/2022 15:32:00:922, 4, repeating_exercise
21/03/2022 15:32:01:190, 2, repeating_exercise
21/03/2022 15:32:01:466, 5, repeating_exercise
21/03/2022 15:32:01:736, 5, repeating_exercise
21/03/2022 15:32:02:006, 5, repeating_exercise
21/03/2022 15:32:02:278, 4, repeating_exercise
21/03/2022 15:32:02:547, 3, repeating_exercise
21/03/2022 15:32:02:817, 2, repeating_exercise
21/03/2022 15:32:03:090, 4, idle
21/03/2022 15:32:03:361, 4, idle
21/03/2022 15:32:03:630, 3, idle
21/03/2022 15:32:03:902, 2, idle
21/03/2022 15:32:04:173, 3, idle
21/03/2022 15:32:04:443, 2, idle
21/03/2022 15:32:04:716, 5, idle
21/03/2022 15:32:05:000, 17, repeating_exercise
21/03/2022 15:32:05:270, 16, repeating_exercise
21/03/2022 15:32:05:583, 50, repeating_exercise
21/03/2022 15:32:05:899, 96, repeating_exercise
21/03/2022 15:32:06:076, 2, repeating_exercise
21/03/2022 15:32:06:397, 53, repeating_exercise
21/03/2022 15:32:06:707, 91, repeating_exercise
21/03/2022 15:32:06:892, 5, repeating_exercise
21/03/2022 15:32:07:214, 55, repeating_exercise
21/03/2022 15:32:07:517, 88, repeating_exercise
21/03/2022 15:32:07:704, 4, repeating_exercise
21/03/2022 15:32:08:018, 48, repeating_exercise
21/03/2022 15:32:08:308, 68, repeating_exercise
21/03/2022 15:32:08:517, 4, repeating_exercise
21/03/2022 15:32:08:829, 46, repeating_exercise
21/03/2022 15:32:09:119, 66, repeating_exercise
21/03/2022 15:32:09:329, 4, repeating_exercise
21/03/2022 15:32:09:639, 43, repeating_exercise
21/03/2022 15:32:09:923, 57, repeating_exercise
21/03/2022 15:32:10:140, 4, repeating_exercise
21/03/2022 15:32:10:420, 11, repeating_exercise
21/03/2022 15:32:10:729, 50, repeating_exercise
21/03/2022 15:32:11:051, 101, repeating_exercise
21/03/2022 15:32:11:223, 3, repeating_exercise
21/03/2022 15:32:11:550, 60, repeating_exercise
21/03/2022 15:32:12:075, 44, repeating_exercise
21/03/2022 15:32:12:371, 67, repeating_exercise
21/03/2022 15:32:12:673, 99, repeating_exercise
21/03/2022 15:32:12:850, 6, repeating_exercise
21/03/2022 15:32:13:116, 2, repeating_exercise
21/03/2022 15:32:13:482, 95, repeating_exercise
