05/04/2022 16:07:09, File Created!
05/04/2022 16:07:09:481, 71
05/04/2022 16:07:16:080, 79
05/04/2022 16:07:20:597, 66
05/04/2022 16:07:24:328, 29
05/04/2022 16:07:27:949, 35
05/04/2022 16:07:34:877, 68
05/04/2022 16:07:41:777, 46
05/04/2022 16:07:46:925, 60
05/04/2022 16:07:53:080, 46
05/04/2022 16:07:59:112, 30
05/04/2022 16:08:05:397, 43
05/04/2022 16:08:12:247, 29
05/04/2022 16:08:18:626, 42
05/04/2022 16:08:27:970, 49
05/04/2022 16:08:48:681, 31
05/04/2022 16:08:53:571, 24
05/04/2022 16:09:05:704, 38
05/04/2022 16:09:11:401, 41
05/04/2022 16:09:24:527, 61
05/04/2022 16:09:28:492, 51
05/04/2022 16:09:33:315, 57
05/04/2022 16:09:40:884, 34
05/04/2022 16:09:47:395, 33
05/04/2022 16:09:51:587, 32
05/04/2022 16:10:00:075, 31
05/04/2022 16:10:07:463, 63
05/04/2022 16:10:10:901, 60
05/04/2022 16:10:14:325, 58
05/04/2022 16:10:17:326, 29
05/04/2022 16:10:20:699, 32
05/04/2022 16:10:24:842, 40
05/04/2022 16:10:29:229, 35
05/04/2022 16:10:34:498, 30
05/04/2022 16:10:39:026, 32
05/04/2022 16:10:44:569, 69
05/04/2022 16:10:50:906, 32
05/04/2022 16:10:56:812, 50
05/04/2022 16:11:01:668, 36
05/04/2022 16:11:17:568, 37
05/04/2022 16:11:29:384, 29
05/04/2022 16:11:35:574, 33
05/04/2022 16:11:52:575, 38
05/04/2022 16:12:01:887, 30
05/04/2022 16:12:08:681, 30
05/04/2022 16:12:11:970, 63
05/04/2022 16:12:15:137, 64
05/04/2022 16:12:17:512, 79
05/04/2022 16:12:19:870, 36
05/04/2022 16:12:22:600, 29
05/04/2022 16:12:24:989, 57
05/04/2022 16:12:27:923, 40
05/04/2022 16:12:35:059, 59
05/04/2022 16:12:38:609, 39
05/04/2022 16:12:42:017, 50
05/04/2022 16:12:45:137, 29
05/04/2022 16:12:48:704, 31
05/04/2022 16:12:51:841, 30
05/04/2022 16:12:55:391, 61
05/04/2022 16:12:58:044, 71
05/04/2022 16:13:04:690, 32
05/04/2022 16:13:07:199, 38
05/04/2022 16:13:14:109, 59
05/04/2022 16:13:19:591, 36
05/04/2022 16:13:23:006, 28
05/04/2022 16:13:26:450, 62
05/04/2022 16:13:30:366, 60
05/04/2022 16:13:34:375, 35
05/04/2022 16:13:37:876, 67
05/04/2022 16:13:41:912, 62
05/04/2022 16:13:57:783, 28
05/04/2022 16:14:00:350, 31
05/04/2022 16:14:07:030, 29
05/04/2022 16:14:10:288, 31
05/04/2022 16:14:13:330, 55
05/04/2022 16:14:16:069, 36
05/04/2022 16:14:19:310, 28
05/04/2022 16:14:22:339, 50
05/04/2022 16:14:25:469, 87
05/04/2022 16:14:29:051, 51
05/04/2022 16:14:34:014, 163
05/04/2022 16:14:39:505, 32
05/04/2022 16:14:44:497, 40
05/04/2022 16:14:47:669, 57
05/04/2022 16:14:52:563, 57
05/04/2022 16:14:57:518, 30
05/04/2022 16:15:00:230, 54
05/04/2022 16:15:04:526, 30
05/04/2022 16:15:08:510, 51
05/04/2022 16:15:12:631, 34
05/04/2022 16:15:17:935, 37
05/04/2022 16:15:22:549, 48
05/04/2022 16:15:27:088, 31
05/04/2022 16:15:29:473, 63
05/04/2022 16:15:31:740, 31
05/04/2022 16:15:32:845, 21
05/04/2022 16:15:40:043, 65
05/04/2022 16:15:44:331, 137
05/04/2022 16:15:58:936, 34
05/04/2022 16:16:12:255, 66
05/04/2022 16:16:16:767, 39
05/04/2022 16:16:20:964, 34
05/04/2022 16:16:26:509, 59
05/04/2022 16:16:32:057, 65
05/04/2022 16:16:36:794, 33
05/04/2022 16:16:41:810, 57
05/04/2022 16:16:46:659, 44
05/04/2022 16:23:41:930, 23
05/04/2022 16:25:17:358, 62
05/04/2022 16:30:05:226, 17
05/04/2022 16:41:53:452, 22
05/04/2022 16:43:36:873, 17
05/04/2022 16:43:55:495, 24
05/04/2022 16:56:31:389, 51
05/04/2022 17:17:27:553, 19
05/04/2022 17:17:38:139, 20
05/04/2022 17:17:46:620, 24
05/04/2022 17:19:11:212, 23
05/04/2022 17:19:14:555, 20
05/04/2022 17:19:20:231, 19
05/04/2022 17:19:25:325, 33
05/04/2022 17:19:31:240, 19
05/04/2022 17:19:35:923, 22
05/04/2022 17:19:41:081, 19
05/04/2022 17:19:46:124, 22
05/04/2022 17:19:50:599, 18
05/04/2022 17:19:56:169, 20
05/04/2022 17:20:00:650, 21
05/04/2022 17:20:04:688, 21
05/04/2022 17:20:09:231, 19
05/04/2022 17:20:13:975, 50
05/04/2022 17:20:19:494, 23
05/04/2022 17:20:25:428, 21
05/04/2022 17:20:29:753, 20
05/04/2022 17:20:34:719, 18
05/04/2022 17:20:42:735, 18
05/04/2022 17:20:47:187, 21
05/04/2022 17:20:51:386, 20
05/04/2022 17:20:55:514, 21
05/04/2022 17:21:00:052, 23
05/04/2022 17:21:04:263, 18
05/04/2022 17:21:08:498, 31
05/04/2022 17:21:12:872, 18
05/04/2022 17:21:17:337, 21
05/04/2022 17:21:23:647, 19
05/04/2022 17:22:17:177, 20
05/04/2022 17:22:19:362, 20
05/04/2022 17:22:22:033, 18
05/04/2022 17:22:35:914, 33
05/04/2022 17:22:43:174, 55
05/04/2022 17:22:52:219, 67
05/04/2022 17:23:01:844, 30
05/04/2022 17:23:12:034, 52
05/04/2022 17:23:19:121, 58
05/04/2022 17:24:49:574, 62
05/04/2022 17:24:57:048, 76
05/04/2022 17:25:05:290, 27
05/04/2022 17:25:11:291, 28
05/04/2022 17:25:16:926, 32
05/04/2022 17:25:24:018, 35
