06/04/2022 10:53:58, File Created!
06/04/2022 10:53:58:243, 160, idle
06/04/2022 10:53:58:361, 5, idle
06/04/2022 10:53:58:630, 4, idle
06/04/2022 10:53:58:899, 2, idle
06/04/2022 10:53:59:170, 2, idle
06/04/2022 10:53:59:444, 6, idle
06/04/2022 10:53:59:713, 4, idle
06/04/2022 10:53:59:985, 5, idle
06/04/2022 10:54:00:255, 4, idle
06/04/2022 10:54:00:525, 4, idle
06/04/2022 10:54:00:817, 25, idle
06/04/2022 10:54:01:072, 6, idle
06/04/2022 10:54:01:347, 6, idle
06/04/2022 10:54:01:614, 3, idle
06/04/2022 10:54:01:888, 6, idle
06/04/2022 10:54:02:166, 13, idle
06/04/2022 10:54:02:438, 8, idle
06/04/2022 10:54:02:711, 6, idle
06/04/2022 10:54:02:979, 4, idle
06/04/2022 10:54:03:255, 7, idle
06/04/2022 10:54:03:526, 6, idle
06/04/2022 10:54:03:797, 5, idle
06/04/2022 10:54:04:072, 10, idle
06/04/2022 10:54:04:336, 3, idle
06/04/2022 10:54:04:609, 5, idle
06/04/2022 10:54:04:884, 10, idle
06/04/2022 10:54:05:150, 3, idle
06/04/2022 10:54:05:421, 4, idle
06/04/2022 10:54:05:693, 4, idle
06/04/2022 10:54:05:963, 4, idle
06/04/2022 10:54:06:239, 9, idle
06/04/2022 10:54:06:509, 4, idle
06/04/2022 10:54:06:780, 4, idle
06/04/2022 10:54:07:050, 4, idle
06/04/2022 10:54:07:349, 30, idle
06/04/2022 10:54:07:629, 25, idle
06/04/2022 10:54:07:911, 18, idle
06/04/2022 10:54:08:178, 3, idle
06/04/2022 10:54:08:450, 5, idle
06/04/2022 10:54:08:719, 4, idle
06/04/2022 10:54:08:993, 8, idle
06/04/2022 10:54:09:270, 14, idle
06/04/2022 10:54:09:531, 4, idle
06/04/2022 10:54:09:803, 5, idle
06/04/2022 10:54:10:075, 6, idle
06/04/2022 10:54:10:346, 6, idle
06/04/2022 10:54:10:614, 4, idle
06/04/2022 10:54:10:886, 5, idle
06/04/2022 10:54:11:159, 8, idle
06/04/2022 10:54:11:427, 4, idle
06/04/2022 10:54:11:699, 4, idle
06/04/2022 10:54:11:969, 4, idle
06/04/2022 10:54:12:239, 4, idle
06/04/2022 10:54:12:509, 4, idle
06/04/2022 10:54:12:781, 5, idle
06/04/2022 10:54:13:054, 7, idle
