06/04/2022 14:13:57, File Created!
06/04/2022 14:13:57:135, 18
06/04/2022 14:18:37:220, 30
06/04/2022 14:18:42:552, 53
06/04/2022 14:18:47:027, 68
06/04/2022 14:18:52:777, 38
06/04/2022 14:18:58:129, 27
06/04/2022 14:19:21:368, 36
06/04/2022 14:19:27:607, 115
06/04/2022 14:19:32:582, 37
06/04/2022 14:19:36:985, 43
06/04/2022 14:19:43:334, 19
06/04/2022 14:19:53:828, 17
06/04/2022 14:19:59:272, 129
06/04/2022 14:20:04:579, 40
06/04/2022 14:20:22:123, 35
06/04/2022 14:20:25:142, 20
06/04/2022 14:20:27:524, 303
06/04/2022 14:20:31:014, 23
06/04/2022 14:20:36:565, 83
06/04/2022 14:20:54:996, 39
06/04/2022 14:21:12:480, 131
06/04/2022 14:21:19:808, 217
06/04/2022 14:21:24:798, 170
06/04/2022 14:21:30:625, 37
06/04/2022 14:21:38:582, 40
06/04/2022 14:22:01:110, 55
06/04/2022 14:22:21:931, 30
06/04/2022 14:22:27:437, 72
06/04/2022 14:23:38:623, 131
06/04/2022 14:23:43:201, 52
06/04/2022 14:23:55:935, 233
06/04/2022 14:24:02:274, 29
06/04/2022 14:24:07:635, 211
06/04/2022 14:24:12:476, 49
06/04/2022 14:24:26:548, 252
06/04/2022 14:24:32:347, 48
06/04/2022 14:24:55:090, 60
06/04/2022 14:25:03:642, 142
06/04/2022 14:25:13:803, 48
06/04/2022 14:26:05:807, 42
06/04/2022 14:26:10:779, 28
06/04/2022 14:26:15:471, 59
06/04/2022 14:26:20:020, 31
06/04/2022 14:26:20:722, 15
06/04/2022 14:26:35:237, 179
06/04/2022 14:26:45:634, 67
06/04/2022 14:26:51:122, 120
06/04/2022 14:27:06:935, 66
06/04/2022 14:27:11:840, 68
06/04/2022 14:27:16:711, 30
06/04/2022 14:27:21:461, 35
06/04/2022 14:27:30:149, 121
06/04/2022 14:27:36:038, 57
06/04/2022 14:27:54:356, 207
06/04/2022 14:27:59:138, 46
06/04/2022 14:28:04:449, 52
