21/03/2022 15:38:00: File Created!
21/03/2022 15:38:00:541, robot_pos_with_timestamp, 1647873400644, 555.98, 302.25, 189.65, 2.29, 0.02, 3.05, tool_force, -0.05180890384181179, 1.187819906327705, 6.21707117152755, actual_rep, 1, curr_step, 1, track_size, 81, robot_vel, 0.0, joints_pos, 38.36, 54.38, -15.74, -78.04, 18.21, 44.6, 65.81, tool_torque, 0.011, -0.068, 0.235, tool_momentum, 0.012, -0.069, 0.235, , robot_mode, normal, 
21/03/2022 15:38:00:635, robot_pos_with_timestamp, 1647873400768, 555.9, 302.18, 188.83, 2.29, 0.02, 3.05, tool_force, 0.09599197997921773, 0.8545818530494843, 5.864525722171988, actual_rep, 1, curr_step, 1, track_size, 81, robot_vel, 0.0, joints_pos, 38.36, 54.48, -15.74, -78.03, 18.21, 44.54, 65.82, tool_torque, 0.065, -0.066, 0.224, tool_momentum, 0.071, -0.066, 0.224, , robot_mode, normal, 
21/03/2022 15:38:00:822, robot_pos_with_timestamp, 1647873400919, 556.73, 302.0, 188.07, 2.29, 0.02, 3.05, tool_force, 0.673039993092815, 1.1923406806814942, 5.831425149954471, actual_rep, 1, curr_step, 2, track_size, 81, robot_vel, 3.46, joints_pos, 38.33, 54.58, -15.77, -77.92, 18.17, 44.44, 65.83, tool_torque, 0.16, -0.166, 0.22, tool_momentum, 0.149, -0.153, 0.22, , robot_mode, normal, 
21/03/2022 15:38:00:944, robot_pos_with_timestamp, 1647873401075, 561.32, 297.48, 190.27, 2.28, 0.04, 3.05, tool_force, 0.82477435396554, 0.7369327169980081, 5.47223994896482, actual_rep, 1, curr_step, 3, track_size, 81, robot_vel, 45.82, joints_pos, 38.16, 54.56, -16.22, -77.68, 17.68, 44.34, 66.14, tool_torque, 0.127, -0.084, 0.11, tool_momentum, 0.12, -0.069, 0.11, , robot_mode, normal, 
21/03/2022 15:38:01:102, robot_pos_with_timestamp, 1647873401225, 565.96, 291.11, 192.6, 2.28, 0.04, 3.04, tool_force, 0.8720460857780243, 1.0715951966919401, 6.264066919965933, actual_rep, 1, curr_step, 4, track_size, 81, robot_vel, 54.1, joints_pos, 37.67, 54.43, -16.47, -77.61, 17.42, 44.14, 66.15, tool_torque, 0.206, -0.225, 0.193, tool_momentum, 0.193, -0.226, 0.19, , robot_mode, normal, 
21/03/2022 15:38:01:233, robot_pos_with_timestamp, 1647873401365, 569.3, 285.95, 194.13, 2.27, 0.05, 3.04, tool_force, 0.8815738468020203, 0.6862483769037915, 5.854922775037183, actual_rep, 1, curr_step, 5, track_size, 81, robot_vel, 45.21, joints_pos, 37.25, 54.32, -16.54, -77.57, 16.82, 44.09, 66.31, tool_torque, 0.147, -0.165, 0.119, tool_momentum, 0.152, -0.158, 0.119, , robot_mode, normal, 
21/03/2022 15:38:01:382, robot_pos_with_timestamp, 1647873401514, 572.77, 280.06, 195.59, 2.27, 0.06, 3.04, tool_force, 0.9278202750835337, 1.1201659509914081, 6.0943721602905425, actual_rep, 1, curr_step, 6, track_size, 81, robot_vel, 43.68, joints_pos, 36.7, 54.21, -16.53, -77.52, 16.28, 44.07, 66.29, tool_torque, 0.217, -0.268, 0.174, tool_momentum, 0.22, -0.272, 0.174, , robot_mode, normal, 
21/03/2022 15:38:01:541, robot_pos_with_timestamp, 1647873401665, 575.89, 274.21, 196.67, 2.26, 0.07, 3.04, tool_force, 0.20941865079128988, 0.8894695039351419, 5.895618085180346, actual_rep, 1, curr_step, 7, track_size, 81, robot_vel, 45.46, joints_pos, 36.17, 54.12, -16.53, -77.52, 15.76, 43.99, 66.38, tool_torque, 0.164, -0.076, 0.055, tool_momentum, 0.179, -0.099, 0.059, , robot_mode, normal, 
21/03/2022 15:38:01:691, robot_pos_with_timestamp, 1647873401815, 578.62, 268.31, 197.39, 2.26, 0.08, 3.04, tool_force, 0.5617163168628148, 1.595526050509131, 6.234699172676777, actual_rep, 1, curr_step, 7, track_size, 81, robot_vel, 40.91, joints_pos, 35.72, 54.01, -16.54, -77.62, 14.97, 43.75, 66.73, tool_torque, 0.262, -0.13, 0.061, tool_momentum, 0.264, -0.14, 0.064, , robot_mode, normal, 
21/03/2022 15:38:01:845, robot_pos_with_timestamp, 1647873401965, 580.87, 262.55, 198.11, 2.25, 0.09, 3.04, tool_force, 1.1492702425269872, 1.7087865746240785, 6.143856372443261, actual_rep, 1, curr_step, 8, track_size, 81, robot_vel, 38.68, joints_pos, 35.31, 53.9, -16.58, -77.74, 14.23, 43.61, 66.98, tool_torque, 0.236, -0.174, 0.06, tool_momentum, 0.221, -0.156, 0.06, , robot_mode, normal, 
21/03/2022 15:38:01:998, robot_pos_with_timestamp, 1647873402112, 582.95, 256.72, 198.55, 2.25, 0.09, 3.05, tool_force, 0.5540323010088241, 1.2848561159507637, 6.2056211235859795, actual_rep, 1, curr_step, 8, track_size, 81, robot_vel, 44.42, joints_pos, 34.83, 53.83, -16.58, -77.8, 13.63, 43.67, 66.99, tool_torque, 0.094, -0.143, 0.099, tool_momentum, 0.086, -0.143, 0.1, , robot_mode, normal, 
21/03/2022 15:38:02:149, robot_pos_with_timestamp, 1647873402263, 584.84, 250.89, 198.92, 2.25, 0.1, 3.05, tool_force, 0.6601669341153261, 0.9763602255955117, 6.371854397632456, actual_rep, 1, curr_step, 9, track_size, 81, robot_vel, 40.12, joints_pos, 34.35, 53.77, -16.55, -77.86, 13.04, 43.76, 67.08, tool_torque, 0.02, -0.27, 0.076, tool_momentum, 0.02, -0.261, 0.076, , robot_mode, normal, 
21/03/2022 15:38:02:296, robot_pos_with_timestamp, 1647873402411, 586.59, 244.98, 199.27, 2.24, 0.11, 3.06, tool_force, 0.5075530798790279, 1.1290656432662742, 6.319104895210095, actual_rep, 1, curr_step, 10, track_size, 81, robot_vel, 38.39, joints_pos, 33.88, 53.7, -16.56, -77.95, 12.46, 43.85, 67.24, tool_torque, -0.037, -0.14, 0.043, tool_momentum, -0.034, -0.153, 0.043, , robot_mode, normal, 
21/03/2022 15:38:02:449, robot_pos_with_timestamp, 1647873402561, 588.17, 239.48, 199.64, 2.24, 0.11, 3.06, tool_force, 1.1816102867517186, 1.6003481484594109, 5.892816685588704, actual_rep, 1, curr_step, 10, track_size, 81, robot_vel, 40.27, joints_pos, 33.43, 53.59, -16.54, -78.1, 11.96, 43.79, 67.21, tool_torque, 0.219, -0.339, 0.202, tool_momentum, 0.22, -0.333, 0.204, , robot_mode, normal, 
21/03/2022 15:38:02:596, robot_pos_with_timestamp, 1647873402710, 589.41, 233.62, 199.94, 2.24, 0.12, 3.06, tool_force, 1.075369696982119, 1.9730128301957788, 6.146259776290425, actual_rep, 1, curr_step, 11, track_size, 81, robot_vel, 39.42, joints_pos, 32.97, 53.45, -16.5, -78.33, 11.53, 43.63, 67.12, tool_torque, 0.4, -0.417, 0.358, tool_momentum, 0.403, -0.431, 0.358, , robot_mode, normal, 
21/03/2022 15:38:02:747, robot_pos_with_timestamp, 1647873402859, 590.39, 227.91, 200.16, 2.24, 0.12, 3.06, tool_force, 1.1528065775050094, 1.834380910757482, 5.752050792987437, actual_rep, 1, curr_step, 11, track_size, 81, robot_vel, 38.03, joints_pos, 32.52, 53.31, -16.47, -78.56, 11.0, 43.58, 67.03, tool_torque, 0.391, -0.462, 0.428, tool_momentum, 0.383, -0.446, 0.426, , robot_mode, normal, 
21/03/2022 15:38:02:898, robot_pos_with_timestamp, 1647873403007, 591.37, 222.15, 200.37, 2.24, 0.13, 3.07, tool_force, 1.2167645415979957, 1.9263713455581266, 5.753171961719225, actual_rep, 1, curr_step, 12, track_size, 81, robot_vel, 27.77, joints_pos, 32.09, 53.2, -16.45, -78.76, 10.48, 43.56, 66.95, tool_torque, 0.443, -0.561, 0.466, tool_momentum, 0.451, -0.581, 0.466, , robot_mode, normal, 
21/03/2022 15:38:03:049, robot_pos_with_timestamp, 1647873403156, 591.99, 216.33, 200.47, 2.24, 0.13, 3.07, tool_force, 1.2400660375553032, 2.138129371549249, 5.731132664739377, actual_rep, 1, curr_step, 12, track_size, 81, robot_vel, 39.15, joints_pos, 31.66, 53.07, -16.45, -79.03, 9.97, 43.53, 66.84, tool_torque, 0.443, -0.472, 0.454, tool_momentum, 0.437, -0.466, 0.454, , robot_mode, normal, 
21/03/2022 15:38:03:202, robot_pos_with_timestamp, 1647873403304, 592.5, 210.61, 200.6, 2.24, 0.14, 3.08, tool_force, 1.3230985252362137, 2.0243968536428083, 5.762016370308313, actual_rep, 1, curr_step, 13, track_size, 81, robot_vel, 42.36, joints_pos, 31.26, 52.93, -16.44, -79.3, 9.48, 43.49, 66.75, tool_torque, 0.434, -0.479, 0.469, tool_momentum, 0.435, -0.486, 0.469, , robot_mode, normal, 
21/03/2022 15:38:03:347, robot_pos_with_timestamp, 1647873403453, 592.75, 204.68, 200.75, 2.24, 0.14, 3.08, tool_force, 1.4556104894402124, 2.217107958242076, 5.764169596502826, actual_rep, 1, curr_step, 13, track_size, 81, robot_vel, 37.11, joints_pos, 30.84, 52.76, -16.44, -79.62, 8.93, 43.45, 66.67, tool_torque, 0.496, -0.595, 0.5, tool_momentum, 0.499, -0.589, 0.5, , robot_mode, normal, 
21/03/2022 15:38:03:500, robot_pos_with_timestamp, 1647873403601, 592.95, 199.07, 200.88, 2.24, 0.15, 3.09, tool_force, 1.463835369287209, 2.107740097362383, 5.714858860811058, actual_rep, 1, curr_step, 14, track_size, 81, robot_vel, 37.15, joints_pos, 30.45, 52.61, -16.44, -79.91, 8.43, 43.41, 66.58, tool_torque, 0.459, -0.561, 0.508, tool_momentum, 0.45, -0.551, 0.51, , robot_mode, normal, 
21/03/2022 15:38:03:650, robot_pos_with_timestamp, 1647873403750, 592.87, 193.33, 201.12, 2.24, 0.15, 3.09, tool_force, 1.4229078597247402, 1.8561507749196018, 5.608525944207325, actual_rep, 1, curr_step, 14, track_size, 81, robot_vel, 39.76, joints_pos, 29.98, 52.41, -16.39, -80.26, 8.17, 43.42, 66.27, tool_torque, 0.367, -0.572, 0.508, tool_momentum, 0.366, -0.561, 0.508, , robot_mode, normal, 
21/03/2022 15:38:03:799, robot_pos_with_timestamp, 1647873403897, 592.84, 187.47, 201.36, 2.24, 0.15, 3.1, tool_force, 1.3950313629766353, 1.9920983675233914, 5.738044457382387, actual_rep, 1, curr_step, 15, track_size, 81, robot_vel, 40.14, joints_pos, 29.51, 52.23, -16.34, -80.58, 7.87, 43.42, 65.93, tool_torque, 0.355, -0.561, 0.51, tool_momentum, 0.357, -0.561, 0.511, , robot_mode, normal, 
21/03/2022 15:38:03:948, robot_pos_with_timestamp, 1647873404049, 592.68, 181.56, 201.95, 2.24, 0.16, 3.1, tool_force, 1.5290905767928344, 2.0960933523997505, 5.94195718170461, actual_rep, 1, curr_step, 15, track_size, 81, robot_vel, 34.66, joints_pos, 29.1, 52.01, -16.34, -80.93, 7.38, 43.42, 65.6, tool_torque, 0.442, -0.653, 0.568, tool_momentum, 0.446, -0.664, 0.568, , robot_mode, normal, 
21/03/2022 15:38:04:102, robot_pos_with_timestamp, 1647873404197, 592.48, 175.89, 202.44, 2.25, 0.16, 3.11, tool_force, 1.7558861165088633, 2.626425514713437, 6.071553657478554, actual_rep, 1, curr_step, 16, track_size, 81, robot_vel, 39.01, joints_pos, 28.69, 51.79, -16.33, -81.3, 6.96, 43.34, 65.29, tool_torque, 0.517, -0.605, 0.559, tool_momentum, 0.514, -0.604, 0.559, , robot_mode, normal, 
21/03/2022 15:38:04:255, robot_pos_with_timestamp, 1647873404347, 592.15, 169.95, 203.2, 2.25, 0.16, 3.11, tool_force, 1.3535707184835368, 2.282894047944791, 5.861059147116723, actual_rep, 1, curr_step, 16, track_size, 81, robot_vel, 42.28, joints_pos, 28.2, 51.48, -16.3, -81.76, 6.87, 43.11, 64.74, tool_torque, 0.518, -0.519, 0.542, tool_momentum, 0.501, -0.524, 0.542, , robot_mode, normal, 
21/03/2022 15:38:04:404, robot_pos_with_timestamp, 1647873404497, 591.54, 164.09, 204.02, 2.25, 0.16, 3.11, tool_force, 1.4364596112591745, 2.2274521981198725, 5.916504760235411, actual_rep, 1, curr_step, 17, track_size, 81, robot_vel, 40.24, joints_pos, 27.73, 51.17, -16.26, -82.22, 6.7, 43.02, 64.29, tool_torque, 0.469, -0.586, 0.562, tool_momentum, 0.462, -0.577, 0.56, , robot_mode, normal, 
21/03/2022 15:38:04:564, robot_pos_with_timestamp, 1647873404644, 590.82, 158.4, 204.92, 2.25, 0.16, 3.12, tool_force, 1.554021863038951, 1.953130839746417, 5.891382151488399, actual_rep, 1, curr_step, 17, track_size, 81, robot_vel, 35.13, joints_pos, 27.29, 50.89, -16.24, -82.62, 6.53, 43.04, 63.88, tool_torque, 0.356, -0.55, 0.539, tool_momentum, 0.348, -0.556, 0.54, , robot_mode, normal, 
21/03/2022 15:38:04:705, robot_pos_with_timestamp, 1647873404796, 590.01, 152.51, 205.88, 2.25, 0.16, 3.12, tool_force, 1.775370796468512, 2.1239645605402493, 5.961315532012944, actual_rep, 1, curr_step, 18, track_size, 81, robot_vel, 39.17, joints_pos, 26.81, 50.58, -16.21, -83.05, 6.33, 43.06, 63.34, tool_torque, 0.342, -0.656, 0.55, tool_momentum, 0.331, -0.637, 0.55, , robot_mode, normal, 
21/03/2022 15:38:04:861, robot_pos_with_timestamp, 1647873404944, 588.97, 146.69, 206.92, 2.25, 0.16, 3.13, tool_force, 1.5218860056161194, 1.8340666732981272, 6.358879746059987, actual_rep, 1, curr_step, 19, track_size, 81, robot_vel, 37.35, joints_pos, 26.37, 50.25, -16.2, -83.51, 6.13, 43.09, 62.72, tool_torque, 0.292, -0.606, 0.531, tool_momentum, 0.304, -0.611, 0.531, , robot_mode, normal, 
21/03/2022 15:38:05:013, robot_pos_with_timestamp, 1647873405098, 587.77, 140.66, 208.1, 2.26, 0.16, 3.13, tool_force, 1.5106894596938656, 1.7853300635369962, 6.131014522413691, actual_rep, 1, curr_step, 19, track_size, 81, robot_vel, 42.73, joints_pos, 25.92, 49.9, -16.21, -83.98, 5.92, 43.16, 62.25, tool_torque, 0.256, -0.607, 0.523, tool_momentum, 0.251, -0.595, 0.523, , robot_mode, normal, 
21/03/2022 15:38:05:184, robot_pos_with_timestamp, 1647873405257, 586.43, 134.47, 209.38, 2.26, 0.16, 3.14, tool_force, 1.6620598273118268, 2.126902956193771, 6.193723728327722, actual_rep, 1, curr_step, 20, track_size, 81, robot_vel, 42.35, joints_pos, 25.45, 49.54, -16.21, -84.46, 5.69, 43.23, 61.78, tool_torque, 0.318, -0.653, 0.527, tool_momentum, 0.325, -0.644, 0.526, , robot_mode, normal, 
21/03/2022 15:38:05:327, robot_pos_with_timestamp, 1647873405406, 585.11, 128.69, 210.8, 2.26, 0.16, 3.14, tool_force, 1.175121613152115, 2.204174397267334, 6.020706920040026, actual_rep, 1, curr_step, 20, track_size, 81, robot_vel, 40.02, joints_pos, 25.01, 49.14, -16.2, -84.98, 5.57, 43.17, 61.07, tool_torque, 0.436, -0.546, 0.539, tool_momentum, 0.439, -0.54, 0.539, , robot_mode, normal, 
21/03/2022 15:38:05:491, robot_pos_with_timestamp, 1647873405553, 583.64, 122.48, 212.37, 2.27, 0.16, -3.14, tool_force, 1.2959778957042887, 2.446408712073048, 5.636391300044192, actual_rep, 1, curr_step, 21, track_size, 81, robot_vel, 42.27, joints_pos, 24.51, 48.68, -16.18, -85.6, 5.46, 42.98, 60.25, tool_torque, 0.538, -0.522, 0.52, tool_momentum, 0.535, -0.496, 0.52, , robot_mode, normal, 
21/03/2022 15:38:05:628, robot_pos_with_timestamp, 1647873405702, 582.01, 117.32, 214.18, 2.27, 0.16, -3.14, tool_force, 0.6508635789114754, 2.011865187890021, 2.3448612787925027, actual_rep, 1, curr_step, 21, track_size, 81, robot_vel, 39.48, joints_pos, 24.1, 48.2, -16.17, -86.18, 5.41, 42.75, 59.48, tool_torque, 0.242, -0.447, 0.556, tool_momentum, 0.244, -0.46, 0.556, , robot_mode, normal, 
21/03/2022 15:38:05:779, robot_pos_with_timestamp, 1647873405850, 579.57, 111.42, 219.42, 2.28, 0.16, -3.14, tool_force, 0.5287620238369399, -1.0192469916891789, -10.590306867608007, actual_rep, 1, curr_step, 22, track_size, 81, robot_vel, 62.85, joints_pos, 23.61, 47.3, -16.14, -86.91, 5.42, 42.93, 58.7, tool_torque, -1.08, -0.536, 0.576, tool_momentum, -1.093, -0.571, 0.594, , robot_mode, normal, 
21/03/2022 15:38:05:929, robot_pos_with_timestamp, 1647873406000, 576.63, 104.6, 222.45, 2.28, 0.15, -3.13, tool_force, -5.687196808750837, 4.602839290236178, -1.7817859127114246, actual_rep, 1, curr_step, 23, track_size, 81, robot_vel, 51.69, joints_pos, 23.02, 46.63, -16.09, -87.65, 5.41, 43.12, 57.85, tool_torque, -0.406, -0.328, 0.964, tool_momentum, -0.382, -0.327, 0.962, , robot_mode, normal, 
