21/03/2022 15:44:59: File Created!
21/03/2022 15:44:59:714, robot_pos_with_timestamp, 1647873819819, 536.62, 303.01, 194.86, 2.29, 0.04, 3.08, tool_force, -0.39, 1.08, 6.34, actual_rep, 1, curr_step, 1, track_size, 95, robot_vel, 0.0, joints_pos, 39.73, 52.36, -15.43, -81.07, 15.13, 44.64, 68.78, tool_torque, -0.079, 0.148, 0.014, tool_momentum, -0.078, 0.15, 0.014, robot_mode, normal, 
21/03/2022 15:44:59:877, robot_pos_with_timestamp, 1647873819955, 536.69, 302.78, 194.48, 2.29, 0.04, 3.08, tool_force, 0.17, 1.18, 5.75, actual_rep, 1, curr_step, 3, track_size, 95, robot_vel, 5.2, joints_pos, 39.71, 52.4, -15.43, -81.03, 15.07, 44.41, 68.33, tool_torque, 0.243, -0.296, 0.403, tool_momentum, 0.255, -0.309, 0.404, robot_mode, normal, 
21/03/2022 15:44:59:975, robot_pos_with_timestamp, 1647873820103, 540.84, 301.81, 194.39, 2.3, 0.05, 3.07, tool_force, 1.23, 1.36, 5.72, actual_rep, 1, curr_step, 4, track_size, 95, robot_vel, 40.44, joints_pos, 39.47, 52.56, -15.43, -80.78, 14.89, 43.82, 67.92, tool_torque, 0.323, -0.395, 0.468, tool_momentum, 0.328, -0.395, 0.468, robot_mode, normal, 
21/03/2022 15:45:00:126, robot_pos_with_timestamp, 1647873820252, 544.94, 296.79, 195.0, 2.31, 0.06, 3.06, tool_force, 1.61, 1.39, 5.84, actual_rep, 1, curr_step, 6, track_size, 95, robot_vel, 44.28, joints_pos, 38.96, 52.54, -15.48, -80.73, 14.64, 43.48, 67.35, tool_torque, 0.301, -0.437, 0.458, tool_momentum, 0.297, -0.43, 0.458, robot_mode, normal, 
21/03/2022 15:45:00:283, robot_pos_with_timestamp, 1647873820401, 548.31, 291.2, 195.5, 2.31, 0.06, 3.06, tool_force, 1.44, 1.26, 5.58, actual_rep, 1, curr_step, 7, track_size, 95, robot_vel, 41.29, joints_pos, 38.39, 52.51, -15.52, -80.72, 14.59, 43.42, 66.74, tool_torque, 0.331, -0.37, 0.456, tool_momentum, 0.327, -0.352, 0.458, robot_mode, normal, 
21/03/2022 15:45:00:458, robot_pos_with_timestamp, 1647873820550, 551.12, 285.05, 195.46, 2.31, 0.06, 3.06, tool_force, 0.88, 1.15, 6.03, actual_rep, 1, curr_step, 8, track_size, 95, robot_vel, 41.91, joints_pos, 37.88, 52.51, -15.69, -80.77, 14.29, 43.44, 66.51, tool_torque, 0.104, -0.298, 0.304, tool_momentum, 0.096, -0.399, 0.302, robot_mode, normal, 
21/03/2022 15:45:00:579, robot_pos_with_timestamp, 1647873820697, 553.5, 279.63, 195.45, 2.3, 0.07, 3.07, tool_force, 1.74, 0.99, 5.7, actual_rep, 1, curr_step, 8, track_size, 95, robot_vel, 38.6, joints_pos, 37.57, 52.54, -15.84, -80.77, 13.97, 43.55, 66.56, tool_torque, 0.045, -0.359, 0.274, tool_momentum, 0.022, -0.332, 0.275, robot_mode, normal, 
21/03/2022 15:45:00:769, robot_pos_with_timestamp, 1647873820846, 556.13, 273.67, 195.2, 2.3, 0.07, 3.07, tool_force, 1.12, 1.62, 5.99, actual_rep, 1, curr_step, 9, track_size, 95, robot_vel, 42.53, joints_pos, 36.99, 52.54, -15.86, -80.83, 13.91, 43.49, 66.2, tool_torque, 0.252, -0.406, 0.454, tool_momentum, 0.251, -0.392, 0.451, robot_mode, normal, 
21/03/2022 15:45:00:889, robot_pos_with_timestamp, 1647873821003, 558.54, 267.71, 195.05, 2.29, 0.08, 3.07, tool_force, 1.18, 1.84, 5.65, actual_rep, 1, curr_step, 9, track_size, 95, robot_vel, 41.01, joints_pos, 36.48, 52.5, -15.87, -80.96, 13.54, 43.31, 66.18, tool_torque, 0.368, -0.342, 0.378, tool_momentum, 0.374, -0.346, 0.382, robot_mode, normal, 
21/03/2022 15:45:01:031, robot_pos_with_timestamp, 1647873821145, 560.27, 262.11, 194.82, 2.29, 0.08, 3.07, tool_force, 1.26, 1.64, 5.82, actual_rep, 1, curr_step, 10, track_size, 95, robot_vel, 39.09, joints_pos, 35.99, 52.46, -15.86, -81.09, 13.27, 43.31, 66.0, tool_torque, 0.251, -0.477, 0.483, tool_momentum, 0.249, -0.486, 0.485, robot_mode, normal, 
21/03/2022 15:45:01:182, robot_pos_with_timestamp, 1647873821292, 562.36, 256.4, 194.58, 2.29, 0.08, 3.08, tool_force, 1.58, 1.6, 5.98, actual_rep, 1, curr_step, 11, track_size, 95, robot_vel, 43.59, joints_pos, 35.43, 52.46, -15.83, -81.12, 13.09, 43.41, 65.73, tool_torque, 0.197, -0.584, 0.512, tool_momentum, 0.199, -0.592, 0.514, robot_mode, normal, 
