21/03/2022 15:59:48: File Created!
21/03/2022 15:59:48:409, robot_pos_w_timestamp, 1647874708193, 524.52, 330.03, 202.33, 2.28, 0.0, 3.06, tool_force, -1.0, -0.18, 0.33, actual_rep, 1, curr_step, 1, track_size, 82, robot_vel, 0.0, joints_pos, 41.42, 51.69, -14.64, -80.79, 17.56, 44.9, 69.84, tool_torque, -0.022, -0.056, 0.162, tool_momentum, -0.022, -0.056, 0.162, robot_mode, normal, 
21/03/2022 15:59:48:518, robot_pos_w_timestamp, 1647874708315, 524.53, 330.03, 202.34, 2.28, 0.0, 3.06, tool_force, -0.98, -0.19, 0.37, actual_rep, 1, curr_step, 1, track_size, 82, robot_vel, 0.0, joints_pos, 41.42, 51.69, -14.64, -80.79, 17.56, 44.9, 69.84, tool_torque, -0.021, -0.064, 0.165, tool_momentum, -0.022, -0.062, 0.164, robot_mode, normal, 
21/03/2022 15:59:48:653, robot_pos_w_timestamp, 1647874708463, 524.5, 330.01, 201.51, 2.28, 0.0, 3.06, tool_force, -1.2, 0.5, 1.47, actual_rep, 1, curr_step, 2, track_size, 82, robot_vel, 10.88, joints_pos, 41.42, 51.77, -14.64, -80.78, 17.56, 44.83, 69.84, tool_torque, 0.183, 0.032, 0.156, tool_momentum, 0.185, 0.048, 0.156, robot_mode, normal, 
21/03/2022 15:59:48:802, robot_pos_w_timestamp, 1647874708612, 527.68, 325.02, 203.35, 2.28, 0.01, 3.06, tool_force, -1.93, 0.12, 0.61, actual_rep, 1, curr_step, 3, track_size, 82, robot_vel, 29.91, joints_pos, 41.37, 51.67, -15.26, -80.79, 17.42, 44.95, 69.84, tool_torque, 0.016, -0.094, 0.197, tool_momentum, 0.022, -0.12, 0.201, robot_mode, normal, 
21/03/2022 15:59:48:953, robot_pos_w_timestamp, 1647874708761, 530.55, 319.51, 204.55, 2.27, 0.02, 3.06, tool_force, -0.45, 0.33, 0.29, actual_rep, 1, curr_step, 4, track_size, 82, robot_vel, 50.37, joints_pos, 41.27, 51.58, -15.81, -80.91, 17.19, 44.92, 69.83, tool_torque, 0.124, -0.226, 0.208, tool_momentum, 0.136, -0.243, 0.21, robot_mode, normal, 
21/03/2022 15:59:49:103, robot_pos_w_timestamp, 1647874708909, 533.47, 313.95, 205.68, 2.27, 0.03, 3.06, tool_force, 0.17, 0.41, 0.36, actual_rep, 1, curr_step, 4, track_size, 82, robot_vel, 41.27, joints_pos, 41.15, 51.5, -16.35, -81.0, 16.93, 44.92, 69.87, tool_torque, 0.101, -0.247, 0.161, tool_momentum, 0.102, -0.255, 0.161, robot_mode, normal, 
21/03/2022 15:59:49:269, robot_pos_w_timestamp, 1647874709063, 536.46, 307.86, 206.74, 2.26, 0.04, 3.06, tool_force, 0.64, 0.45, 0.44, actual_rep, 1, curr_step, 5, track_size, 82, robot_vel, 43.18, joints_pos, 41.07, 51.44, -17.0, -81.12, 16.69, 44.92, 69.86, tool_torque, 0.126, -0.277, 0.206, tool_momentum, 0.134, -0.283, 0.206, robot_mode, normal, 
21/03/2022 15:59:49:423, robot_pos_w_timestamp, 1647874709209, 539.19, 302.23, 207.69, 2.25, 0.05, 3.06, tool_force, 0.36, 0.49, 0.42, actual_rep, 1, curr_step, 6, track_size, 82, robot_vel, 47.02, joints_pos, 40.99, 51.4, -17.57, -81.21, 16.49, 44.92, 69.85, tool_torque, 0.143, -0.344, 0.249, tool_momentum, 0.143, -0.473, 0.274, robot_mode, normal, 
21/03/2022 15:59:49:556, robot_pos_w_timestamp, 1647874709357, 541.77, 296.57, 208.54, 2.25, 0.06, 3.06, tool_force, 1.18, 0.41, 0.15, actual_rep, 1, curr_step, 6, track_size, 82, robot_vel, 44.75, joints_pos, 40.89, 51.35, -18.1, -81.33, 16.25, 44.92, 69.83, tool_torque, 0.154, -0.479, 0.304, tool_momentum, 0.151, -0.463, 0.304, robot_mode, normal, 
21/03/2022 15:59:49:705, robot_pos_w_timestamp, 1647874709509, 544.37, 290.67, 209.44, 2.24, 0.07, 3.07, tool_force, 0.64, 0.45, 0.28, actual_rep, 1, curr_step, 6, track_size, 82, robot_vel, 42.57, joints_pos, 40.75, 51.3, -18.62, -81.43, 15.96, 44.92, 69.83, tool_torque, 0.155, -0.466, 0.294, tool_momentum, 0.157, -0.476, 0.294, robot_mode, normal, 
21/03/2022 15:59:49:858, robot_pos_w_timestamp, 1647874709655, 546.79, 284.96, 210.22, 2.24, 0.08, 3.07, tool_force, 0.5, 0.47, 0.31, actual_rep, 1, curr_step, 7, track_size, 82, robot_vel, 42.13, joints_pos, 40.59, 51.25, -19.08, -81.55, 15.67, 44.93, 69.82, tool_torque, 0.136, -0.434, 0.288, tool_momentum, 0.138, -0.438, 0.288, robot_mode, normal, 
