22/03/2022 14:59:07: File Created!
22/03/2022 14:59:07:957, robot_pos_w_timestamp, 1647957466861, 536.69, 303.07, 194.85, 2.29, 0.04, 3.08, tool_force, 0.41, 1.29, 5.64, actual_rep, 1, curr_step, 1, track_size, 95, robot_vel, 0.0, joints_pos, 41.77, 52.87, -18.66, -81.07, 18.75, 45.11, 66.47, tool_torque, 0.302, -0.2, 0.343, tool_momentum, 0.302, -0.2, 0.343, robot_mode, normal, 
22/03/2022 14:59:08:091, robot_pos_w_timestamp, 1647957467012, 536.65, 302.96, 193.85, 2.29, 0.04, 3.08, tool_force, 0.56, 1.08, 5.44, actual_rep, 1, curr_step, 1, track_size, 95, robot_vel, 3.75, joints_pos, 41.77, 52.97, -18.66, -81.05, 18.75, 45.03, 66.47, tool_torque, 0.324, -0.257, 0.296, tool_momentum, 0.334, -0.26, 0.298, robot_mode, normal, 
22/03/2022 14:59:08:223, robot_pos_w_timestamp, 1647957467142, 538.63, 302.92, 193.8, 2.3, 0.04, 3.08, tool_force, 1.15, 1.3, 5.71, actual_rep, 1, curr_step, 3, track_size, 95, robot_vel, 20.89, joints_pos, 41.67, 53.1, -18.68, -80.79, 18.72, 44.85, 65.8, tool_torque, 0.353, -0.258, 0.4, tool_momentum, 0.335, -0.239, 0.399, robot_mode, normal, 
22/03/2022 14:59:08:377, robot_pos_w_timestamp, 1647957467290, 542.69, 300.41, 194.63, 2.31, 0.05, 3.06, tool_force, 0.95, 1.94, 6.37, actual_rep, 1, curr_step, 5, track_size, 95, robot_vel, 29.52, joints_pos, 41.38, 53.09, -18.77, -80.72, 18.66, 44.07, 65.2, tool_torque, 0.474, -0.346, 0.45, tool_momentum, 0.49, -0.416, 0.453, robot_mode, normal, 
22/03/2022 14:59:08:524, robot_pos_w_timestamp, 1647957467438, 546.26, 294.46, 195.21, 2.31, 0.06, 3.06, tool_force, 1.44, 1.46, 5.68, actual_rep, 1, curr_step, 6, track_size, 95, robot_vel, 53.86, joints_pos, 40.87, 53.06, -18.93, -80.74, 18.68, 44.0, 64.47, tool_torque, 0.376, -0.395, 0.438, tool_momentum, 0.389, -0.415, 0.44, robot_mode, normal, 
22/03/2022 14:59:08:674, robot_pos_w_timestamp, 1647957467585, 549.59, 288.71, 195.53, 2.31, 0.06, 3.06, tool_force, 1.05, 1.54, 5.81, actual_rep, 1, curr_step, 7, track_size, 95, robot_vel, 44.52, joints_pos, 40.31, 53.04, -18.97, -80.73, 18.52, 43.92, 64.02, tool_torque, 0.36, -0.296, 0.425, tool_momentum, 0.371, -0.328, 0.427, robot_mode, normal, 
22/03/2022 14:59:08:831, robot_pos_w_timestamp, 1647957467735, 552.12, 282.76, 195.48, 2.3, 0.07, 3.07, tool_force, 0.63, 0.72, 5.78, actual_rep, 1, curr_step, 8, track_size, 95, robot_vel, 42.47, joints_pos, 39.89, 53.05, -19.09, -80.76, 17.95, 43.99, 64.14, tool_torque, -0.0010, -0.134, 0.143, tool_momentum, 0.011, -0.167, 0.148, robot_mode, normal, 
22/03/2022 14:59:08:974, robot_pos_w_timestamp, 1647957467884, 554.57, 277.15, 195.32, 2.3, 0.07, 3.07, tool_force, 1.13, 1.39, 6.04, actual_rep, 1, curr_step, 8, track_size, 95, robot_vel, 43.3, joints_pos, 39.36, 53.05, -19.1, -80.8, 17.76, 44.01, 63.93, tool_torque, 0.172, -0.435, 0.409, tool_momentum, 0.177, -0.446, 0.409, robot_mode, normal, 
22/03/2022 14:59:09:127, robot_pos_w_timestamp, 1647957468032, 557.04, 271.45, 195.13, 2.3, 0.07, 3.07, tool_force, 1.19, 1.89, 5.74, actual_rep, 1, curr_step, 9, track_size, 95, robot_vel, 37.75, joints_pos, 38.82, 53.04, -19.1, -80.87, 17.49, 43.92, 63.77, tool_torque, 0.433, -0.429, 0.401, tool_momentum, 0.427, -0.41, 0.401, robot_mode, normal, 
22/03/2022 14:59:09:311, robot_pos_w_timestamp, 1647957468180, 559.2, 265.67, 195.03, 2.29, 0.08, 3.07, tool_force, 0.9, 1.92, 5.61, actual_rep, 1, curr_step, 10, track_size, 95, robot_vel, 41.92, joints_pos, 38.34, 52.99, -19.11, -81.0, 17.16, 43.79, 63.72, tool_torque, 0.435, -0.314, 0.397, tool_momentum, 0.435, -0.323, 0.4, robot_mode, normal, 
22/03/2022 14:59:09:428, robot_pos_w_timestamp, 1647957468328, 561.1, 259.91, 194.69, 2.29, 0.08, 3.08, tool_force, 1.75, 1.84, 6.08, actual_rep, 1, curr_step, 10, track_size, 95, robot_vel, 39.7, joints_pos, 37.81, 52.99, -19.1, -81.07, 16.96, 43.86, 63.42, tool_torque, 0.276, -0.51, 0.445, tool_momentum, 0.269, -0.51, 0.447, robot_mode, normal, 
22/03/2022 14:59:09:577, robot_pos_w_timestamp, 1647957468476, 563.21, 254.13, 194.38, 2.29, 0.08, 3.08, tool_force, 1.35, 1.71, 6.03, actual_rep, 1, curr_step, 11, track_size, 95, robot_vel, 39.22, joints_pos, 37.26, 52.99, -19.08, -81.13, 16.83, 43.89, 63.17, tool_torque, 0.266, -0.576, 0.469, tool_momentum, 0.265, -0.562, 0.469, robot_mode, normal, 
