22/03/2022 14:59:27: File Created!
22/03/2022 14:59:27:083, robot_pos_w_timestamp, 1647957485777, 536.65, 303.05, 194.85, 2.29, 0.04, 3.08, tool_force, 0.35, 0.86, 6.04, actual_rep, 1, curr_step, 1, track_size, 95, robot_vel, 8.22, joints_pos, 42.3, 53.01, -19.5, -81.07, 19.7, 45.28, 65.88, tool_torque, 0.0090, -0.304, 0.287, tool_momentum, 0.012, -0.303, 0.286, robot_mode, rotation_overlay, 
22/03/2022 14:59:27:172, robot_pos_w_timestamp, 1647957485852, 536.66, 302.99, 194.62, 2.29, 0.04, 3.08, tool_force, 0.49, 0.61, 5.25, actual_rep, 1, curr_step, 2, track_size, 95, robot_vel, 4.06, joints_pos, 42.3, 53.04, -19.51, -81.06, 19.7, 45.27, 65.87, tool_torque, -0.023, -0.361, 0.37, tool_momentum, 0.07, -0.348, 0.372, robot_mode, rotation_overlay, 
22/03/2022 14:59:27:273, robot_pos_w_timestamp, 1647957485989, 538.42, 302.76, 193.75, 2.3, 0.04, 3.08, tool_force, 0.75, 0.58, 5.66, actual_rep, 1, curr_step, 3, track_size, 95, robot_vel, 27.52, joints_pos, 42.22, 53.25, -19.56, -80.81, 19.7, 45.12, 65.24, tool_torque, 0.198, -0.3, 0.419, tool_momentum, 0.228, -0.318, 0.421, robot_mode, rotation_overlay, 
22/03/2022 14:59:27:425, robot_pos_w_timestamp, 1647957486138, 543.71, 298.99, 194.74, 2.3, 0.06, 3.06, tool_force, 1.54, 1.61, 5.36, actual_rep, 1, curr_step, 6, track_size, 95, robot_vel, 57.13, joints_pos, 41.95, 53.28, -19.88, -80.73, 19.61, 44.14, 64.57, tool_torque, 0.389, -0.318, 0.415, tool_momentum, 0.375, -0.291, 0.411, robot_mode, rotation_overlay, 
22/03/2022 14:59:27:578, robot_pos_w_timestamp, 1647957486287, 546.87, 293.28, 195.33, 2.31, 0.06, 3.06, tool_force, 1.39, 1.72, 5.71, actual_rep, 1, curr_step, 6, track_size, 95, robot_vel, 39.26, joints_pos, 41.43, 53.18, -19.93, -80.83, 19.57, 43.91, 63.88, tool_torque, 0.352, -0.363, 0.426, tool_momentum, 0.351, -0.364, 0.425, robot_mode, rotation_overlay, 
22/03/2022 14:59:27:724, robot_pos_w_timestamp, 1647957486435, 550.03, 287.15, 195.42, 2.31, 0.06, 3.06, tool_force, 0.86, 1.24, 6.14, actual_rep, 1, curr_step, 7, track_size, 95, robot_vel, 48.18, joints_pos, 40.78, 53.18, -19.91, -80.82, 19.44, 43.98, 63.4, tool_torque, 0.149, -0.388, 0.385, tool_momentum, 0.135, -0.377, 0.382, robot_mode, rotation_overlay, 
22/03/2022 14:59:27:877, robot_pos_w_timestamp, 1647957486582, 552.68, 281.4, 195.41, 2.3, 0.07, 3.07, tool_force, 1.43, 0.84, 6.09, actual_rep, 1, curr_step, 8, track_size, 95, robot_vel, 40.66, joints_pos, 40.31, 53.2, -19.95, -80.79, 18.84, 44.09, 63.54, tool_torque, -0.02, -0.442, 0.25, tool_momentum, -0.015, -0.446, 0.251, robot_mode, rotation_overlay, 
22/03/2022 14:59:28:028, robot_pos_w_timestamp, 1647957486732, 555.15, 275.79, 195.21, 2.3, 0.07, 3.07, tool_force, 1.28, 1.27, 6.07, actual_rep, 1, curr_step, 9, track_size, 95, robot_vel, 45.86, joints_pos, 39.75, 53.2, -19.94, -80.83, 18.7, 44.1, 63.19, tool_torque, 0.119, -0.474, 0.433, tool_momentum, 0.122, -0.479, 0.434, robot_mode, rotation_overlay, 
22/03/2022 14:59:28:179, robot_pos_w_timestamp, 1647957486879, 557.64, 269.94, 195.04, 2.29, 0.08, 3.07, tool_force, 0.9, 1.67, 5.79, actual_rep, 1, curr_step, 9, track_size, 95, robot_vel, 42.45, joints_pos, 39.23, 53.18, -19.94, -80.92, 18.38, 43.96, 63.15, tool_torque, 0.34, -0.363, 0.369, tool_momentum, 0.349, -0.374, 0.37, robot_mode, rotation_overlay, 
22/03/2022 14:59:28:330, robot_pos_w_timestamp, 1647957487031, 559.67, 264.07, 194.91, 2.29, 0.08, 3.07, tool_force, 1.33, 1.86, 5.75, actual_rep, 1, curr_step, 10, track_size, 95, robot_vel, 40.87, joints_pos, 38.74, 53.13, -19.95, -81.05, 18.06, 43.88, 63.04, tool_torque, 0.357, -0.449, 0.432, tool_momentum, 0.374, -0.465, 0.434, robot_mode, rotation_overlay, 
22/03/2022 14:59:28:482, robot_pos_w_timestamp, 1647957487175, 561.66, 258.38, 194.67, 2.29, 0.08, 3.08, tool_force, 1.48, 1.59, 6.12, actual_rep, 1, curr_step, 11, track_size, 95, robot_vel, 43.18, joints_pos, 38.18, 53.13, -19.93, -81.09, 17.86, 44.01, 62.71, tool_torque, 0.171, -0.53, 0.436, tool_momentum, 0.168, -0.532, 0.437, robot_mode, rotation_overlay, 
22/03/2022 14:59:28:637, robot_pos_w_timestamp, 1647957487326, 563.74, 252.62, 194.27, 2.28, 0.08, 3.08, tool_force, 1.29, 1.68, 6.17, actual_rep, 1, curr_step, 11, track_size, 95, robot_vel, 42.34, joints_pos, 37.61, 53.13, -19.9, -81.16, 17.78, 44.0, 62.47, tool_torque, 0.265, -0.651, 0.451, tool_momentum, 0.261, -0.646, 0.45, robot_mode, rotation_overlay, 
22/03/2022 14:59:28:778, robot_pos_w_timestamp, 1647957487476, 565.8, 246.83, 194.0, 2.28, 0.08, 3.08, tool_force, 1.64, 1.96, 5.94, actual_rep, 1, curr_step, 12, track_size, 95, robot_vel, 37.3, joints_pos, 37.08, 53.12, -19.9, -81.23, 17.76, 43.98, 62.13, tool_torque, 0.348, -0.604, 0.481, tool_momentum, 0.345, -0.591, 0.481, robot_mode, rotation_overlay, 
22/03/2022 14:59:28:932, robot_pos_w_timestamp, 1647957487623, 567.72, 241.13, 193.79, 2.28, 0.08, 3.08, tool_force, 1.32, 2.15, 5.88, actual_rep, 1, curr_step, 12, track_size, 95, robot_vel, 38.84, joints_pos, 36.53, 53.08, -19.89, -81.35, 17.76, 43.89, 61.66, tool_torque, 0.518, -0.553, 0.461, tool_momentum, 0.53, -0.57, 0.461, robot_mode, rotation_overlay, 
22/03/2022 14:59:29:079, robot_pos_w_timestamp, 1647957487770, 569.54, 235.2, 193.55, 2.28, 0.08, 3.08, tool_force, 1.74, 1.83, 5.97, actual_rep, 1, curr_step, 13, track_size, 95, robot_vel, 47.0, joints_pos, 35.95, 53.07, -19.89, -81.4, 17.76, 43.99, 61.1, tool_torque, 0.31, -0.645, 0.467, tool_momentum, 0.301, -0.634, 0.467, robot_mode, rotation_overlay, 
22/03/2022 14:59:29:229, robot_pos_w_timestamp, 1647957487919, 571.45, 229.39, 193.25, 2.28, 0.08, 3.09, tool_force, 1.59, 1.59, 6.2, actual_rep, 1, curr_step, 14, track_size, 95, robot_vel, 41.2, joints_pos, 35.42, 53.1, -19.91, -81.41, 17.68, 44.13, 60.65, tool_torque, 0.16, -0.605, 0.448, tool_momentum, 0.148, -0.597, 0.446, robot_mode, rotation_overlay, 
22/03/2022 14:59:29:407, robot_pos_w_timestamp, 1647957488053, 572.65, 226.89, 193.02, 2.28, 0.08, 3.09, tool_force, 2.11, 1.32, 5.99, actual_rep, 1, curr_step, 14, track_size, 95, robot_vel, 22.09, joints_pos, 35.02, 53.14, -19.71, -81.3, 17.55, 44.29, 60.45, tool_torque, 0.203, -0.714, 0.407, tool_momentum, 0.198, -0.73, 0.406, robot_mode, rotation_overlay, 
22/03/2022 14:59:29:573, robot_pos_w_timestamp, 1647957488197, 572.91, 226.18, 191.51, 2.29, 0.08, 3.09, tool_force, 1.08, 1.57, 6.33, actual_rep, 1, curr_step, 14, track_size, 95, robot_vel, 15.94, joints_pos, 35.02, 53.32, -19.76, -81.25, 17.31, 44.21, 59.97, tool_torque, 0.283, -0.483, 0.437, tool_momentum, 0.278, -0.482, 0.437, robot_mode, rotation_overlay, 
22/03/2022 14:59:29:683, robot_pos_w_timestamp, 1647957488347, 573.71, 224.68, 191.66, 2.33, 0.09, 3.1, tool_force, 1.72, 0.86, 5.42, actual_rep, 1, curr_step, 14, track_size, 95, robot_vel, 10.78, joints_pos, 34.93, 53.34, -19.83, -81.2, 17.14, 44.25, 57.47, tool_torque, 0.144, -0.518, 0.443, tool_momentum, 0.147, -0.516, 0.443, robot_mode, rotation_overlay, 
22/03/2022 14:59:29:834, robot_pos_w_timestamp, 1647957488495, 574.42, 222.69, 192.06, 2.4, 0.09, 3.1, tool_force, 1.19, 2.11, 5.55, actual_rep, 1, curr_step, 14, track_size, 95, robot_vel, 12.49, joints_pos, 34.67, 53.24, -19.71, -81.29, 17.07, 44.1, 53.08, tool_torque, 0.549, -0.53, 0.506, tool_momentum, 0.556, -0.537, 0.506, robot_mode, rotation_overlay, 
22/03/2022 14:59:29:981, robot_pos_w_timestamp, 1647957488643, 575.04, 220.36, 192.49, 2.46, 0.1, 3.11, tool_force, 0.92, 2.24, 5.45, actual_rep, 1, curr_step, 15, track_size, 95, robot_vel, 15.29, joints_pos, 34.44, 53.14, -19.68, -81.4, 17.05, 43.96, 49.71, tool_torque, 0.639, -0.449, 0.492, tool_momentum, 0.65, -0.455, 0.495, robot_mode, rotation_overlay, 
22/03/2022 14:59:30:135, robot_pos_w_timestamp, 1647957488792, 575.68, 218.29, 192.82, 2.49, 0.1, 3.11, tool_force, 0.66, 2.38, 5.87, actual_rep, 1, curr_step, 15, track_size, 95, robot_vel, 16.97, joints_pos, 34.37, 53.12, -19.83, -81.44, 16.92, 43.94, 48.32, tool_torque, 0.536, -0.321, 0.424, tool_momentum, 0.535, -0.323, 0.424, robot_mode, rotation_overlay, 
22/03/2022 14:59:30:289, robot_pos_w_timestamp, 1647957488922, 575.73, 217.94, 192.69, 2.49, 0.1, 3.11, tool_force, 0.56, 1.93, 5.4, actual_rep, 1, curr_step, 15, track_size, 95, robot_vel, 0.98, joints_pos, 34.37, 53.14, -19.86, -81.45, 16.9, 43.94, 48.25, tool_torque, 0.339, -0.194, 0.295, tool_momentum, 0.307, -0.178, 0.288, robot_mode, rotation_overlay, 
22/03/2022 14:59:30:435, robot_pos_w_timestamp, 1647957489072, 576.31, 216.99, 191.36, 2.46, 0.1, 3.11, tool_force, 0.88, 1.7, 5.8, actual_rep, 1, curr_step, 15, track_size, 95, robot_vel, 14.93, joints_pos, 34.24, 53.28, -19.91, -81.44, 17.44, 43.77, 49.11, tool_torque, 0.368, -0.17, 0.032, tool_momentum, 0.357, -0.162, 0.032, robot_mode, rotation_overlay, 
22/03/2022 14:59:30:589, robot_pos_w_timestamp, 1647957489221, 576.91, 215.48, 191.48, 2.41, 0.09, 3.1, tool_force, 0.43, 1.45, 6.16, actual_rep, 1, curr_step, 15, track_size, 95, robot_vel, 6.44, joints_pos, 34.23, 53.3, -20.15, -81.45, 17.85, 43.81, 51.95, tool_torque, 0.116, -0.115, -0.035, tool_momentum, 0.106, -0.109, -0.037, robot_mode, rotation_overlay, 
22/03/2022 14:59:30:742, robot_pos_w_timestamp, 1647957489372, 577.21, 214.08, 191.58, 2.32, 0.09, 3.09, tool_force, 0.27, 0.93, 6.34, actual_rep, 1, curr_step, 15, track_size, 95, robot_vel, 8.04, joints_pos, 34.31, 53.35, -20.45, -81.46, 18.05, 43.94, 56.89, tool_torque, -0.143, 0.0050, -0.078, tool_momentum, -0.151, 0.024, -0.079, robot_mode, rotation_overlay, 
22/03/2022 14:59:30:891, robot_pos_w_timestamp, 1647957489519, 577.5, 212.78, 191.77, 2.21, 0.09, 3.09, tool_force, -0.07, 0.56, 6.42, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 7.64, joints_pos, 34.41, 53.4, -20.76, -81.42, 18.08, 44.15, 63.3, tool_torque, -0.256, 0.15, -0.13, tool_momentum, -0.26, 0.162, -0.131, robot_mode, rotation_overlay, 
22/03/2022 14:59:31:044, robot_pos_w_timestamp, 1647957489669, 577.81, 211.62, 191.96, 2.12, 0.08, 3.08, tool_force, 0.06, 0.47, 6.34, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 8.03, joints_pos, 34.4, 53.42, -20.88, -81.39, 17.95, 44.27, 68.25, tool_torque, -0.24, 0.097, -0.09, tool_momentum, -0.243, 0.095, -0.09, robot_mode, rotation_overlay, 
22/03/2022 14:59:31:201, robot_pos_w_timestamp, 1647957489816, 578.33, 210.48, 192.3, 2.06, 0.08, 3.08, tool_force, 0.65, 0.76, 5.76, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 9.27, joints_pos, 34.26, 53.38, -20.83, -81.4, 17.89, 44.24, 71.35, tool_torque, 0.014, -0.234, 0.017, tool_momentum, 0.021, -0.24, 0.018, robot_mode, rotation_overlay, 
22/03/2022 14:59:31:345, robot_pos_w_timestamp, 1647957489966, 578.62, 209.3, 192.64, 2.04, 0.08, 3.07, tool_force, 0.96, 1.34, 5.72, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 6.88, joints_pos, 34.05, 53.26, -20.69, -81.51, 17.88, 44.03, 72.21, tool_torque, 0.277, -0.437, 0.08, tool_momentum, 0.3, -0.433, 0.079, robot_mode, rotation_overlay, 
22/03/2022 14:59:31:491, robot_pos_w_timestamp, 1647957490095, 578.46, 208.91, 192.57, 2.04, 0.08, 3.07, tool_force, 1.34, 1.6, 5.81, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 3.62, joints_pos, 33.94, 53.21, -20.56, -81.58, 17.85, 43.99, 72.21, tool_torque, 0.318, -0.559, 0.204, tool_momentum, 0.33, -0.561, 0.206, robot_mode, rotation_overlay, 
22/03/2022 14:59:31:803, robot_pos_w_timestamp, 1647957490394, 578.8, 206.94, 191.63, 2.12, 0.08, 3.08, tool_force, 1.74, 1.18, 6.1, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 10.08, joints_pos, 33.72, 53.31, -20.48, -81.53, 17.59, 44.09, 67.45, tool_torque, 0.192, -0.827, 0.526, tool_momentum, 0.191, -0.817, 0.524, robot_mode, rotation_overlay, 
22/03/2022 14:59:31:948, robot_pos_w_timestamp, 1647957490542, 579.64, 206.04, 191.5, 2.21, 0.09, 3.09, tool_force, 2.17, 0.98, 5.57, actual_rep, 1, curr_step, 16, track_size, 95, robot_vel, 7.98, joints_pos, 33.44, 53.32, -20.28, -81.45, 17.66, 44.11, 62.11, tool_torque, 0.254, -0.901, 0.528, tool_momentum, 0.252, -0.879, 0.524, robot_mode, rotation_overlay, 
22/03/2022 14:59:32:096, robot_pos_w_timestamp, 1647957490692, 580.18, 204.71, 191.78, 2.32, 0.09, 3.1, tool_force, 1.68, 2.22, 5.6, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 9.24, joints_pos, 33.09, 53.22, -20.04, -81.52, 17.94, 43.97, 55.32, tool_torque, 0.676, -0.782, 0.519, tool_momentum, 0.674, -0.773, 0.519, robot_mode, rotation_overlay, 
22/03/2022 14:59:32:250, robot_pos_w_timestamp, 1647957490840, 580.49, 203.39, 192.02, 2.41, 0.09, 3.1, tool_force, 0.98, 2.29, 5.79, actual_rep, 1, curr_step, 17, track_size, 95, robot_vel, 8.23, joints_pos, 32.89, 53.15, -19.99, -81.58, 18.2, 43.94, 50.15, tool_torque, 0.658, -0.583, 0.452, tool_momentum, 0.653, -0.58, 0.452, robot_mode, rotation_overlay, 
