30/03/2022 10:16:25: File Created!
30/03/2022 10:16:25:887, robot_pos_w_timestamp, 1648628101408, 549.96, 316.46, 244.24, 2.27, 0.05, 3.05, tool_force, 0.44, 0.2, 0.24, actual_rep, 1, curr_step, 1, track_size, 86, robot_vel, 0.0, joints_pos, 41.97, 49.89, -18.77, -77.69, 16.19, 49.43, 70.08, tool_torque, -0.02, -0.34, 0.109, tool_momentum, -0.019, -0.338, 0.109, robot_mode, normal, 
30/03/2022 10:16:26:004, robot_pos_w_timestamp, 1648628101537, 549.9, 316.34, 242.9, 2.27, 0.05, 3.05, tool_force, 0.65, 0.89, 1.15, actual_rep, 1, curr_step, 2, track_size, 86, robot_vel, 14.46, joints_pos, 41.96, 50.05, -18.77, -77.65, 16.19, 49.42, 70.07, tool_torque, 0.129, -0.386, 0.22, tool_momentum, 0.122, -0.384, 0.22, robot_mode, normal, 
30/03/2022 10:16:26:304, robot_pos_w_timestamp, 1648628101832, 553.14, 310.89, 240.12, 2.27, 0.06, 3.06, tool_force, 2.28, 0.68, -0.66, actual_rep, 1, curr_step, 6, track_size, 86, robot_vel, 45.47, joints_pos, 41.44, 50.3, -18.81, -77.68, 16.1, 49.14, 69.29, tool_torque, 0.336, -0.667, 0.532, tool_momentum, 0.337, -0.65, 0.531, robot_mode, normal, 
30/03/2022 10:16:26:415, robot_pos_w_timestamp, 1648628101982, 556.89, 304.97, 238.39, 2.27, 0.06, 3.06, tool_force, 1.27, 0.6, 0.13, actual_rep, 1, curr_step, 7, track_size, 86, robot_vel, 41.67, joints_pos, 40.9, 50.53, -18.92, -77.58, 16.1, 49.06, 68.75, tool_torque, 0.287, -0.486, 0.493, tool_momentum, 0.288, -0.509, 0.495, robot_mode, normal, 
30/03/2022 10:16:26:610, robot_pos_w_timestamp, 1648628102128, 560.17, 299.14, 237.29, 2.27, 0.06, 3.06, tool_force, 1.15, 0.01, -0.45, actual_rep, 1, curr_step, 8, track_size, 86, robot_vel, 44.69, joints_pos, 40.53, 50.69, -19.22, -77.56, 16.1, 48.99, 68.27, tool_torque, 0.206, -0.401, 0.445, tool_momentum, 0.205, -0.388, 0.442, robot_mode, normal, 
30/03/2022 10:16:26:720, robot_pos_w_timestamp, 1648628102277, 563.07, 293.45, 236.88, 2.27, 0.07, 3.06, tool_force, 1.07, -0.2, -0.8, actual_rep, 1, curr_step, 8, track_size, 86, robot_vel, 47.78, joints_pos, 40.17, 50.78, -19.51, -77.56, 16.1, 48.99, 67.98, tool_torque, 0.134, -0.35, 0.428, tool_momentum, 0.149, -0.347, 0.429, robot_mode, normal, 
30/03/2022 10:16:26:899, robot_pos_w_timestamp, 1648628102425, 565.75, 287.66, 236.58, 2.26, 0.07, 3.06, tool_force, 1.41, 0.4, -0.11, actual_rep, 1, curr_step, 9, track_size, 86, robot_vel, 42.05, joints_pos, 39.81, 50.85, -19.8, -77.58, 16.1, 49.05, 67.72, tool_torque, 0.096, -0.414, 0.448, tool_momentum, 0.086, -0.396, 0.447, robot_mode, normal, 
30/03/2022 10:16:27:018, robot_pos_w_timestamp, 1648628102573, 568.17, 281.79, 236.61, 2.26, 0.08, 3.07, tool_force, 1.53, 0.29, 0.2, actual_rep, 1, curr_step, 9, track_size, 86, robot_vel, 40.88, joints_pos, 39.46, 50.86, -20.08, -77.64, 16.1, 49.13, 67.5, tool_torque, 0.027, -0.489, 0.442, tool_momentum, 0.015, -0.493, 0.442, robot_mode, normal, 
30/03/2022 10:16:27:169, robot_pos_w_timestamp, 1648628102721, 570.39, 276.09, 236.86, 2.25, 0.08, 3.07, tool_force, 1.53, 0.43, 0.22, actual_rep, 1, curr_step, 10, track_size, 86, robot_vel, 38.58, joints_pos, 39.11, 50.86, -20.35, -77.68, 16.1, 49.31, 67.28, tool_torque, 0.042, -0.59, 0.449, tool_momentum, 0.039, -0.584, 0.449, robot_mode, normal, 
30/03/2022 10:16:27:320, robot_pos_w_timestamp, 1648628102870, 572.52, 270.35, 237.31, 2.25, 0.08, 3.07, tool_force, 0.99, 0.66, 0.13, actual_rep, 1, curr_step, 11, track_size, 86, robot_vel, 45.01, joints_pos, 38.76, 50.85, -20.63, -77.72, 16.12, 49.5, 67.05, tool_torque, 0.045, -0.532, 0.433, tool_momentum, 0.055, -0.543, 0.434, robot_mode, normal, 
30/03/2022 10:16:27:470, robot_pos_w_timestamp, 1648628103016, 574.33, 264.62, 238.08, 2.24, 0.08, 3.08, tool_force, 1.65, 0.21, -0.76, actual_rep, 1, curr_step, 11, track_size, 86, robot_vel, 38.4, joints_pos, 38.41, 50.77, -20.87, -77.82, 16.15, 49.67, 66.76, tool_torque, -0.029, -0.569, 0.447, tool_momentum, -0.017, -0.569, 0.448, robot_mode, normal, 
