30/03/2022 10:28:15: File Created!
30/03/2022 10:28:15:476, robot_pos_w_timestamp, 1648628809354, 542.69, 335.12, 202.43, 2.24, 0.01, 3.03, tool_force, -1.25, -0.32, 0.43, actual_rep, 1, curr_step, 1, track_size, 184, robot_vel, 0.0, joints_pos, 42.15, 53.66, -16.93, -77.44, 19.42, 45.34, 71.13, tool_torque, 0.028, 0.016, 0.068, tool_momentum, 0.028, 0.016, 0.068, robot_mode, normal, 
30/03/2022 10:28:15:597, robot_pos_w_timestamp, 1648628809507, 542.7, 335.12, 202.45, 2.24, 0.01, 3.03, tool_force, -1.38, -0.35, 0.48, actual_rep, 1, curr_step, 1, track_size, 184, robot_vel, 0.0, joints_pos, 42.15, 53.66, -16.93, -77.44, 19.42, 45.34, 71.13, tool_torque, 0.045, 0.069, 0.012, tool_momentum, 0.047, 0.067, 0.012, robot_mode, normal, 
30/03/2022 10:28:15:755, robot_pos_w_timestamp, 1648628809639, 542.87, 334.29, 201.12, 2.24, 0.01, 3.03, tool_force, -0.11, 0.69, 1.27, actual_rep, 1, curr_step, 2, track_size, 184, robot_vel, 16.94, joints_pos, 42.12, 53.81, -17.02, -77.41, 19.31, 45.17, 71.0, tool_torque, 0.358, -0.293, 0.258, tool_momentum, 0.339, -0.278, 0.259, robot_mode, normal, 
30/03/2022 10:28:15:875, robot_pos_w_timestamp, 1648628809788, 546.29, 329.59, 203.65, 2.25, 0.03, 3.03, tool_force, -0.71, -0.06, 0.76, actual_rep, 1, curr_step, 3, track_size, 184, robot_vel, 49.26, joints_pos, 42.1, 53.65, -17.5, -77.4, 18.55, 45.34, 70.88, tool_torque, -0.073, -0.157, 0.344, tool_momentum, -0.078, -0.16, 0.344, robot_mode, normal, 
30/03/2022 10:28:16:031, robot_pos_w_timestamp, 1648628809938, 549.0, 323.94, 205.47, 2.25, 0.05, 3.04, tool_force, 0.46, 0.4, 0.43, actual_rep, 1, curr_step, 4, track_size, 184, robot_vel, 45.03, joints_pos, 42.0, 53.48, -17.96, -77.55, 17.72, 45.3, 70.75, tool_torque, 0.155, -0.446, 0.438, tool_momentum, 0.155, -0.447, 0.438, robot_mode, normal, 
30/03/2022 10:28:16:180, robot_pos_w_timestamp, 1648628810086, 551.8, 318.3, 207.36, 2.25, 0.06, 3.04, tool_force, 0.43, 0.36, 0.77, actual_rep, 1, curr_step, 5, track_size, 184, robot_vel, 44.5, joints_pos, 41.92, 53.34, -18.47, -77.66, 17.1, 45.32, 70.67, tool_torque, 0.096, -0.381, 0.428, tool_momentum, 0.099, -0.379, 0.428, robot_mode, normal, 
30/03/2022 10:28:16:334, robot_pos_w_timestamp, 1648628810236, 554.47, 312.56, 209.24, 2.25, 0.07, 3.04, tool_force, 0.59, 0.59, 0.69, actual_rep, 1, curr_step, 6, track_size, 184, robot_vel, 43.51, joints_pos, 41.85, 53.19, -19.03, -77.81, 16.61, 45.32, 70.61, tool_torque, 0.164, -0.471, 0.445, tool_momentum, 0.169, -0.473, 0.445, robot_mode, normal, 
30/03/2022 10:28:16:482, robot_pos_w_timestamp, 1648628810384, 557.02, 306.78, 211.2, 2.25, 0.09, 3.04, tool_force, 0.45, 0.4, 0.44, actual_rep, 1, curr_step, 7, track_size, 184, robot_vel, 47.39, joints_pos, 41.83, 53.05, -19.63, -77.97, 16.21, 45.32, 70.57, tool_torque, 0.16, -0.589, 0.463, tool_momentum, 0.176, -0.653, 0.467, robot_mode, normal, 
30/03/2022 10:28:16:634, robot_pos_w_timestamp, 1648628810535, 559.28, 300.98, 213.15, 2.25, 0.1, 3.04, tool_force, 0.84, 0.72, 0.65, actual_rep, 1, curr_step, 7, track_size, 184, robot_vel, 40.6, joints_pos, 41.76, 52.87, -20.22, -78.17, 15.87, 45.32, 70.53, tool_torque, 0.199, -0.573, 0.445, tool_momentum, 0.2, -0.577, 0.445, robot_mode, normal, 
30/03/2022 10:28:16:782, robot_pos_w_timestamp, 1648628810685, 561.44, 295.21, 215.14, 2.24, 0.11, 3.05, tool_force, 1.0, 0.66, 0.14, actual_rep, 1, curr_step, 8, track_size, 184, robot_vel, 43.51, joints_pos, 41.69, 52.69, -20.74, -78.37, 15.56, 45.32, 70.51, tool_torque, 0.155, -0.604, 0.444, tool_momentum, 0.157, -0.616, 0.444, robot_mode, normal, 
30/03/2022 10:28:16:937, robot_pos_w_timestamp, 1648628810838, 563.06, 289.26, 217.28, 2.24, 0.12, 3.05, tool_force, 2.14, -0.01, 0.24, actual_rep, 1, curr_step, 9, track_size, 184, robot_vel, 43.22, joints_pos, 41.63, 52.46, -21.27, -78.67, 15.25, 45.32, 70.51, tool_torque, 0.14, -0.502, 0.445, tool_momentum, 0.146, -0.498, 0.445, robot_mode, normal, 
30/03/2022 10:28:17:090, robot_pos_w_timestamp, 1648628810989, 564.91, 283.21, 218.87, 2.23, 0.13, 3.05, tool_force, 1.1, 0.66, 0.94, actual_rep, 1, curr_step, 9, track_size, 184, robot_vel, 41.8, joints_pos, 41.52, 52.29, -21.79, -78.92, 15.06, 45.3, 70.46, tool_torque, 0.297, -0.629, 0.482, tool_momentum, 0.292, -0.617, 0.478, robot_mode, normal, 
30/03/2022 10:28:17:241, robot_pos_w_timestamp, 1648628811136, 566.42, 277.37, 220.58, 2.23, 0.14, 3.05, tool_force, 0.48, 0.27, 0.62, actual_rep, 1, curr_step, 10, track_size, 184, robot_vel, 43.04, joints_pos, 41.38, 52.08, -22.24, -79.2, 14.88, 45.33, 70.44, tool_torque, 0.124, -0.567, 0.442, tool_momentum, 0.128, -0.584, 0.442, robot_mode, normal, 
