30/03/2022 11:16:42: File Created!
30/03/2022 11:16:42:468, robot_pos_w_timestamp, 1648631717951, 587.45, 305.99, 199.15, 2.26, 0.06, 3.07, tool_force, -0.16, 0.02, 0.22, actual_rep, 1, curr_step, 1, track_size, 72, robot_vel, 44.79, joints_pos, 40.03, 57.91, -21.14, -70.65, 19.93, 50.39, 66.87, tool_torque, 0.152, -0.089, 0.107, tool_momentum, 0.153, -0.091, 0.108, robot_mode, normal, 
30/03/2022 11:16:42:572, robot_pos_w_timestamp, 1648631718088, 587.46, 306.0, 199.18, 2.26, 0.06, 3.07, tool_force, -0.16, -0.08, 0.36, actual_rep, 1, curr_step, 1, track_size, 72, robot_vel, 0.02, joints_pos, 40.03, 57.91, -21.14, -70.65, 19.93, 50.39, 66.87, tool_torque, 0.124, -0.089, 0.088, tool_momentum, 0.123, -0.084, 0.087, robot_mode, normal, 
30/03/2022 11:16:42:775, robot_pos_w_timestamp, 1648631718243, 588.52, 304.2, 199.59, 2.26, 0.06, 3.07, tool_force, 1.72, 0.32, 0.03, actual_rep, 1, curr_step, 3, track_size, 72, robot_vel, 18.53, joints_pos, 39.99, 57.91, -21.34, -70.65, 19.81, 50.35, 66.87, tool_torque, 0.24, -0.459, 0.172, tool_momentum, 0.23, -0.445, 0.169, robot_mode, normal, 
30/03/2022 11:16:42:878, robot_pos_w_timestamp, 1648631718387, 591.01, 298.8, 200.25, 2.26, 0.07, 3.08, tool_force, 1.38, 0.08, 0.09, actual_rep, 1, curr_step, 4, track_size, 72, robot_vel, 40.44, joints_pos, 39.71, 57.88, -21.66, -70.71, 19.76, 50.39, 66.63, tool_torque, 0.13, -0.452, 0.448, tool_momentum, 0.135, -0.465, 0.448, robot_mode, normal, 
30/03/2022 11:16:43:027, robot_pos_w_timestamp, 1648631718538, 593.45, 292.99, 200.7, 2.25, 0.08, 3.08, tool_force, 1.17, 0.63, 0.18, actual_rep, 1, curr_step, 5, track_size, 72, robot_vel, 38.42, joints_pos, 39.46, 57.87, -22.01, -70.81, 19.6, 50.36, 66.56, tool_torque, 0.332, -0.474, 0.494, tool_momentum, 0.337, -0.481, 0.494, robot_mode, normal, 
30/03/2022 11:16:43:178, robot_pos_w_timestamp, 1648631718688, 595.56, 287.09, 201.29, 2.25, 0.08, 3.08, tool_force, 1.36, 0.97, 0.2, actual_rep, 1, curr_step, 6, track_size, 72, robot_vel, 41.14, joints_pos, 39.22, 57.81, -22.38, -70.98, 19.55, 50.34, 66.46, tool_torque, 0.406, -0.484, 0.509, tool_momentum, 0.407, -0.494, 0.509, robot_mode, normal, 
30/03/2022 11:16:43:327, robot_pos_w_timestamp, 1648631718836, 597.44, 281.4, 201.94, 2.24, 0.09, 3.08, tool_force, 1.5, 0.85, 0.15, actual_rep, 1, curr_step, 6, track_size, 72, robot_vel, 41.74, joints_pos, 38.99, 57.74, -22.75, -71.15, 19.53, 50.34, 66.4, tool_torque, 0.366, -0.487, 0.49, tool_momentum, 0.365, -0.491, 0.49, robot_mode, normal, 
30/03/2022 11:16:43:476, robot_pos_w_timestamp, 1648631718986, 599.06, 275.61, 202.92, 2.23, 0.09, 3.08, tool_force, 1.18, 0.55, -0.1, actual_rep, 1, curr_step, 7, track_size, 72, robot_vel, 37.82, joints_pos, 38.79, 57.62, -23.14, -71.38, 19.54, 50.34, 66.34, tool_torque, 0.318, -0.485, 0.471, tool_momentum, 0.318, -0.482, 0.47, robot_mode, normal, 
30/03/2022 11:16:43:630, robot_pos_w_timestamp, 1648631719133, 600.46, 269.93, 204.13, 2.23, 0.1, 3.08, tool_force, 1.76, 0.94, -0.31, actual_rep, 1, curr_step, 8, track_size, 72, robot_vel, 39.81, joints_pos, 38.59, 57.46, -23.52, -71.65, 19.54, 50.34, 66.27, tool_torque, 0.362, -0.546, 0.461, tool_momentum, 0.36, -0.552, 0.461, robot_mode, normal, 
30/03/2022 11:16:43:779, robot_pos_w_timestamp, 1648631719281, 601.49, 264.12, 205.34, 2.22, 0.1, 3.09, tool_force, 1.74, 0.81, -0.34, actual_rep, 1, curr_step, 8, track_size, 72, robot_vel, 38.5, joints_pos, 38.38, 57.28, -23.87, -71.97, 19.58, 50.35, 66.17, tool_torque, 0.369, -0.565, 0.481, tool_momentum, 0.369, -0.565, 0.481, robot_mode, normal, 
30/03/2022 11:16:43:930, robot_pos_w_timestamp, 1648631719431, 602.59, 258.12, 206.72, 2.21, 0.1, 3.09, tool_force, 0.4, 0.6, -0.22, actual_rep, 1, curr_step, 9, track_size, 72, robot_vel, 40.05, joints_pos, 38.15, 57.07, -24.22, -72.29, 19.62, 50.38, 66.05, tool_torque, 0.224, -0.525, 0.434, tool_momentum, 0.212, -0.536, 0.433, robot_mode, normal, 
