30/03/2022 11:51:07: File Created!
30/03/2022 11:51:07:834, robot_pos_w_timestamp, 1648633782576, 524.5, 318.65, 208.91, 2.36, 0.03, 3.05, tool_force, -0.33, -0.21, 0.36, actual_rep, 1, curr_step, 1, track_size, 92, robot_vel, 41.96, joints_pos, 54.78, 55.66, -37.05, -82.38, 39.7, 49.58, 51.14, tool_torque, 0.162, -0.325, 0.174, tool_momentum, 0.162, -0.326, 0.174, robot_mode, normal, 
30/03/2022 11:51:07:975, robot_pos_w_timestamp, 1648633782710, 524.51, 318.65, 208.92, 2.36, 0.03, 3.05, tool_force, -0.33, -0.13, 0.5, actual_rep, 1, curr_step, 1, track_size, 92, robot_vel, 0.07, joints_pos, 54.78, 55.66, -37.05, -82.38, 39.71, 49.57, 51.15, tool_torque, 0.186, -0.314, 0.137, tool_momentum, 0.184, -0.31, 0.136, robot_mode, normal, 
30/03/2022 11:51:08:122, robot_pos_w_timestamp, 1648633782864, 524.52, 318.63, 208.7, 2.36, 0.03, 3.05, tool_force, -0.95, -0.21, 0.21, actual_rep, 1, curr_step, 2, track_size, 92, robot_vel, 5.71, joints_pos, 54.77, 55.67, -37.05, -82.38, 39.7, 49.55, 51.15, tool_torque, 0.204, -0.168, 0.158, tool_momentum, 0.205, -0.168, 0.159, robot_mode, normal, 
30/03/2022 11:51:08:236, robot_pos_w_timestamp, 1648633783010, 527.83, 313.92, 210.82, 2.36, 0.04, 3.05, tool_force, 0.21, 0.08, 0.2, actual_rep, 1, curr_step, 3, track_size, 92, robot_vel, 51.33, joints_pos, 54.57, 55.61, -37.49, -82.37, 39.45, 49.51, 50.73, tool_torque, 0.266, -0.359, 0.394, tool_momentum, 0.252, -0.348, 0.394, robot_mode, normal, 
30/03/2022 11:51:08:429, robot_pos_w_timestamp, 1648633783161, 531.14, 308.14, 212.84, 2.36, 0.05, 3.05, tool_force, 0.64, 0.84, 0.52, actual_rep, 1, curr_step, 4, track_size, 92, robot_vel, 50.25, joints_pos, 54.23, 55.49, -37.82, -82.45, 39.28, 49.47, 50.32, tool_torque, 0.426, -0.458, 0.438, tool_momentum, 0.411, -0.443, 0.438, robot_mode, normal, 
30/03/2022 11:51:08:536, robot_pos_w_timestamp, 1648633783308, 533.98, 302.45, 214.68, 2.36, 0.06, 3.05, tool_force, 1.07, 0.91, 0.62, actual_rep, 1, curr_step, 5, track_size, 92, robot_vel, 43.0, joints_pos, 53.96, 55.39, -38.23, -82.58, 39.19, 49.47, 50.08, tool_torque, 0.432, -0.477, 0.43, tool_momentum, 0.432, -0.477, 0.43, robot_mode, normal, 
30/03/2022 11:51:08:732, robot_pos_w_timestamp, 1648633783460, 536.48, 296.67, 216.59, 2.35, 0.06, 3.05, tool_force, 0.83, 0.73, -0.06, actual_rep, 1, curr_step, 6, track_size, 92, robot_vel, 45.12, joints_pos, 53.79, 55.3, -38.74, -82.76, 39.18, 49.48, 49.92, tool_torque, 0.423, -0.523, 0.452, tool_momentum, 0.433, -0.54, 0.456, robot_mode, normal, 
30/03/2022 11:51:08:877, robot_pos_w_timestamp, 1648633783604, 538.61, 291.12, 218.52, 2.34, 0.07, 3.05, tool_force, 1.81, 0.64, -0.62, actual_rep, 1, curr_step, 7, track_size, 92, robot_vel, 42.32, joints_pos, 53.62, 55.19, -39.22, -82.96, 39.18, 49.52, 49.83, tool_torque, 0.42, -0.723, 0.49, tool_momentum, 0.413, -0.716, 0.49, robot_mode, normal, 
30/03/2022 11:51:08:989, robot_pos_w_timestamp, 1648633783755, 540.61, 285.32, 220.18, 2.33, 0.07, 3.05, tool_force, 1.05, 0.82, 0.24, actual_rep, 1, curr_step, 7, track_size, 92, robot_vel, 44.17, joints_pos, 53.43, 55.08, -39.67, -83.19, 39.19, 49.54, 49.74, tool_torque, 0.349, -0.597, 0.437, tool_momentum, 0.347, -0.592, 0.437, robot_mode, normal, 
30/03/2022 11:51:09:139, robot_pos_w_timestamp, 1648633783904, 542.55, 279.47, 222.05, 2.32, 0.08, 3.05, tool_force, 1.84, 0.76, -0.3, actual_rep, 1, curr_step, 8, track_size, 92, robot_vel, 41.8, joints_pos, 53.21, 54.94, -40.09, -83.43, 39.23, 49.57, 49.62, tool_torque, 0.344, -0.756, 0.449, tool_momentum, 0.341, -0.754, 0.449, robot_mode, normal, 
30/03/2022 11:51:09:290, robot_pos_w_timestamp, 1648633784053, 544.31, 273.47, 223.8, 2.32, 0.08, 3.06, tool_force, 0.44, 0.73, 0.59, actual_rep, 1, curr_step, 9, track_size, 92, robot_vel, 45.88, joints_pos, 52.98, 54.8, -40.51, -83.68, 39.27, 49.61, 49.45, tool_torque, 0.355, -0.663, 0.423, tool_momentum, 0.357, -0.664, 0.423, robot_mode, normal, 
30/03/2022 11:51:09:445, robot_pos_w_timestamp, 1648633784204, 546.05, 267.55, 225.58, 2.31, 0.08, 3.06, tool_force, 0.14, 0.83, 0.44, actual_rep, 1, curr_step, 9, track_size, 92, robot_vel, 41.93, joints_pos, 52.73, 54.65, -40.9, -83.91, 39.3, 49.69, 49.29, tool_torque, 0.294, -0.678, 0.369, tool_momentum, 0.271, -0.669, 0.369, robot_mode, normal, 
30/03/2022 11:51:09:594, robot_pos_w_timestamp, 1648633784351, 547.6, 261.83, 227.3, 2.3, 0.09, 3.06, tool_force, -0.09, 1.2, 0.19, actual_rep, 1, curr_step, 10, track_size, 92, robot_vel, 43.09, joints_pos, 52.48, 54.5, -41.26, -84.15, 39.34, 49.76, 49.09, tool_torque, 0.295, -0.759, 0.338, tool_momentum, 0.299, -0.761, 0.338, robot_mode, normal, 
30/03/2022 11:51:09:743, robot_pos_w_timestamp, 1648633784501, 549.05, 255.94, 228.99, 2.29, 0.09, 3.06, tool_force, -0.16, 1.63, 0.6, actual_rep, 1, curr_step, 11, track_size, 92, robot_vel, 40.08, joints_pos, 52.22, 54.34, -41.6, -84.4, 39.35, 49.82, 48.88, tool_torque, 0.334, -0.781, 0.349, tool_momentum, 0.347, -0.796, 0.349, robot_mode, normal, 
30/03/2022 11:51:09:898, robot_pos_w_timestamp, 1648633784656, 550.12, 250.02, 230.69, 2.29, 0.09, 3.06, tool_force, -0.37, 1.37, 0.13, actual_rep, 1, curr_step, 11, track_size, 92, robot_vel, 41.13, joints_pos, 51.95, 54.14, -41.92, -84.7, 39.36, 49.9, 48.62, tool_torque, 0.359, -0.727, 0.396, tool_momentum, 0.374, -0.755, 0.396, robot_mode, normal, 
30/03/2022 11:51:10:050, robot_pos_w_timestamp, 1648633784804, 551.27, 244.1, 232.13, 2.28, 0.09, 3.06, tool_force, -0.87, 0.93, -0.36, actual_rep, 1, curr_step, 12, track_size, 92, robot_vel, 46.16, joints_pos, 51.67, 53.98, -42.22, -84.98, 39.36, 49.9, 48.46, tool_torque, 0.322, -0.661, 0.328, tool_momentum, 0.326, -0.665, 0.329, robot_mode, impedance, 
30/03/2022 11:51:10:201, robot_pos_w_timestamp, 1648633784955, 553.47, 238.15, 232.54, 2.27, 0.1, 3.06, tool_force, -2.08, 2.03, 0.19, actual_rep, 1, curr_step, 12, track_size, 92, robot_vel, 41.97, joints_pos, 51.31, 54.01, -42.51, -85.07, 39.36, 49.85, 48.18, tool_torque, 0.398, -0.679, 0.255, tool_momentum, 0.377, -0.64, 0.249, robot_mode, impedance, 
30/03/2022 11:51:10:349, robot_pos_w_timestamp, 1648633785102, 557.07, 230.86, 234.0, 2.27, 0.1, 3.06, tool_force, -5.6, 2.49, 1.4, actual_rep, 1, curr_step, 13, track_size, 92, robot_vel, 57.08, joints_pos, 50.74, 54.06, -42.88, -84.96, 39.36, 50.05, 47.72, tool_torque, 0.176, -0.661, 0.141, tool_momentum, 0.168, -0.657, 0.139, robot_mode, impedance, 
