30/03/2022 11:53:52: File Created!
30/03/2022 11:53:52:746, robot_pos_w_timestamp, 1648633947132, 568.93, 342.5, 194.07, 2.29, 0.02, 3.07, tool_force, 0.75, -0.21, 5.73, actual_rep, 1, curr_step, 1, track_size, 67, robot_vel, 0.08, joints_pos, 55.3, 65.77, -45.48, -70.06, 48.78, 58.54, 54.18, tool_torque, -0.176, -0.468, 0.183, tool_momentum, -0.175, -0.465, 0.183, robot_mode, normal, 
30/03/2022 11:53:52:852, robot_pos_w_timestamp, 1648633947267, 568.8, 342.38, 192.93, 2.29, 0.02, 3.07, tool_force, 0.52, -0.59, 4.96, actual_rep, 1, curr_step, 1, track_size, 67, robot_vel, 0.08, joints_pos, 55.31, 65.88, -45.48, -70.06, 48.78, 58.49, 54.18, tool_torque, -0.13, -0.444, 0.17, tool_momentum, -0.103, -0.456, 0.171, robot_mode, normal, 
30/03/2022 11:53:52:995, robot_pos_w_timestamp, 1648633947412, 570.31, 340.35, 193.02, 2.29, 0.02, 3.07, tool_force, 2.28, 0.4, 6.21, actual_rep, 1, curr_step, 2, track_size, 67, robot_vel, 36.25, joints_pos, 55.19, 65.94, -45.67, -70.07, 48.85, 58.4, 53.98, tool_torque, 0.079, -0.571, 0.318, tool_momentum, 0.07, -0.544, 0.316, robot_mode, normal, 
30/03/2022 11:53:53:152, robot_pos_w_timestamp, 1648633947565, 573.52, 334.24, 194.29, 2.29, 0.03, 3.07, tool_force, 2.08, 1.07, 5.57, actual_rep, 1, curr_step, 3, track_size, 67, robot_vel, 40.88, joints_pos, 54.87, 65.94, -46.08, -70.19, 48.89, 58.42, 53.6, tool_torque, 0.183, -0.638, 0.409, tool_momentum, 0.18, -0.625, 0.409, robot_mode, normal, 
30/03/2022 11:53:53:303, robot_pos_w_timestamp, 1648633947713, 576.32, 328.53, 195.7, 2.28, 0.04, 3.07, tool_force, 1.56, 1.57, 6.08, actual_rep, 1, curr_step, 4, track_size, 67, robot_vel, 42.99, joints_pos, 54.61, 65.9, -46.44, -70.34, 48.73, 58.39, 53.43, tool_torque, 0.266, -0.533, 0.451, tool_momentum, 0.259, -0.528, 0.45, robot_mode, normal, 
30/03/2022 11:53:53:447, robot_pos_w_timestamp, 1648633947864, 578.92, 322.81, 197.08, 2.28, 0.04, 3.07, tool_force, 0.61, 1.56, 5.93, actual_rep, 1, curr_step, 4, track_size, 67, robot_vel, 42.14, joints_pos, 54.26, 65.76, -46.58, -70.52, 48.44, 58.23, 53.38, tool_torque, 0.298, -0.438, 0.452, tool_momentum, 0.301, -0.452, 0.452, robot_mode, normal, 
30/03/2022 11:53:53:600, robot_pos_w_timestamp, 1648633948016, 581.46, 316.85, 198.49, 2.27, 0.05, 3.07, tool_force, 1.14, 1.71, 5.88, actual_rep, 1, curr_step, 5, track_size, 67, robot_vel, 41.34, joints_pos, 53.84, 65.56, -46.61, -70.72, 48.04, 58.07, 53.34, tool_torque, 0.329, -0.55, 0.474, tool_momentum, 0.33, -0.568, 0.473, robot_mode, normal, 
30/03/2022 11:53:53:750, robot_pos_w_timestamp, 1648633948164, 583.86, 311.05, 200.03, 2.26, 0.06, 3.07, tool_force, 1.6, 1.24, 5.17, actual_rep, 1, curr_step, 5, track_size, 67, robot_vel, 41.84, joints_pos, 53.43, 65.33, -46.62, -70.93, 47.6, 57.86, 53.33, tool_torque, 0.329, -0.592, 0.487, tool_momentum, 0.323, -0.592, 0.487, robot_mode, normal, 
30/03/2022 11:53:53:903, robot_pos_w_timestamp, 1648633948315, 585.74, 304.93, 201.18, 2.26, 0.06, 3.07, tool_force, 1.16, 0.56, 5.53, actual_rep, 1, curr_step, 6, track_size, 67, robot_vel, 38.67, joints_pos, 53.04, 65.12, -46.63, -71.19, 47.18, 57.75, 53.42, tool_torque, 0.203, -0.484, 0.327, tool_momentum, 0.204, -0.456, 0.325, robot_mode, normal, 
30/03/2022 11:53:54:055, robot_pos_w_timestamp, 1648633948464, 587.99, 298.69, 202.38, 2.25, 0.07, 3.08, tool_force, -0.51, 0.29, 6.04, actual_rep, 1, curr_step, 7, track_size, 67, robot_vel, 44.04, joints_pos, 52.61, 64.97, -46.69, -71.33, 46.67, 57.77, 53.63, tool_torque, 0.074, -0.47, 0.146, tool_momentum, 0.076, -0.475, 0.146, robot_mode, normal, 
30/03/2022 11:53:54:201, robot_pos_w_timestamp, 1648633948612, 590.05, 293.08, 203.74, 2.24, 0.07, 3.08, tool_force, -0.38, 0.31, 5.32, actual_rep, 1, curr_step, 7, track_size, 67, robot_vel, 39.22, joints_pos, 52.16, 64.78, -46.69, -71.48, 46.4, 57.81, 53.73, tool_torque, 0.05, -0.548, 0.156, tool_momentum, 0.054, -0.558, 0.156, robot_mode, normal, 
30/03/2022 11:53:54:398, robot_pos_w_timestamp, 1648633948760, 591.64, 287.23, 205.06, 2.23, 0.07, 3.08, tool_force, 0.23, -0.44, 4.74, actual_rep, 1, curr_step, 7, track_size, 67, robot_vel, 41.44, joints_pos, 51.74, 64.55, -46.68, -71.72, 46.19, 57.8, 53.81, tool_torque, 0.123, -0.512, 0.206, tool_momentum, 0.124, -0.503, 0.206, robot_mode, normal, 
30/03/2022 11:53:54:505, robot_pos_w_timestamp, 1648633948910, 592.9, 281.59, 206.33, 2.22, 0.07, 3.08, tool_force, 0.92, -0.94, 4.4, actual_rep, 1, curr_step, 8, track_size, 67, robot_vel, 35.98, joints_pos, 51.39, 64.29, -46.68, -72.06, 45.89, 57.65, 53.89, tool_torque, 0.243, -0.517, 0.273, tool_momentum, 0.246, -0.515, 0.273, robot_mode, normal, 
30/03/2022 11:53:54:673, robot_pos_w_timestamp, 1648633949058, 594.2, 275.88, 207.57, 2.21, 0.08, 3.08, tool_force, 1.1, -0.67, 4.44, actual_rep, 1, curr_step, 8, track_size, 67, robot_vel, 40.39, joints_pos, 51.04, 64.04, -46.69, -72.37, 45.62, 57.49, 53.96, tool_torque, 0.173, -0.435, 0.233, tool_momentum, 0.169, -0.429, 0.233, robot_mode, normal, 
30/03/2022 11:53:54:807, robot_pos_w_timestamp, 1648633949209, 595.59, 270.18, 208.7, 2.2, 0.08, 3.08, tool_force, 1.89, -1.29, 3.99, actual_rep, 1, curr_step, 9, track_size, 67, robot_vel, 38.6, joints_pos, 50.68, 63.82, -46.71, -72.68, 45.32, 57.29, 54.03, tool_torque, 0.12, -0.463, 0.208, tool_momentum, 0.128, -0.465, 0.208, robot_mode, normal, 
30/03/2022 11:53:54:991, robot_pos_w_timestamp, 1648633949358, 596.72, 264.32, 209.93, 2.19, 0.08, 3.08, tool_force, 2.46, -1.74, 3.99, actual_rep, 1, curr_step, 9, track_size, 67, robot_vel, 37.45, joints_pos, 50.34, 63.57, -46.74, -73.02, 45.04, 57.13, 54.08, tool_torque, 0.193, -0.54, 0.229, tool_momentum, 0.186, -0.532, 0.228, robot_mode, normal, 
