30/03/2022 12:04:16: File Created!
30/03/2022 12:04:16:287, robot_pos_w_timestamp, 1648634570924, 556.03, 302.29, 189.72, 2.29, 0.02, 3.05, tool_force, -0.69, 0.31, 5.94, actual_rep, 1, curr_step, 1, track_size, 81, robot_vel, 0.01, joints_pos, 57.16, 64.87, -49.54, -78.03, 55.29, 56.27, 45.78, tool_torque, -0.098, -0.237, 0.098, tool_momentum, -0.099, -0.237, 0.099, robot_mode, normal, 
30/03/2022 12:04:16:425, robot_pos_w_timestamp, 1648634571073, 556.91, 301.16, 188.94, 2.29, 0.03, 3.05, tool_force, 1.01, -0.05, 5.87, actual_rep, 1, curr_step, 2, track_size, 81, robot_vel, 9.69, joints_pos, 57.15, 65.04, -49.69, -78.0, 55.29, 56.04, 45.78, tool_torque, 0.033, -0.417, 0.154, tool_momentum, 0.04, -0.413, 0.153, robot_mode, normal, 
30/03/2022 12:04:16:569, robot_pos_w_timestamp, 1648634571214, 560.63, 297.46, 190.41, 2.28, 0.04, 3.05, tool_force, 1.34, -0.5, 4.99, actual_rep, 1, curr_step, 3, track_size, 81, robot_vel, 50.64, joints_pos, 57.02, 65.25, -50.28, -77.84, 55.34, 55.92, 45.83, tool_torque, -0.038, -0.412, 0.146, tool_momentum, -0.044, -0.392, 0.146, robot_mode, normal, 
30/03/2022 12:04:16:721, robot_pos_w_timestamp, 1648634571363, 565.2, 291.37, 192.48, 2.28, 0.04, 3.04, tool_force, 0.75, -0.27, 5.72, actual_rep, 1, curr_step, 4, track_size, 81, robot_vel, 52.15, joints_pos, 56.55, 65.26, -50.65, -77.78, 55.44, 55.75, 45.61, tool_torque, 0.049, -0.373, 0.286, tool_momentum, 0.055, -0.401, 0.286, robot_mode, normal, 
30/03/2022 12:04:16:871, robot_pos_w_timestamp, 1648634571513, 569.14, 285.73, 194.24, 2.27, 0.05, 3.04, tool_force, 1.06, -0.13, 5.7, actual_rep, 1, curr_step, 5, track_size, 81, robot_vel, 43.91, joints_pos, 56.08, 65.22, -50.82, -77.64, 54.96, 55.6, 45.65, tool_torque, 0.051, -0.465, 0.283, tool_momentum, 0.053, -0.471, 0.283, robot_mode, normal, 
30/03/2022 12:04:17:024, robot_pos_w_timestamp, 1648634571661, 572.47, 279.99, 195.63, 2.27, 0.06, 3.04, tool_force, 1.0, 0.33, 5.77, actual_rep, 1, curr_step, 6, track_size, 81, robot_vel, 47.63, joints_pos, 55.53, 65.1, -50.82, -77.6, 54.5, 55.44, 45.55, tool_torque, 0.186, -0.579, 0.38, tool_momentum, 0.187, -0.583, 0.38, robot_mode, normal, 
30/03/2022 12:04:17:173, robot_pos_w_timestamp, 1648634571810, 575.58, 274.19, 196.66, 2.26, 0.07, 3.04, tool_force, 1.24, 0.41, 5.62, actual_rep, 1, curr_step, 7, track_size, 81, robot_vel, 46.29, joints_pos, 55.01, 64.99, -50.82, -77.6, 54.08, 55.22, 45.53, tool_torque, 0.194, -0.578, 0.384, tool_momentum, 0.194, -0.576, 0.384, robot_mode, normal, 
30/03/2022 12:04:17:324, robot_pos_w_timestamp, 1648634571962, 578.36, 268.24, 197.44, 2.26, 0.08, 3.04, tool_force, 1.4, 1.02, 6.05, actual_rep, 1, curr_step, 7, track_size, 81, robot_vel, 42.14, joints_pos, 54.57, 64.89, -50.82, -77.69, 53.48, 54.76, 45.61, tool_torque, 0.283, -0.622, 0.295, tool_momentum, 0.275, -0.586, 0.29, robot_mode, normal, 
30/03/2022 12:04:17:470, robot_pos_w_timestamp, 1648634572108, 580.55, 262.67, 198.12, 2.25, 0.09, 3.04, tool_force, 1.12, 1.14, 6.03, actual_rep, 1, curr_step, 8, track_size, 81, robot_vel, 44.65, joints_pos, 54.17, 64.79, -50.83, -77.8, 52.94, 54.48, 45.65, tool_torque, 0.277, -0.563, 0.27, tool_momentum, 0.276, -0.568, 0.27, robot_mode, normal, 
30/03/2022 12:04:17:627, robot_pos_w_timestamp, 1648634572258, 582.79, 256.97, 198.7, 2.25, 0.09, 3.05, tool_force, 1.55, 1.08, 5.29, actual_rep, 1, curr_step, 8, track_size, 81, robot_vel, 40.8, joints_pos, 53.69, 64.72, -50.83, -77.81, 52.38, 54.4, 45.53, tool_torque, 0.346, -0.641, 0.418, tool_momentum, 0.352, -0.642, 0.419, robot_mode, normal, 
30/03/2022 12:04:17:774, robot_pos_w_timestamp, 1648634572409, 584.74, 251.11, 199.15, 2.25, 0.1, 3.05, tool_force, 1.09, 1.49, 5.82, actual_rep, 1, curr_step, 9, track_size, 81, robot_vel, 40.83, joints_pos, 53.24, 64.65, -50.82, -77.85, 51.84, 54.36, 45.5, tool_torque, 0.381, -0.603, 0.387, tool_momentum, 0.384, -0.618, 0.387, robot_mode, normal, 
30/03/2022 12:04:17:924, robot_pos_w_timestamp, 1648634572559, 586.47, 245.23, 199.63, 2.24, 0.11, 3.06, tool_force, 1.24, 1.3, 4.92, actual_rep, 1, curr_step, 9, track_size, 81, robot_vel, 38.93, joints_pos, 52.79, 64.57, -50.83, -77.94, 51.3, 54.33, 45.52, tool_torque, 0.356, -0.644, 0.348, tool_momentum, 0.352, -0.639, 0.346, robot_mode, normal, 
30/03/2022 12:04:18:076, robot_pos_w_timestamp, 1648634572707, 587.97, 239.77, 199.9, 2.24, 0.11, 3.06, tool_force, 1.53, 1.89, 5.55, actual_rep, 1, curr_step, 10, track_size, 81, robot_vel, 40.32, joints_pos, 52.39, 64.49, -50.81, -78.08, 50.9, 54.14, 45.34, tool_torque, 0.489, -0.721, 0.458, tool_momentum, 0.486, -0.712, 0.458, robot_mode, normal, 
30/03/2022 12:04:18:289, robot_pos_w_timestamp, 1648634572856, 589.29, 233.9, 200.17, 2.24, 0.12, 3.06, tool_force, 1.08, 1.6, 4.98, actual_rep, 1, curr_step, 11, track_size, 81, robot_vel, 38.26, joints_pos, 51.99, 64.36, -50.81, -78.33, 50.66, 53.88, 44.98, tool_torque, 0.426, -0.636, 0.453, tool_momentum, 0.437, -0.649, 0.453, robot_mode, normal, 
30/03/2022 12:04:18:379, robot_pos_w_timestamp, 1648634573005, 590.22, 228.02, 200.41, 2.24, 0.12, 3.06, tool_force, 1.33, 1.57, 5.05, actual_rep, 1, curr_step, 11, track_size, 81, robot_vel, 40.99, joints_pos, 51.61, 64.24, -50.81, -78.59, 50.27, 53.7, 44.67, tool_torque, 0.499, -0.706, 0.491, tool_momentum, 0.504, -0.712, 0.491, robot_mode, normal, 
30/03/2022 12:04:18:531, robot_pos_w_timestamp, 1648634573154, 591.1, 222.2, 200.64, 2.24, 0.13, 3.07, tool_force, 1.52, 1.67, 5.17, actual_rep, 1, curr_step, 12, track_size, 81, robot_vel, 37.19, joints_pos, 51.23, 64.13, -50.81, -78.81, 49.88, 53.57, 44.37, tool_torque, 0.555, -0.785, 0.543, tool_momentum, 0.557, -0.799, 0.543, robot_mode, normal, 
30/03/2022 12:04:18:678, robot_pos_w_timestamp, 1648634573304, 591.7, 216.38, 200.7, 2.24, 0.13, 3.07, tool_force, 1.3, 1.49, 5.3, actual_rep, 1, curr_step, 12, track_size, 81, robot_vel, 39.63, joints_pos, 50.87, 64.02, -50.81, -79.08, 49.44, 53.42, 44.08, tool_torque, 0.564, -0.773, 0.548, tool_momentum, 0.565, -0.777, 0.548, robot_mode, normal, 
30/03/2022 12:04:18:828, robot_pos_w_timestamp, 1648634573455, 592.29, 210.6, 200.76, 2.24, 0.14, 3.08, tool_force, 1.06, 1.47, 5.33, actual_rep, 1, curr_step, 13, track_size, 81, robot_vel, 38.27, joints_pos, 50.52, 63.92, -50.81, -79.34, 49.05, 53.26, 43.77, tool_torque, 0.519, -0.643, 0.505, tool_momentum, 0.53, -0.641, 0.505, robot_mode, normal, 
30/03/2022 12:04:18:983, robot_pos_w_timestamp, 1648634573602, 592.59, 204.74, 200.85, 2.24, 0.14, 3.08, tool_force, 1.33, 1.73, 5.34, actual_rep, 1, curr_step, 13, track_size, 81, robot_vel, 37.88, joints_pos, 50.18, 63.79, -50.81, -79.64, 48.62, 53.1, 43.47, tool_torque, 0.538, -0.655, 0.497, tool_momentum, 0.539, -0.658, 0.497, robot_mode, normal, 
30/03/2022 12:04:19:132, robot_pos_w_timestamp, 1648634573750, 592.79, 199.06, 201.04, 2.24, 0.15, 3.09, tool_force, 1.88, 1.95, 5.42, actual_rep, 1, curr_step, 14, track_size, 81, robot_vel, 35.64, joints_pos, 49.86, 63.66, -50.81, -79.94, 48.19, 52.97, 43.21, tool_torque, 0.568, -0.776, 0.532, tool_momentum, 0.572, -0.789, 0.534, robot_mode, normal, 
30/03/2022 12:04:19:282, robot_pos_w_timestamp, 1648634573901, 592.85, 193.25, 201.33, 2.24, 0.15, 3.09, tool_force, 1.52, 2.26, 5.54, actual_rep, 1, curr_step, 14, track_size, 81, robot_vel, 39.23, joints_pos, 49.48, 63.5, -50.8, -80.25, 47.93, 52.95, 42.77, tool_torque, 0.626, -0.764, 0.523, tool_momentum, 0.621, -0.768, 0.523, robot_mode, normal, 
30/03/2022 12:04:19:434, robot_pos_w_timestamp, 1648634574048, 592.9, 187.67, 201.14, 2.24, 0.15, 3.1, tool_force, 1.45, 2.0, 5.13, actual_rep, 1, curr_step, 15, track_size, 81, robot_vel, 35.81, joints_pos, 49.11, 63.39, -50.76, -80.54, 47.59, 52.82, 42.51, tool_torque, 0.591, -0.779, 0.478, tool_momentum, 0.587, -0.773, 0.478, robot_mode, impedance, 
30/03/2022 12:04:19:605, robot_pos_w_timestamp, 1648634574198, 592.94, 183.39, 200.18, 2.24, 0.16, 3.11, tool_force, 1.31, 2.06, 5.05, actual_rep, 1, curr_step, 15, track_size, 81, robot_vel, 27.3, joints_pos, 48.87, 63.4, -50.71, -80.72, 47.07, 52.6, 42.32, tool_torque, 0.585, -0.738, 0.478, tool_momentum, 0.593, -0.745, 0.479, robot_mode, impedance, 
30/03/2022 12:04:19:802, robot_pos_w_timestamp, 1648634574346, 593.42, 178.92, 200.21, 2.24, 0.17, 3.11, tool_force, 0.9, 2.32, 5.04, actual_rep, 1, curr_step, 15, track_size, 81, robot_vel, 30.91, joints_pos, 48.61, 63.39, -50.78, -80.84, 46.62, 52.54, 42.03, tool_torque, 0.525, -0.669, 0.464, tool_momentum, 0.53, -0.681, 0.464, robot_mode, impedance, 
30/03/2022 12:04:19:909, robot_pos_w_timestamp, 1648634574495, 594.32, 175.01, 201.01, 2.24, 0.17, 3.11, tool_force, 0.63, 2.33, 4.69, actual_rep, 1, curr_step, 16, track_size, 81, robot_vel, 22.81, joints_pos, 48.32, 63.31, -50.83, -80.88, 46.4, 52.53, 41.74, tool_torque, 0.547, -0.775, 0.45, tool_momentum, 0.546, -0.753, 0.447, robot_mode, impedance, 
30/03/2022 12:04:20:103, robot_pos_w_timestamp, 1648634574644, 594.99, 169.37, 201.98, 2.25, 0.17, 3.12, tool_force, -0.53, 2.53, 4.7, actual_rep, 1, curr_step, 16, track_size, 81, robot_vel, 44.32, joints_pos, 47.88, 63.12, -50.85, -81.12, 46.35, 52.45, 41.13, tool_torque, 0.559, -0.721, 0.399, tool_momentum, 0.552, -0.704, 0.399, robot_mode, impedance, 
30/03/2022 12:04:20:205, robot_pos_w_timestamp, 1648634574792, 595.73, 163.62, 203.35, 2.25, 0.17, 3.11, tool_force, -2.32, 2.54, 4.57, actual_rep, 1, curr_step, 17, track_size, 81, robot_vel, 31.58, joints_pos, 47.42, 62.87, -50.83, -81.36, 46.35, 52.35, 40.5, tool_torque, 0.547, -0.721, 0.385, tool_momentum, 0.541, -0.7, 0.383, robot_mode, impedance, 
30/03/2022 12:04:20:422, robot_pos_w_timestamp, 1648634574943, 596.45, 158.6, 204.45, 2.25, 0.17, 3.12, tool_force, -3.02, 3.82, 4.84, actual_rep, 1, curr_step, 17, track_size, 81, robot_vel, 44.18, joints_pos, 47.01, 62.71, -50.83, -81.46, 46.03, 52.38, 40.1, tool_torque, 0.422, -0.826, 0.227, tool_momentum, 0.42, -0.825, 0.226, robot_mode, impedance, 
30/03/2022 12:04:20:507, robot_pos_w_timestamp, 1648634575093, 598.1, 152.1, 205.77, 2.25, 0.17, 3.12, tool_force, -4.2, 4.34, 4.42, actual_rep, 1, curr_step, 17, track_size, 81, robot_vel, 45.42, joints_pos, 46.41, 62.57, -50.85, -81.46, 45.81, 52.46, 39.54, tool_torque, 0.275, -0.929, 0.128, tool_momentum, 0.266, -0.92, 0.128, robot_mode, impedance, 
30/03/2022 12:04:20:723, robot_pos_w_timestamp, 1648634575240, 600.31, 149.73, 207.05, 2.25, 0.17, 3.12, tool_force, -4.88, 4.96, 3.69, actual_rep, 1, curr_step, 17, track_size, 81, robot_vel, 17.39, joints_pos, 45.94, 62.47, -50.69, -81.16, 45.69, 52.54, 39.3, tool_torque, 0.237, -1.137, 0.035, tool_momentum, 0.24, -1.139, 0.035, robot_mode, impedance, 
