30/03/2022 14:21:00: File Created!
30/03/2022 14:21:00:537, robot_pos_w_timestamp, 1648642775568, 546.38, 294.63, 197.0, 2.31, 0.07, 3.07, tool_force, 0.2, -0.57, -0.04, actual_rep, 1, curr_step, 1, track_size, 78, robot_vel, 0.0, joints_pos, 60.12, 64.9, -53.09, -80.72, 55.4, 56.13, 44.04, tool_torque, 0.108, -0.468, 0.181, tool_momentum, 0.108, -0.468, 0.181, robot_mode, normal, 
30/03/2022 14:21:00:642, robot_pos_w_timestamp, 1648642775706, 546.39, 294.64, 197.02, 2.31, 0.07, 3.07, tool_force, 0.16, -0.72, -0.06, actual_rep, 1, curr_step, 2, track_size, 78, robot_vel, 0.03, joints_pos, 60.12, 64.9, -53.09, -80.72, 55.4, 56.12, 44.05, tool_torque, 0.086, -0.43, 0.142, tool_momentum, 0.085, -0.423, 0.141, robot_mode, normal, 
30/03/2022 14:21:00:803, robot_pos_w_timestamp, 1648642775872, 549.33, 290.22, 199.8, 2.31, 0.08, 3.06, tool_force, 0.68, -0.58, 0.09, actual_rep, 1, curr_step, 2, track_size, 78, robot_vel, 47.98, joints_pos, 59.95, 64.86, -53.58, -80.73, 55.2, 56.05, 43.57, tool_torque, 0.111, -0.508, 0.355, tool_momentum, 0.11, -0.507, 0.355, robot_mode, normal, 
30/03/2022 14:21:00:935, robot_pos_w_timestamp, 1648642776004, 551.11, 288.23, 201.6, 2.32, 0.08, 3.06, tool_force, 0.02, -0.87, 0.04, actual_rep, 1, curr_step, 3, track_size, 78, robot_vel, 10.39, joints_pos, 59.78, 64.77, -53.71, -80.68, 55.17, 56.05, 43.34, tool_torque, 0.06, -0.507, 0.311, tool_momentum, 0.07, -0.554, 0.311, robot_mode, normal, 
30/03/2022 14:21:01:093, robot_pos_w_timestamp, 1648642776153, 553.21, 283.12, 203.36, 2.31, 0.09, 3.06, tool_force, 0.33, -0.52, 0.38, actual_rep, 1, curr_step, 4, track_size, 78, robot_vel, 41.4, joints_pos, 59.56, 64.74, -54.1, -80.81, 54.96, 56.06, 43.35, tool_torque, 0.078, -0.451, 0.288, tool_momentum, 0.079, -0.448, 0.288, robot_mode, normal, 
30/03/2022 14:21:01:241, robot_pos_w_timestamp, 1648642776305, 555.24, 277.25, 205.06, 2.3, 0.09, 3.06, tool_force, 1.19, 0.31, 0.24, actual_rep, 1, curr_step, 4, track_size, 78, robot_vel, 42.82, joints_pos, 59.28, 64.69, -54.48, -81.02, 55.02, 56.14, 43.3, tool_torque, 0.207, -0.721, 0.377, tool_momentum, 0.185, -0.712, 0.377, robot_mode, normal, 
30/03/2022 14:21:01:393, robot_pos_w_timestamp, 1648642776453, 557.12, 271.48, 207.06, 2.29, 0.1, 3.07, tool_force, 1.1, -0.46, -0.22, actual_rep, 1, curr_step, 5, track_size, 78, robot_vel, 45.11, joints_pos, 59.05, 64.66, -54.94, -81.22, 55.01, 56.31, 43.3, tool_torque, 0.097, -0.713, 0.319, tool_momentum, 0.086, -0.713, 0.319, robot_mode, normal, 
30/03/2022 14:21:01:573, robot_pos_w_timestamp, 1648642776603, 558.59, 265.6, 208.42, 2.28, 0.1, 3.07, tool_force, 0.62, -0.52, 0.13, actual_rep, 1, curr_step, 5, track_size, 78, robot_vel, 40.48, joints_pos, 58.78, 64.64, -55.31, -81.44, 55.05, 56.49, 43.38, tool_torque, 0.068, -0.761, 0.217, tool_momentum, 0.068, -0.759, 0.216, robot_mode, normal, 
30/03/2022 14:21:01:689, robot_pos_w_timestamp, 1648642776754, 560.24, 259.43, 209.86, 2.27, 0.1, 3.07, tool_force, 0.07, -0.66, 0.06, actual_rep, 1, curr_step, 6, track_size, 78, robot_vel, 44.71, joints_pos, 58.48, 64.63, -55.72, -81.63, 55.11, 56.74, 43.42, tool_torque, 0.027, -0.73, 0.156, tool_momentum, 0.023, -0.721, 0.156, robot_mode, normal, 
30/03/2022 14:21:01:840, robot_pos_w_timestamp, 1648642776902, 561.59, 253.53, 210.87, 2.25, 0.1, 3.07, tool_force, -1.47, -0.79, 0.46, actual_rep, 1, curr_step, 6, track_size, 78, robot_vel, 40.51, joints_pos, 58.18, 64.63, -56.06, -81.85, 55.19, 56.94, 43.48, tool_torque, -0.034, -0.548, 0.101, tool_momentum, -0.026, -0.562, 0.103, robot_mode, normal, 
30/03/2022 14:21:01:992, robot_pos_w_timestamp, 1648642777054, 563.12, 247.77, 212.0, 2.24, 0.1, 3.07, tool_force, -0.76, 0.17, 0.83, actual_rep, 1, curr_step, 6, track_size, 78, robot_vel, 39.34, joints_pos, 57.85, 64.63, -56.38, -82.0, 55.23, 57.19, 43.59, tool_torque, -0.028, -0.651, 0.033, tool_momentum, -0.04, -0.647, 0.031, robot_mode, normal, 
30/03/2022 14:21:02:141, robot_pos_w_timestamp, 1648642777204, 564.38, 242.17, 213.02, 2.23, 0.11, 3.08, tool_force, -0.44, 0.32, 0.8, actual_rep, 1, curr_step, 7, track_size, 78, robot_vel, 37.73, joints_pos, 57.54, 64.63, -56.68, -82.17, 55.25, 57.4, 43.69, tool_torque, 0.0050, -0.683, 0.041, tool_momentum, 0.0090, -0.673, 0.04, robot_mode, normal, 
30/03/2022 14:21:02:290, robot_pos_w_timestamp, 1648642777352, 565.38, 236.53, 214.28, 2.22, 0.11, 3.08, tool_force, 0.34, -0.15, -0.93, actual_rep, 1, curr_step, 7, track_size, 78, robot_vel, 43.22, joints_pos, 57.24, 64.57, -56.97, -82.39, 55.28, 57.62, 43.76, tool_torque, -0.02, -0.785, 0.082, tool_momentum, -0.016, -0.803, 0.082, robot_mode, normal, 
30/03/2022 14:21:02:443, robot_pos_w_timestamp, 1648642777503, 566.37, 230.89, 215.23, 2.21, 0.11, 3.08, tool_force, 0.08, 0.09, -0.34, actual_rep, 1, curr_step, 8, track_size, 78, robot_vel, 36.72, joints_pos, 56.92, 64.52, -57.22, -82.61, 55.3, 57.77, 43.78, tool_torque, -0.018, -0.682, 0.075, tool_momentum, -0.015, -0.681, 0.075, robot_mode, normal, 
