30/03/2022 16:26:47: File Created!
30/03/2022 16:26:47:433, robot_pos_w_timestamp, 1648650321251, 601.49, 304.98, 182.99, 2.35, 0.05, 3.06, tool_force, 0.09, -0.14, 0.39, actual_rep, 1, curr_step, 1, track_size, 82, robot_vel, 45.2, joints_pos, 39.59, 60.85, -22.59, -68.08, 23.83, 49.76, 59.06, tool_torque, 0.025, -0.209, 0.142, tool_momentum, 0.026, -0.211, 0.142, robot_mode, normal, 
30/03/2022 16:26:47:520, robot_pos_w_timestamp, 1648650321386, 601.5, 304.99, 183.04, 2.35, 0.05, 3.06, tool_force, 0.11, -0.21, 0.44, actual_rep, 1, curr_step, 1, track_size, 82, robot_vel, 45.2, joints_pos, 39.59, 60.85, -22.59, -68.08, 23.83, 49.76, 59.06, tool_torque, 0.019, -0.214, 0.148, tool_momentum, 0.02, -0.211, 0.147, robot_mode, normal, 
30/03/2022 16:26:47:673, robot_pos_w_timestamp, 1648650321535, 602.07, 304.04, 183.12, 2.35, 0.06, 3.06, tool_force, 1.35, 0.27, 0.14, actual_rep, 1, curr_step, 3, track_size, 82, robot_vel, 4.07, joints_pos, 39.55, 60.86, -22.69, -68.08, 23.83, 49.72, 59.08, tool_torque, 0.142, -0.382, 0.106, tool_momentum, 0.141, -0.381, 0.105, robot_mode, normal, 
30/03/2022 16:26:47:818, robot_pos_w_timestamp, 1648650321685, 604.94, 298.25, 183.65, 2.35, 0.06, 3.06, tool_force, 1.57, 0.03, 0.13, actual_rep, 1, curr_step, 4, track_size, 82, robot_vel, 42.68, joints_pos, 39.19, 60.86, -22.95, -68.1, 23.83, 49.75, 58.89, tool_torque, 0.086, -0.437, 0.319, tool_momentum, 0.073, -0.432, 0.321, robot_mode, normal, 
30/03/2022 16:26:47:968, robot_pos_w_timestamp, 1648650321834, 607.94, 292.45, 184.26, 2.34, 0.06, 3.06, tool_force, 0.82, 0.3, 0.43, actual_rep, 1, curr_step, 5, track_size, 82, robot_vel, 48.05, joints_pos, 38.76, 60.84, -23.13, -68.1, 23.75, 49.73, 58.65, tool_torque, 0.168, -0.273, 0.38, tool_momentum, 0.172, -0.271, 0.38, robot_mode, normal, 
30/03/2022 16:26:48:119, robot_pos_w_timestamp, 1648650321984, 610.62, 286.72, 184.75, 2.34, 0.07, 3.06, tool_force, 0.34, 0.49, 0.44, actual_rep, 1, curr_step, 6, track_size, 82, robot_vel, 44.96, joints_pos, 38.37, 60.82, -23.31, -68.12, 23.67, 49.73, 58.47, tool_torque, 0.186, -0.25, 0.387, tool_momentum, 0.201, -0.292, 0.39, robot_mode, normal, 
30/03/2022 16:26:48:274, robot_pos_w_timestamp, 1648650322136, 613.08, 280.88, 185.2, 2.33, 0.07, 3.06, tool_force, 0.96, 0.59, 0.39, actual_rep, 1, curr_step, 7, track_size, 82, robot_vel, 37.33, joints_pos, 38.0, 60.8, -23.54, -68.19, 23.62, 49.73, 58.26, tool_torque, 0.217, -0.359, 0.392, tool_momentum, 0.23, -0.38, 0.395, robot_mode, normal, 
30/03/2022 16:26:48:465, robot_pos_w_timestamp, 1648650322285, 615.17, 275.22, 185.62, 2.33, 0.08, 3.06, tool_force, 1.06, 0.67, 0.57, actual_rep, 1, curr_step, 7, track_size, 82, robot_vel, 39.57, joints_pos, 37.67, 60.76, -23.78, -68.3, 23.62, 49.73, 58.05, tool_torque, 0.21, -0.17, 0.385, tool_momentum, 0.21, -0.171, 0.387, robot_mode, normal, 
30/03/2022 16:26:48:573, robot_pos_w_timestamp, 1648650322433, 616.99, 269.55, 185.87, 2.33, 0.08, 3.06, tool_force, 2.13, 0.96, 0.39, actual_rep, 1, curr_step, 8, track_size, 82, robot_vel, 44.09, joints_pos, 37.35, 60.71, -23.99, -68.44, 23.6, 49.7, 57.83, tool_torque, 0.269, -0.34, 0.423, tool_momentum, 0.267, -0.339, 0.423, robot_mode, normal, 
30/03/2022 16:26:48:724, robot_pos_w_timestamp, 1648650322582, 618.75, 264.08, 186.51, 2.32, 0.08, 3.07, tool_force, 2.04, 1.97, 0.93, actual_rep, 1, curr_step, 9, track_size, 82, robot_vel, 38.8, joints_pos, 37.03, 60.64, -24.23, -68.58, 23.6, 49.71, 57.58, tool_torque, 0.263, -0.343, 0.352, tool_momentum, 0.255, -0.324, 0.35, robot_mode, normal, 
30/03/2022 16:26:48:881, robot_pos_w_timestamp, 1648650322734, 620.19, 258.49, 187.53, 2.32, 0.08, 3.07, tool_force, 2.56, 2.76, 0.12, actual_rep, 1, curr_step, 9, track_size, 82, robot_vel, 38.84, joints_pos, 36.75, 60.51, -24.48, -68.78, 23.61, 49.74, 57.28, tool_torque, 0.204, -0.52, 0.296, tool_momentum, 0.21, -0.524, 0.296, robot_mode, normal, 
