30/03/2022 16:35:53: File Created!
30/03/2022 16:35:53:241, robot_pos_w_timestamp, 1648650867605, 600.65, 299.63, 217.42, 2.28, -0.01, 3.08, tool_force, -0.33, 0.17, -0.05, actual_rep, 1, curr_step, 1, track_size, 97, robot_vel, 38.21, joints_pos, 39.73, 58.3, -24.62, -67.8, 26.78, 55.92, 60.97, tool_torque, 0.048, -0.24, 0.297, tool_momentum, 0.049, -0.241, 0.297, robot_mode, normal, 
30/03/2022 16:35:53:355, robot_pos_w_timestamp, 1648650867753, 600.67, 299.64, 217.44, 2.28, -0.01, 3.08, tool_force, -0.32, 0.25, 0.15, actual_rep, 1, curr_step, 1, track_size, 97, robot_vel, 38.21, joints_pos, 39.73, 58.3, -24.62, -67.8, 26.78, 55.92, 60.97, tool_torque, 0.103, -0.235, 0.302, tool_momentum, 0.107, -0.236, 0.302, robot_mode, normal, 
30/03/2022 16:35:53:532, robot_pos_w_timestamp, 1648650867892, 600.88, 299.11, 215.4, 2.28, 0.0, 3.08, tool_force, -0.25, 0.75, 0.58, actual_rep, 1, curr_step, 2, track_size, 97, robot_vel, 22.59, joints_pos, 39.7, 58.47, -24.64, -67.81, 26.78, 55.72, 61.02, tool_torque, 0.283, -0.221, 0.264, tool_momentum, 0.282, -0.209, 0.26, robot_mode, normal, 
30/03/2022 16:35:53:647, robot_pos_w_timestamp, 1648650868038, 603.16, 293.48, 217.13, 2.27, 0.0, 3.08, tool_force, -0.1, 0.36, -0.11, actual_rep, 1, curr_step, 3, track_size, 97, robot_vel, 45.46, joints_pos, 39.5, 58.38, -25.12, -67.89, 26.78, 55.95, 60.99, tool_torque, 0.012, -0.186, 0.248, tool_momentum, 0.013, -0.196, 0.249, robot_mode, normal, 
30/03/2022 16:35:53:791, robot_pos_w_timestamp, 1648650868189, 605.16, 287.56, 217.28, 2.26, 0.01, 3.09, tool_force, 0.34, 0.41, -0.26, actual_rep, 1, curr_step, 4, track_size, 97, robot_vel, 44.44, joints_pos, 39.27, 58.36, -25.49, -68.07, 26.72, 55.88, 60.99, tool_torque, 0.125, -0.226, 0.265, tool_momentum, 0.123, -0.227, 0.265, robot_mode, normal, 
30/03/2022 16:35:53:946, robot_pos_w_timestamp, 1648650868343, 607.33, 281.66, 217.77, 2.26, 0.01, 3.09, tool_force, 0.32, 0.43, -0.03, actual_rep, 1, curr_step, 5, track_size, 97, robot_vel, 40.32, joints_pos, 39.04, 58.35, -25.92, -68.19, 26.7, 55.89, 61.03, tool_torque, 0.103, -0.217, 0.201, tool_momentum, 0.1, -0.22, 0.201, robot_mode, normal, 
30/03/2022 16:35:54:138, robot_pos_w_timestamp, 1648650868493, 609.61, 275.8, 218.28, 2.25, 0.02, 3.09, tool_force, 0.55, 0.57, 0.03, actual_rep, 1, curr_step, 6, track_size, 97, robot_vel, 42.36, joints_pos, 38.81, 58.35, -26.34, -68.28, 26.7, 55.89, 61.05, tool_torque, 0.144, -0.243, 0.183, tool_momentum, 0.141, -0.234, 0.181, robot_mode, normal, 
30/03/2022 16:35:54:245, robot_pos_w_timestamp, 1648650868637, 611.58, 270.32, 218.64, 2.24, 0.02, 3.09, tool_force, 1.78, 0.28, 0.42, actual_rep, 1, curr_step, 7, track_size, 97, robot_vel, 39.48, joints_pos, 38.58, 58.34, -26.71, -68.39, 26.7, 55.85, 61.08, tool_torque, 0.17, -0.241, 0.186, tool_momentum, 0.172, -0.231, 0.181, robot_mode, normal, 
30/03/2022 16:35:54:395, robot_pos_w_timestamp, 1648650868787, 613.77, 264.53, 219.34, 2.23, 0.03, 3.09, tool_force, 1.58, 0.22, 0.42, actual_rep, 1, curr_step, 7, track_size, 97, robot_vel, 39.92, joints_pos, 38.36, 58.34, -27.15, -68.48, 26.73, 55.87, 61.1, tool_torque, 0.118, -0.233, 0.153, tool_momentum, 0.12, -0.238, 0.154, robot_mode, normal, 
30/03/2022 16:35:54:583, robot_pos_w_timestamp, 1648650868936, 616.05, 258.66, 220.08, 2.22, 0.04, 3.09, tool_force, 0.62, 0.61, 0.08, actual_rep, 1, curr_step, 8, track_size, 97, robot_vel, 41.57, joints_pos, 38.12, 58.34, -27.58, -68.55, 26.76, 55.86, 61.1, tool_torque, 0.152, -0.266, 0.162, tool_momentum, 0.144, -0.252, 0.162, robot_mode, normal, 
30/03/2022 16:35:54:713, robot_pos_w_timestamp, 1648650869086, 618.14, 252.87, 220.69, 2.21, 0.04, 3.09, tool_force, 0.6, 0.7, 0.31, actual_rep, 1, curr_step, 8, track_size, 97, robot_vel, 41.64, joints_pos, 37.86, 58.34, -27.96, -68.63, 26.78, 55.88, 61.1, tool_torque, 0.096, -0.231, 0.134, tool_momentum, 0.089, -0.219, 0.134, robot_mode, normal, 
