30/03/2022 17:04:26: File Created!
30/03/2022 17:04:26:274, robot_pos_w_timestamp, 1648652581344, 614.57, 276.71, 201.44, 2.36, -0.03, 3.07, tool_force, -0.35, -0.29, -0.01, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 56.97, joints_pos, 36.27, 59.86, -23.21, -66.92, 27.92, 55.42, 53.51, tool_torque, -0.047, -0.131, 0.116, tool_momentum, -0.047, -0.131, 0.116, robot_mode, normal, 
30/03/2022 17:04:26:359, robot_pos_w_timestamp, 1648652581478, 614.58, 276.72, 201.46, 2.36, -0.03, 3.07, tool_force, -0.36, -0.4, 0.02, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 56.97, joints_pos, 36.27, 59.86, -23.21, -66.92, 27.92, 55.42, 53.51, tool_torque, -0.063, -0.114, 0.082, tool_momentum, -0.065, -0.111, 0.082, robot_mode, normal, 
30/03/2022 17:04:26:516, robot_pos_w_timestamp, 1648652581628, 614.98, 275.36, 201.37, 2.36, -0.02, 3.08, tool_force, 1.11, -0.09, -0.38, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 24.41, joints_pos, 36.23, 59.87, -23.33, -66.96, 27.87, 55.42, 53.55, tool_torque, -0.0060, -0.35, 0.074, tool_momentum, -0.0080, -0.356, 0.076, robot_mode, normal, 
30/03/2022 17:04:26:657, robot_pos_w_timestamp, 1648652581777, 616.04, 269.7, 200.72, 2.35, -0.02, 3.08, tool_force, 0.59, 0.18, -0.12, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 34.01, joints_pos, 36.0, 59.87, -23.62, -67.2, 27.81, 55.42, 53.39, tool_torque, 0.052, -0.237, 0.262, tool_momentum, 0.06, -0.245, 0.265, robot_mode, normal, 
30/03/2022 17:04:26:813, robot_pos_w_timestamp, 1648652581929, 616.88, 264.08, 199.93, 2.35, -0.02, 3.09, tool_force, 1.17, 0.89, 0.54, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 35.6, joints_pos, 35.75, 59.85, -23.84, -67.46, 27.67, 55.38, 53.31, tool_torque, 0.178, -0.131, 0.325, tool_momentum, 0.2, -0.145, 0.324, robot_mode, normal, 
30/03/2022 17:04:26:963, robot_pos_w_timestamp, 1648652582084, 617.91, 257.93, 199.48, 2.34, -0.01, 3.09, tool_force, 0.69, 0.75, 0.46, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 40.24, joints_pos, 35.51, 59.82, -24.16, -67.74, 27.59, 55.38, 53.12, tool_torque, 0.163, -0.186, 0.333, tool_momentum, 0.166, -0.188, 0.333, robot_mode, normal, 
30/03/2022 17:04:27:116, robot_pos_w_timestamp, 1648652582230, 618.62, 252.52, 198.89, 2.34, -0.01, 3.09, tool_force, 0.84, 1.14, 0.36, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 33.63, joints_pos, 35.32, 59.81, -24.47, -68.0, 27.58, 55.38, 52.95, tool_torque, 0.188, -0.197, 0.314, tool_momentum, 0.184, -0.205, 0.317, robot_mode, normal, 
30/03/2022 17:04:27:268, robot_pos_w_timestamp, 1648652582381, 619.17, 246.56, 198.29, 2.33, -0.01, 3.1, tool_force, 0.93, 0.96, 0.53, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 39.75, joints_pos, 35.1, 59.78, -24.8, -68.32, 27.57, 55.38, 52.74, tool_torque, 0.228, -0.209, 0.331, tool_momentum, 0.227, -0.203, 0.331, robot_mode, normal, 
30/03/2022 17:04:27:418, robot_pos_w_timestamp, 1648652582531, 619.89, 240.53, 197.83, 2.33, 0.0, 3.1, tool_force, -0.49, 1.06, 0.61, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 42.67, joints_pos, 34.84, 59.74, -25.09, -68.61, 27.57, 55.39, 52.49, tool_torque, 0.172, -0.177, 0.284, tool_momentum, 0.183, -0.187, 0.284, robot_mode, normal, 
30/03/2022 17:04:27:563, robot_pos_w_timestamp, 1648652582681, 620.67, 234.58, 197.51, 2.32, 0.0, 3.11, tool_force, -2.16, 2.73, 0.85, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.36, joints_pos, 34.58, 59.71, -25.37, -68.87, 27.57, 55.4, 52.22, tool_torque, 0.186, -0.21, 0.131, tool_momentum, 0.18, -0.2, 0.131, robot_mode, normal, 
30/03/2022 17:04:27:721, robot_pos_w_timestamp, 1648652582831, 623.44, 228.18, 197.07, 2.32, 0.01, 3.11, tool_force, -5.9, 5.67, 2.11, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 52.68, joints_pos, 34.19, 59.85, -25.69, -68.8, 27.57, 55.29, 51.81, tool_torque, 0.206, -0.0060, -0.207, tool_momentum, 0.186, 0.011, -0.207, robot_mode, impedance, 
30/03/2022 17:04:27:870, robot_pos_w_timestamp, 1648652582984, 627.95, 220.97, 196.24, 2.32, 0.01, 3.11, tool_force, -9.02, 6.42, 3.39, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 58.56, joints_pos, 33.56, 60.24, -25.97, -68.23, 27.57, 55.68, 51.43, tool_torque, -0.092, -0.03, -0.354, tool_momentum, -0.1, -0.0090, -0.354, robot_mode, impedance, 
30/03/2022 17:04:28:021, robot_pos_w_timestamp, 1648652583134, 632.43, 213.15, 195.63, 2.31, 0.01, 3.12, tool_force, -11.61, 6.7, 3.87, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 57.96, joints_pos, 32.82, 60.63, -26.18, -67.62, 27.57, 56.24, 51.05, tool_torque, -0.049, -0.157, -0.384, tool_momentum, -0.059, -0.141, -0.384, robot_mode, impedance, 
