30/03/2022 17:05:43: File Created!
30/03/2022 17:05:43:138, robot_pos_w_timestamp, 1648652658117, 612.88, 280.94, 203.69, 2.36, -0.03, 3.07, tool_force, 0.45, -0.54, -0.07, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 23.57, joints_pos, 36.47, 59.59, -22.94, -66.97, 27.91, 55.42, 53.75, tool_torque, -0.068, -0.276, 0.121, tool_momentum, -0.068, -0.277, 0.121, robot_mode, normal, 
30/03/2022 17:05:43:239, robot_pos_w_timestamp, 1648652658244, 612.88, 280.85, 202.39, 2.36, -0.03, 3.07, tool_force, 0.89, -0.54, -0.85, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 23.57, joints_pos, 36.47, 59.71, -22.93, -66.97, 27.91, 55.3, 53.75, tool_torque, 0.117, -0.295, 0.146, tool_momentum, 0.144, -0.273, 0.145, robot_mode, normal, 
30/03/2022 17:05:43:351, robot_pos_w_timestamp, 1648652658395, 613.82, 278.46, 201.79, 2.36, -0.03, 3.07, tool_force, 1.4, 0.18, -0.39, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 23.41, joints_pos, 36.35, 59.77, -23.09, -67.0, 27.91, 55.28, 53.69, tool_torque, 0.177, -0.299, 0.219, tool_momentum, 0.163, -0.283, 0.218, robot_mode, normal, 
30/03/2022 17:05:43:544, robot_pos_w_timestamp, 1648652658542, 615.07, 272.75, 200.98, 2.35, -0.02, 3.08, tool_force, 2.71, 0.35, 0.11, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 27.09, joints_pos, 36.08, 59.8, -23.32, -67.18, 27.75, 55.3, 53.59, tool_torque, 0.134, -0.295, 0.316, tool_momentum, 0.133, -0.289, 0.316, robot_mode, normal, 
30/03/2022 17:05:43:658, robot_pos_w_timestamp, 1648652658698, 616.41, 266.48, 200.42, 2.35, -0.02, 3.08, tool_force, 0.41, 0.3, -0.13, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 40.19, joints_pos, 35.81, 59.79, -23.57, -67.39, 27.34, 55.3, 53.72, tool_torque, 0.046, -0.0040, 0.091, tool_momentum, 0.049, -0.0090, 0.091, robot_mode, normal, 
30/03/2022 17:05:43:972, robot_pos_w_timestamp, 1648652659003, 618.13, 254.7, 199.03, 2.34, -0.01, 3.1, tool_force, 0.61, 0.11, 0.76, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 40.68, joints_pos, 35.0, 59.69, -23.58, -67.85, 26.65, 55.38, 53.46, tool_torque, 0.029, -0.205, 0.378, tool_momentum, 0.033, -0.212, 0.378, robot_mode, normal, 
30/03/2022 17:05:44:122, robot_pos_w_timestamp, 1648652659151, 619.02, 248.96, 198.59, 2.34, -0.01, 3.1, tool_force, 0.78, 1.63, 0.94, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 40.35, joints_pos, 34.6, 59.58, -23.56, -68.14, 26.37, 55.2, 53.35, tool_torque, 0.45, -0.189, 0.387, tool_momentum, 0.459, -0.205, 0.389, robot_mode, normal, 
30/03/2022 17:05:44:269, robot_pos_w_timestamp, 1648652659304, 619.56, 243.19, 198.01, 2.33, 0.0, 3.1, tool_force, 0.67, 1.38, 0.6, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.59, joints_pos, 34.24, 59.44, -23.56, -68.55, 26.13, 54.93, 53.23, tool_torque, 0.477, -0.172, 0.402, tool_momentum, 0.483, -0.184, 0.402, robot_mode, normal, 
30/03/2022 17:05:44:472, robot_pos_w_timestamp, 1648652659450, 620.05, 237.1, 197.83, 2.33, 0.0, 3.1, tool_force, -0.35, 0.89, -0.2, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 41.96, joints_pos, 33.82, 59.3, -23.56, -68.89, 25.92, 54.89, 53.08, tool_torque, 0.399, -0.158, 0.371, tool_momentum, 0.405, -0.173, 0.371, robot_mode, normal, 
30/03/2022 17:05:44:566, robot_pos_w_timestamp, 1648652659602, 620.27, 231.45, 197.44, 2.32, 0.0, 3.11, tool_force, 0.89, 1.18, -0.28, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 35.26, joints_pos, 33.44, 59.17, -23.56, -69.22, 25.71, 54.86, 52.97, tool_torque, 0.389, -0.257, 0.37, tool_momentum, 0.389, -0.254, 0.37, robot_mode, normal, 
30/03/2022 17:05:44:721, robot_pos_w_timestamp, 1648652659747, 620.36, 225.71, 197.25, 2.32, 0.0, 3.11, tool_force, 0.65, 1.33, -0.1, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 37.59, joints_pos, 33.06, 59.02, -23.56, -69.58, 25.52, 54.86, 52.84, tool_torque, 0.371, -0.226, 0.366, tool_momentum, 0.367, -0.221, 0.366, robot_mode, normal, 
