05/04/2022 15:23:43: File Created!
05/04/2022 15:23:43:354, robot_pos_w_timestamp, 1649168532612, 596.42, 326.91, 176.79, 2.27, 0.06, 3.03, tool_force, -0.35, 0.21, 0.41, actual_rep, 1, curr_step, 1, track_size, 84, robot_vel, 0.0, joints_pos, 29.38, 59.67, -0.5, -67.23, -2.2, 46.29, 80.29, tool_torque, -0.024, 0.163, 0.168, tool_momentum, -0.024, 0.162, 0.168, robot_mode, normal, 
05/04/2022 15:23:43:472, robot_pos_w_timestamp, 1649168532750, 596.66, 325.9, 176.46, 2.27, 0.06, 3.03, tool_force, 0.55, 0.63, 0.88, actual_rep, 1, curr_step, 2, track_size, 84, robot_vel, 18.26, joints_pos, 29.34, 59.69, -0.58, -67.26, -2.2, 46.28, 80.32, tool_torque, 0.044, 0.051, 0.115, tool_momentum, 0.025, -0.032, 0.12, robot_mode, normal, 
05/04/2022 15:23:43:626, robot_pos_w_timestamp, 1649168532896, 600.25, 320.58, 176.3, 2.26, 0.06, 3.03, tool_force, 0.52, -0.09, 0.37, actual_rep, 1, curr_step, 3, track_size, 84, robot_vel, 42.41, joints_pos, 28.99, 59.76, -0.94, -67.15, -2.2, 46.24, 80.3, tool_torque, 0.018, -0.011, 0.162, tool_momentum, 0.018, -0.04, 0.162, robot_mode, normal, 
05/04/2022 15:23:43:762, robot_pos_w_timestamp, 1649168533047, 603.52, 314.82, 176.95, 2.25, 0.07, 3.03, tool_force, 0.28, -0.1, 0.07, actual_rep, 1, curr_step, 4, track_size, 84, robot_vel, 47.03, joints_pos, 28.73, 59.71, -1.27, -67.14, -2.26, 46.24, 80.33, tool_torque, -0.011, 0.18, 0.071, tool_momentum, -0.012, 0.171, 0.071, robot_mode, normal, 
05/04/2022 15:23:43:911, robot_pos_w_timestamp, 1649168533194, 606.66, 309.05, 178.01, 2.24, 0.08, 3.03, tool_force, 0.14, 0.37, 0.28, actual_rep, 1, curr_step, 5, track_size, 84, robot_vel, 48.99, joints_pos, 28.45, 59.62, -1.64, -67.17, -2.26, 46.23, 80.33, tool_torque, 0.086, 0.245, 0.038, tool_momentum, 0.083, 0.26, 0.038, robot_mode, normal, 
05/04/2022 15:23:44:060, robot_pos_w_timestamp, 1649168533346, 609.84, 303.19, 179.36, 2.24, 0.08, 3.03, tool_force, 0.81, 0.57, -0.02, actual_rep, 1, curr_step, 6, track_size, 84, robot_vel, 43.84, joints_pos, 28.1, 59.49, -1.94, -67.21, -2.25, 46.18, 80.34, tool_torque, 0.175, 0.05, 0.076, tool_momentum, 0.172, 0.069, 0.075, robot_mode, normal, 
05/04/2022 15:23:44:214, robot_pos_w_timestamp, 1649168533492, 612.87, 297.49, 180.96, 2.23, 0.08, 3.03, tool_force, 0.37, 0.78, 0.49, actual_rep, 1, curr_step, 7, track_size, 84, robot_vel, 42.99, joints_pos, 27.75, 59.35, -2.22, -67.24, -2.22, 46.18, 80.34, tool_torque, 0.176, 0.067, 0.087, tool_momentum, 0.18, 0.048, 0.089, robot_mode, normal, 
05/04/2022 15:23:44:367, robot_pos_w_timestamp, 1649168533643, 615.76, 291.68, 182.81, 2.22, 0.09, 3.03, tool_force, 0.47, 0.76, 0.1, actual_rep, 1, curr_step, 8, track_size, 84, robot_vel, 43.05, joints_pos, 27.37, 59.16, -2.45, -67.31, -2.2, 46.18, 80.33, tool_torque, 0.181, 0.083, 0.12, tool_momentum, 0.214, 0.024, 0.121, robot_mode, normal, 
05/04/2022 15:23:44:518, robot_pos_w_timestamp, 1649168533793, 618.52, 285.75, 184.75, 2.21, 0.09, 3.03, tool_force, 1.03, 1.1, 0.61, actual_rep, 1, curr_step, 9, track_size, 84, robot_vel, 45.21, joints_pos, 26.94, 58.96, -2.63, -67.41, -2.17, 46.18, 80.32, tool_torque, 0.224, -0.047, 0.15, tool_momentum, 0.221, -0.042, 0.15, robot_mode, normal, 
05/04/2022 15:23:44:671, robot_pos_w_timestamp, 1649168533942, 620.75, 280.03, 186.51, 2.2, 0.09, 3.02, tool_force, 0.77, 0.94, 0.23, actual_rep, 1, curr_step, 9, track_size, 84, robot_vel, 45.13, joints_pos, 26.52, 58.74, -2.75, -67.56, -2.18, 46.18, 80.31, tool_torque, 0.205, 0.067, 0.144, tool_momentum, 0.205, 0.067, 0.145, robot_mode, normal, 
05/04/2022 15:23:44:817, robot_pos_w_timestamp, 1649168534091, 622.78, 274.15, 188.13, 2.19, 0.09, 3.02, tool_force, 0.56, 0.85, 0.21, actual_rep, 1, curr_step, 10, track_size, 84, robot_vel, 45.42, joints_pos, 26.1, 58.52, -2.89, -67.74, -2.18, 46.18, 80.31, tool_torque, 0.207, 0.018, 0.156, tool_momentum, 0.215, 0.0, 0.159, robot_mode, normal, 
05/04/2022 15:23:44:970, robot_pos_w_timestamp, 1649168534240, 624.67, 268.4, 189.74, 2.18, 0.1, 3.02, tool_force, 0.94, 1.02, 0.44, actual_rep, 1, curr_step, 11, track_size, 84, robot_vel, 41.18, joints_pos, 25.71, 58.29, -3.05, -67.93, -2.18, 46.18, 80.31, tool_torque, 0.233, -0.031, 0.14, tool_momentum, 0.234, -0.028, 0.14, robot_mode, normal, 
05/04/2022 15:23:45:121, robot_pos_w_timestamp, 1649168534389, 626.24, 262.63, 191.18, 2.17, 0.1, 3.02, tool_force, 1.2, 0.99, 0.15, actual_rep, 1, curr_step, 11, track_size, 84, robot_vel, 40.29, joints_pos, 25.31, 58.06, -3.18, -68.15, -2.18, 46.18, 80.31, tool_torque, 0.196, 0.032, 0.121, tool_momentum, 0.184, 0.089, 0.114, robot_mode, normal, 
05/04/2022 15:23:45:272, robot_pos_w_timestamp, 1649168534538, 627.61, 256.83, 192.47, 2.17, 0.1, 3.03, tool_force, 0.37, 1.01, 0.63, actual_rep, 1, curr_step, 12, track_size, 84, robot_vel, 41.31, joints_pos, 24.88, 57.83, -3.28, -68.41, -2.18, 46.18, 80.31, tool_torque, 0.177, 0.204, 0.117, tool_momentum, 0.176, 0.185, 0.117, robot_mode, normal, 
05/04/2022 15:23:45:442, robot_pos_w_timestamp, 1649168534702, 628.98, 250.38, 193.77, 2.16, 0.1, 3.03, tool_force, 1.34, 0.96, 0.1, actual_rep, 1, curr_step, 13, track_size, 84, robot_vel, 39.73, joints_pos, 24.44, 57.59, -3.43, -68.69, -2.18, 46.19, 80.31, tool_torque, 0.144, 0.013, 0.131, tool_momentum, 0.136, 0.04, 0.131, robot_mode, normal, 
05/04/2022 15:23:45:578, robot_pos_w_timestamp, 1649168534836, 629.82, 245.19, 194.69, 2.15, 0.1, 3.03, tool_force, 0.88, 0.84, 0.55, actual_rep, 1, curr_step, 13, track_size, 84, robot_vel, 39.18, joints_pos, 24.1, 57.39, -3.56, -68.94, -2.18, 46.21, 80.31, tool_torque, 0.131, -0.085, 0.143, tool_momentum, 0.138, -0.096, 0.143, robot_mode, normal, 
05/04/2022 15:23:45:724, robot_pos_w_timestamp, 1649168534983, 630.65, 239.44, 195.63, 2.14, 0.1, 3.03, tool_force, 0.41, 0.71, 0.18, actual_rep, 1, curr_step, 14, track_size, 84, robot_vel, 39.18, joints_pos, 23.73, 57.17, -3.68, -69.23, -2.19, 46.22, 80.31, tool_torque, 0.132, 0.053, 0.123, tool_momentum, 0.142, 0.05, 0.123, robot_mode, normal, 
05/04/2022 15:23:45:874, robot_pos_w_timestamp, 1649168535135, 631.26, 233.57, 196.43, 2.13, 0.11, 3.03, tool_force, 1.37, 0.94, 0.27, actual_rep, 1, curr_step, 14, track_size, 84, robot_vel, 41.16, joints_pos, 23.33, 56.94, -3.78, -69.56, -2.19, 46.22, 80.31, tool_torque, 0.154, -0.049, 0.138, tool_momentum, 0.15, -0.032, 0.135, robot_mode, normal, 
