05/04/2022 15:37:14: File Created!
05/04/2022 15:37:14:174, robot_pos_w_timestamp, 1649169343288, 580.88, 303.88, 199.95, 2.3, 0.03, 3.02, tool_force, -0.44, -0.26, 0.01, actual_rep, 1, curr_step, 1, track_size, 84, robot_vel, 0.02, joints_pos, 26.76, 54.5, 1.44, -73.72, -1.75, 44.67, 76.71, tool_torque, 0.073, 0.265, 0.033, tool_momentum, 0.073, 0.265, 0.033, robot_mode, normal, 
05/04/2022 15:37:14:263, robot_pos_w_timestamp, 1649169343413, 580.89, 303.88, 199.97, 2.3, 0.03, 3.02, tool_force, -0.45, -0.34, 0.05, actual_rep, 1, curr_step, 1, track_size, 84, robot_vel, 0.02, joints_pos, 26.76, 54.49, 1.44, -73.72, -1.75, 44.67, 76.71, tool_torque, 0.049, 0.277, 0.0090, tool_momentum, 0.048, 0.278, 0.0090, robot_mode, normal, 
05/04/2022 15:37:14:464, robot_pos_w_timestamp, 1649169343569, 581.39, 302.99, 199.99, 2.3, 0.03, 3.02, tool_force, 0.83, 0.01, 0.15, actual_rep, 1, curr_step, 3, track_size, 84, robot_vel, 13.49, joints_pos, 26.74, 54.49, 1.35, -73.71, -1.82, 44.67, 76.57, tool_torque, 0.089, 0.079, 0.16, tool_momentum, 0.084, 0.08, 0.164, robot_mode, normal, 
05/04/2022 15:37:14:569, robot_pos_w_timestamp, 1649169343714, 583.83, 297.52, 199.72, 2.31, 0.04, 3.02, tool_force, 1.45, 0.63, 0.33, actual_rep, 1, curr_step, 5, track_size, 84, robot_vel, 40.61, joints_pos, 26.45, 54.49, 1.07, -73.77, -1.91, 44.67, 76.09, tool_torque, 0.185, -0.15, 0.351, tool_momentum, 0.173, -0.136, 0.349, robot_mode, normal, 
05/04/2022 15:37:14:753, robot_pos_w_timestamp, 1649169343865, 586.27, 291.55, 199.47, 2.3, 0.05, 3.03, tool_force, 1.11, 0.54, 0.23, actual_rep, 1, curr_step, 6, track_size, 84, robot_vel, 54.34, joints_pos, 26.09, 54.47, 0.81, -73.85, -2.05, 44.67, 75.91, tool_torque, 0.173, -0.084, 0.38, tool_momentum, 0.17, -0.08, 0.379, robot_mode, normal, 
05/04/2022 15:37:14:867, robot_pos_w_timestamp, 1649169344012, 588.32, 285.93, 199.27, 2.29, 0.05, 3.03, tool_force, 0.34, 0.69, 0.34, actual_rep, 1, curr_step, 7, track_size, 84, robot_vel, 40.51, joints_pos, 25.78, 54.42, 0.54, -73.97, -2.1, 44.67, 75.88, tool_torque, 0.189, 0.072, 0.343, tool_momentum, 0.198, 0.049, 0.348, robot_mode, normal, 
05/04/2022 15:37:15:172, robot_pos_w_timestamp, 1649169344310, 591.8, 274.41, 200.29, 2.28, 0.06, 3.03, tool_force, 1.24, 0.91, -0.16, actual_rep, 1, curr_step, 9, track_size, 84, robot_vel, 42.15, joints_pos, 25.2, 54.14, -0.08, -74.35, -2.1, 44.67, 75.86, tool_torque, 0.256, -0.074, 0.351, tool_momentum, 0.259, -0.079, 0.351, robot_mode, normal, 
05/04/2022 15:37:15:321, robot_pos_w_timestamp, 1649169344458, 593.0, 268.6, 201.42, 2.27, 0.06, 3.04, tool_force, 0.72, 0.49, 0.55, actual_rep, 1, curr_step, 9, track_size, 84, robot_vel, 43.66, joints_pos, 24.9, 53.9, -0.34, -74.64, -2.09, 44.72, 75.85, tool_torque, 0.095, -0.077, 0.344, tool_momentum, 0.103, -0.096, 0.348, robot_mode, normal, 
05/04/2022 15:37:15:513, robot_pos_w_timestamp, 1649169344608, 593.81, 262.81, 202.94, 2.26, 0.06, 3.04, tool_force, 1.1, 0.48, 0.49, actual_rep, 1, curr_step, 10, track_size, 84, robot_vel, 39.59, joints_pos, 24.6, 53.62, -0.6, -74.92, -2.09, 44.96, 75.85, tool_torque, 0.016, -0.175, 0.341, tool_momentum, 0.013, -0.164, 0.341, robot_mode, normal, 
05/04/2022 15:37:15:621, robot_pos_w_timestamp, 1649169344757, 594.32, 256.97, 204.52, 2.26, 0.07, 3.05, tool_force, 1.05, 0.34, 0.35, actual_rep, 1, curr_step, 11, track_size, 84, robot_vel, 42.52, joints_pos, 24.32, 53.34, -0.86, -75.2, -2.07, 45.27, 75.84, tool_torque, -0.024, -0.101, 0.337, tool_momentum, -0.022, -0.109, 0.339, robot_mode, normal, 
05/04/2022 15:37:15:774, robot_pos_w_timestamp, 1649169344909, 594.5, 251.1, 206.41, 2.25, 0.07, 3.05, tool_force, 1.0, 0.64, 0.74, actual_rep, 1, curr_step, 11, track_size, 84, robot_vel, 41.8, joints_pos, 24.02, 53.02, -1.1, -75.48, -2.06, 45.74, 75.83, tool_torque, -0.028, -0.148, 0.341, tool_momentum, -0.035, -0.144, 0.341, robot_mode, normal, 
