05/04/2022 16:08:57: File Created!
05/04/2022 16:08:57:535, robot_pos_w_timestamp, 1649171245598, 612.9, 280.95, 203.72, 2.36, -0.03, 3.07, tool_force, -0.64, -0.29, -0.03, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 2.5, joints_pos, 23.3, 57.44, 1.37, -66.97, 2.44, 52.42, 67.41, tool_torque, -0.074, 0.132, 0.265, tool_momentum, -0.073, 0.132, 0.265, robot_mode, rotation_overlay, 
05/04/2022 16:08:57:637, robot_pos_w_timestamp, 1649171245730, 612.97, 280.55, 202.77, 2.36, -0.03, 3.07, tool_force, -1.06, -1.12, -0.51, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 12.17, joints_pos, 23.26, 57.53, 1.36, -66.95, 2.44, 52.42, 67.41, tool_torque, -0.093, 0.176, 0.221, tool_momentum, -0.083, 0.169, 0.221, robot_mode, rotation_overlay, 
05/04/2022 16:08:57:790, robot_pos_w_timestamp, 1649171245880, 614.86, 274.89, 202.03, 2.35, -0.03, 3.07, tool_force, -1.26, 0.61, 0.81, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 57.51, joints_pos, 22.92, 57.54, 1.15, -67.04, 2.31, 52.44, 67.28, tool_torque, 0.023, 0.23, 0.268, tool_momentum, 0.033, 0.209, 0.268, robot_mode, rotation_overlay, 
05/04/2022 16:08:57:939, robot_pos_w_timestamp, 1649171246031, 615.87, 269.16, 201.55, 2.35, -0.02, 3.08, tool_force, -0.47, 0.13, -0.25, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 47.23, joints_pos, 22.58, 57.45, 1.05, -67.3, 1.82, 52.44, 67.49, tool_torque, -0.082, 0.233, 0.023, tool_momentum, -0.078, 0.233, 0.023, robot_mode, rotation_overlay, 
05/04/2022 16:08:58:090, robot_pos_w_timestamp, 1649171246183, 616.86, 263.3, 200.94, 2.34, -0.01, 3.09, tool_force, -0.27, 0.52, 0.16, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 39.18, joints_pos, 22.19, 57.38, 1.01, -67.53, 1.33, 52.5, 67.65, tool_torque, -0.074, 0.197, 0.047, tool_momentum, -0.083, 0.197, 0.05, robot_mode, rotation_overlay, 
05/04/2022 16:08:58:246, robot_pos_w_timestamp, 1649171246336, 617.71, 257.52, 200.34, 2.34, -0.01, 3.09, tool_force, -0.34, 0.62, 0.44, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 28.63, joints_pos, 21.72, 57.32, 1.04, -67.75, 1.01, 52.6, 67.53, tool_torque, 0.0030, 0.013, 0.287, tool_momentum, -0.0050, 0.021, 0.289, robot_mode, rotation_overlay, 
05/04/2022 16:08:58:398, robot_pos_w_timestamp, 1649171246484, 618.57, 251.83, 199.85, 2.34, -0.01, 3.1, tool_force, -0.15, 1.11, 0.39, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 40.02, joints_pos, 21.27, 57.24, 1.07, -68.0, 0.71, 52.6, 67.45, tool_torque, 0.164, -0.026, 0.333, tool_momentum, 0.153, -0.031, 0.333, robot_mode, rotation_overlay, 
05/04/2022 16:08:58:578, robot_pos_w_timestamp, 1649171246634, 619.1, 246.08, 199.27, 2.33, -0.01, 3.1, tool_force, -0.09, 1.16, -0.02, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 37.04, joints_pos, 20.84, 57.08, 1.06, -68.43, 0.39, 52.34, 67.44, tool_torque, 0.27, -0.06, 0.331, tool_momentum, 0.272, -0.05, 0.329, robot_mode, rotation_overlay, 
05/04/2022 16:08:58:692, robot_pos_w_timestamp, 1649171246783, 619.47, 240.25, 198.82, 2.33, 0.0, 3.1, tool_force, -0.04, 1.05, 0.19, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 36.86, joints_pos, 20.4, 56.93, 1.06, -68.81, 0.15, 52.22, 67.41, tool_torque, 0.21, 0.0050, 0.333, tool_momentum, 0.204, -0.0010, 0.334, robot_mode, rotation_overlay, 
05/04/2022 16:08:58:845, robot_pos_w_timestamp, 1649171246933, 619.88, 234.56, 198.41, 2.32, 0.0, 3.11, tool_force, 0.18, 1.21, 0.15, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 38.1, joints_pos, 19.95, 56.81, 1.07, -69.12, -0.05, 52.22, 67.36, tool_torque, 0.252, -0.061, 0.351, tool_momentum, 0.246, -0.057, 0.351, robot_mode, rotation_overlay, 
05/04/2022 16:08:59:024, robot_pos_w_timestamp, 1649171247084, 620.05, 227.8, 198.07, 2.32, 0.0, 3.11, tool_force, -0.09, 1.03, 0.1, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 42.1, joints_pos, 19.41, 56.63, 1.08, -69.54, -0.23, 52.22, 67.27, tool_torque, 0.183, -0.031, 0.349, tool_momentum, 0.18, -0.032, 0.349, robot_mode, rotation_overlay, 
05/04/2022 16:08:59:185, robot_pos_w_timestamp, 1649171247235, 620.13, 222.9, 197.88, 2.31, 0.0, 3.11, tool_force, -0.02, 0.77, -0.01, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 41.94, joints_pos, 19.02, 56.5, 1.08, -69.83, -0.37, 52.26, 67.2, tool_torque, 0.129, -0.077, 0.344, tool_momentum, 0.122, -0.059, 0.344, robot_mode, rotation_overlay, 
05/04/2022 16:08:59:298, robot_pos_w_timestamp, 1649171247386, 620.13, 217.07, 197.83, 2.31, 0.0, 3.12, tool_force, -0.06, 0.95, 0.44, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 34.83, joints_pos, 18.59, 56.33, 1.07, -70.19, -0.64, 52.3, 67.18, tool_torque, 0.135, -0.036, 0.243, tool_momentum, 0.142, -0.046, 0.242, robot_mode, rotation_overlay, 
05/04/2022 16:08:59:463, robot_pos_w_timestamp, 1649171247551, 619.9, 210.68, 197.76, 2.31, 0.01, 3.12, tool_force, -0.57, 0.87, -0.07, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 37.05, joints_pos, 18.14, 56.1, 1.05, -70.67, -1.0, 52.24, 67.25, tool_torque, 0.097, 0.268, 0.1, tool_momentum, 0.081, 0.252, 0.1, robot_mode, rotation_overlay, 
05/04/2022 16:08:59:615, robot_pos_w_timestamp, 1649171247690, 619.78, 204.97, 197.74, 2.3, 0.01, 3.13, tool_force, 0.37, 1.32, -0.02, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 40.14, joints_pos, 17.73, 55.92, 1.04, -71.04, -1.36, 52.24, 67.34, tool_torque, 0.22, 0.0010, 0.101, tool_momentum, 0.226, 0.0060, 0.099, robot_mode, rotation_overlay, 
