05/04/2022 16:09:37: File Created!
05/04/2022 16:09:37:462, robot_pos_w_timestamp, 1649171285390, 612.88, 280.95, 203.72, 2.36, -0.03, 3.07, tool_force, -1.08, -0.53, 0.07, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 38.31, joints_pos, 23.12, 57.44, 1.68, -66.97, 2.11, 52.42, 67.6, tool_torque, -0.173, 0.292, 0.016, tool_momentum, -0.173, 0.292, 0.016, robot_mode, normal, 
05/04/2022 16:09:37:564, robot_pos_w_timestamp, 1649171285522, 613.39, 279.6, 202.6, 2.36, -0.03, 3.07, tool_force, 1.09, 1.06, 0.97, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 18.34, joints_pos, 23.0, 57.56, 1.64, -66.94, 2.11, 52.42, 67.52, tool_torque, 0.13, -0.114, 0.168, tool_momentum, 0.157, -0.17, 0.186, robot_mode, normal, 
05/04/2022 16:09:37:707, robot_pos_w_timestamp, 1649171285672, 615.09, 273.66, 201.89, 2.35, -0.03, 3.08, tool_force, -0.3, 0.31, -0.07, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 34.24, joints_pos, 22.65, 57.53, 1.47, -67.09, 1.88, 52.43, 67.46, tool_torque, 0.0070, 0.07, 0.217, tool_momentum, 0.015, 0.073, 0.214, robot_mode, normal, 
05/04/2022 16:09:37:930, robot_pos_w_timestamp, 1649171285825, 616.07, 265.32, 201.17, 2.35, -0.02, 3.08, tool_force, -0.63, 0.59, 0.36, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 35.66, joints_pos, 22.18, 57.4, 1.29, -67.46, 1.16, 52.46, 67.82, tool_torque, -0.072, 0.258, -0.0030, tool_momentum, -0.068, 0.235, -0.0050, robot_mode, normal, 
05/04/2022 16:09:38:014, robot_pos_w_timestamp, 1649171285972, 617.04, 262.02, 200.83, 2.34, -0.01, 3.09, tool_force, 0.61, 1.02, 0.42, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 40.04, joints_pos, 21.95, 57.37, 1.28, -67.59, 0.92, 52.52, 67.87, tool_torque, -0.031, 0.112, 0.081, tool_momentum, -0.035, 0.115, 0.083, robot_mode, normal, 
05/04/2022 16:09:38:163, robot_pos_w_timestamp, 1649171286124, 617.95, 256.16, 200.19, 2.34, -0.01, 3.09, tool_force, -0.25, 0.71, 0.45, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 40.49, joints_pos, 21.46, 57.31, 1.31, -67.8, 0.64, 52.62, 67.68, tool_torque, 0.02, -0.045, 0.352, tool_momentum, 0.018, -0.05, 0.353, robot_mode, normal, 
05/04/2022 16:09:38:322, robot_pos_w_timestamp, 1649171286281, 618.83, 250.17, 199.68, 2.34, -0.01, 3.1, tool_force, -0.19, 0.7, -0.25, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 38.34, joints_pos, 20.99, 57.21, 1.35, -68.1, 0.3, 52.54, 67.64, tool_torque, 0.175, -0.058, 0.343, tool_momentum, 0.197, -0.061, 0.344, robot_mode, normal, 
05/04/2022 16:09:38:501, robot_pos_w_timestamp, 1649171286424, 619.22, 244.57, 199.15, 2.33, 0.0, 3.1, tool_force, 0.21, 1.45, 0.41, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 38.77, joints_pos, 20.57, 57.05, 1.35, -68.52, -0.01, 52.29, 67.64, tool_torque, 0.31, -0.086, 0.382, tool_momentum, 0.307, -0.081, 0.382, robot_mode, normal, 
05/04/2022 16:09:38:621, robot_pos_w_timestamp, 1649171286577, 619.58, 238.6, 198.76, 2.33, 0.0, 3.1, tool_force, 0.05, 1.09, -0.05, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 41.37, joints_pos, 20.1, 56.89, 1.35, -68.9, -0.22, 52.23, 67.59, tool_torque, 0.243, -0.06, 0.402, tool_momentum, 0.247, -0.065, 0.402, robot_mode, normal, 
05/04/2022 16:09:38:765, robot_pos_w_timestamp, 1649171286723, 619.97, 233.05, 198.32, 2.32, 0.0, 3.11, tool_force, 0.15, 1.45, 0.09, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 38.6, joints_pos, 19.67, 56.78, 1.35, -69.2, -0.41, 52.23, 67.54, tool_torque, 0.27, -0.084, 0.411, tool_momentum, 0.262, -0.082, 0.411, robot_mode, normal, 
05/04/2022 16:09:38:915, robot_pos_w_timestamp, 1649171286871, 620.07, 227.33, 198.06, 2.32, 0.0, 3.11, tool_force, 0.1, 0.94, 0.03, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 41.89, joints_pos, 19.21, 56.62, 1.36, -69.57, -0.57, 52.23, 67.47, tool_torque, 0.222, -0.115, 0.412, tool_momentum, 0.212, -0.101, 0.412, robot_mode, normal, 
