05/04/2022 16:13:10: File Created!
05/04/2022 16:13:10:494, robot_pos_w_timestamp, 1649171498905, 612.9, 280.96, 203.72, 2.36, -0.03, 3.07, tool_force, -0.91, -0.16, -0.16, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 36.9, joints_pos, 23.74, 57.43, 0.56, -66.97, 3.3, 52.43, 66.93, tool_torque, 0.021, 0.24, 0.23, tool_momentum, 0.021, 0.24, 0.23, robot_mode, normal, 
05/04/2022 16:13:10:631, robot_pos_w_timestamp, 1649171499057, 613.41, 279.85, 202.5, 2.36, -0.03, 3.07, tool_force, 1.05, 0.94, 0.18, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 9.31, joints_pos, 23.65, 57.54, 0.53, -66.96, 3.3, 52.34, 66.9, tool_torque, 0.226, -0.185, 0.302, tool_momentum, 0.229, -0.18, 0.302, robot_mode, normal, 
05/04/2022 16:13:10:780, robot_pos_w_timestamp, 1649171499189, 614.99, 274.54, 202.08, 2.35, -0.03, 3.07, tool_force, 0.11, 0.91, 0.29, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 52.08, joints_pos, 23.34, 57.53, 0.34, -67.05, 3.14, 52.46, 66.81, tool_torque, 0.109, -0.028, 0.277, tool_momentum, 0.025, -0.0090, 0.274, robot_mode, normal, 
05/04/2022 16:13:10:937, robot_pos_w_timestamp, 1649171499346, 615.99, 268.27, 201.46, 2.35, -0.02, 3.08, tool_force, -0.06, 0.57, 0.15, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 32.32, joints_pos, 23.01, 57.44, 0.17, -67.33, 2.65, 52.47, 67.02, tool_torque, -0.02, 0.109, 0.042, tool_momentum, -0.028, 0.106, 0.041, robot_mode, normal, 
05/04/2022 16:13:11:073, robot_pos_w_timestamp, 1649171499492, 616.87, 263.04, 200.94, 2.34, -0.01, 3.09, tool_force, -0.3, 0.39, -0.04, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 38.82, joints_pos, 22.67, 57.38, 0.1, -67.53, 2.26, 52.55, 67.13, tool_torque, -0.025, 0.094, 0.059, tool_momentum, -0.022, 0.101, 0.059, robot_mode, normal, 
05/04/2022 16:13:11:239, robot_pos_w_timestamp, 1649171499651, 617.8, 257.02, 200.29, 2.34, -0.01, 3.09, tool_force, -0.04, 0.73, 0.29, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 39.65, joints_pos, 22.2, 57.32, 0.12, -67.75, 1.95, 52.65, 66.98, tool_torque, 0.057, -0.157, 0.312, tool_momentum, 0.092, -0.156, 0.313, robot_mode, normal, 
05/04/2022 16:13:11:362, robot_pos_w_timestamp, 1649171499793, 618.57, 251.63, 199.81, 2.34, -0.01, 3.1, tool_force, 0.15, 1.28, 0.46, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 37.46, joints_pos, 21.77, 57.24, 0.15, -68.0, 1.65, 52.64, 66.93, tool_torque, 0.198, -0.101, 0.336, tool_momentum, 0.192, -0.099, 0.336, robot_mode, normal, 
05/04/2022 16:13:11:515, robot_pos_w_timestamp, 1649171499945, 619.2, 245.87, 199.25, 2.33, 0.0, 3.1, tool_force, 0.32, 1.38, -0.13, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 41.39, joints_pos, 21.33, 57.07, 0.16, -68.44, 1.32, 52.32, 66.91, tool_torque, 0.338, -0.149, 0.37, tool_momentum, 0.326, -0.136, 0.37, robot_mode, normal, 
05/04/2022 16:13:11:665, robot_pos_w_timestamp, 1649171500096, 619.46, 240.01, 198.83, 2.33, 0.0, 3.1, tool_force, 0.14, 1.18, 0.11, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 38.52, joints_pos, 20.89, 56.91, 0.16, -68.83, 1.09, 52.23, 66.89, tool_torque, 0.272, -0.095, 0.381, tool_momentum, 0.277, -0.105, 0.381, robot_mode, normal, 
05/04/2022 16:13:11:817, robot_pos_w_timestamp, 1649171500251, 619.91, 234.11, 198.38, 2.32, 0.0, 3.11, tool_force, 0.14, 1.18, 0.18, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.1, joints_pos, 20.42, 56.8, 0.17, -69.14, 0.86, 52.23, 66.85, tool_torque, 0.278, -0.107, 0.4, tool_momentum, 0.29, -0.11, 0.401, robot_mode, normal, 
05/04/2022 16:13:11:973, robot_pos_w_timestamp, 1649171500402, 620.06, 228.33, 198.1, 2.32, 0.0, 3.11, tool_force, 0.26, 1.26, 0.19, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 37.74, joints_pos, 19.96, 56.64, 0.19, -69.5, 0.69, 52.23, 66.78, tool_torque, 0.275, -0.22, 0.443, tool_momentum, 0.285, -0.224, 0.443, robot_mode, normal, 
