06/04/2022 11:49:58: File Created!
06/04/2022 11:49:58:951, robot_pos_w_timestamp, 1649242108877, 577.13, 306.72, 232.29, 2.34, 0.02, 3.07, tool_force, -0.93, 0.05, 0.38, actual_rep, 1, curr_step, 1, track_size, 78, robot_vel, 0.0, joints_pos, 37.32, 53.09, -15.94, -72.72, 16.43, 51.97, 64.06, tool_torque, -0.027, 0.056, 0.085, tool_momentum, -0.025, 0.054, 0.085, robot_mode, normal, 
06/04/2022 11:49:59:079, robot_pos_w_timestamp, 1649242109017, 577.16, 306.66, 231.44, 2.34, 0.02, 3.07, tool_force, -0.85, 0.52, 0.83, actual_rep, 1, curr_step, 1, track_size, 78, robot_vel, 0.0, joints_pos, 37.32, 53.18, -15.94, -72.69, 16.43, 51.96, 64.06, tool_torque, 0.141, 0.143, 0.077, tool_momentum, 0.143, 0.148, 0.077, robot_mode, normal, 
06/04/2022 11:49:59:257, robot_pos_w_timestamp, 1649242109172, 578.86, 304.15, 231.47, 2.34, 0.02, 3.07, tool_force, 0.17, -0.26, 0.09, actual_rep, 1, curr_step, 3, track_size, 78, robot_vel, 34.28, joints_pos, 37.27, 53.25, -16.26, -72.64, 16.34, 51.95, 64.07, tool_torque, -0.011, -0.075, 0.112, tool_momentum, 0.0070, -0.102, 0.112, robot_mode, normal, 
06/04/2022 11:49:59:370, robot_pos_w_timestamp, 1649242109319, 580.62, 298.62, 231.19, 2.34, 0.03, 3.07, tool_force, 1.23, 0.31, 0.04, actual_rep, 1, curr_step, 4, track_size, 78, robot_vel, 36.86, joints_pos, 37.12, 53.24, -16.63, -72.81, 16.02, 51.95, 63.97, tool_torque, 0.147, -0.246, 0.238, tool_momentum, 0.149, -0.235, 0.238, robot_mode, normal, 
06/04/2022 11:49:59:713, robot_pos_w_timestamp, 1649242109622, 582.4, 286.98, 229.48, 2.33, 0.05, 3.09, tool_force, 0.94, 0.33, -0.1, actual_rep, 1, curr_step, 6, track_size, 78, robot_vel, 41.39, joints_pos, 36.85, 53.19, -17.39, -73.43, 15.45, 51.94, 63.96, tool_torque, 0.155, -0.29, 0.281, tool_momentum, 0.162, -0.276, 0.28, robot_mode, normal, 
06/04/2022 11:49:59:824, robot_pos_w_timestamp, 1649242109773, 582.63, 281.22, 228.22, 2.32, 0.05, 3.1, tool_force, 0.95, 0.76, 0.3, actual_rep, 1, curr_step, 7, track_size, 78, robot_vel, 40.65, joints_pos, 36.74, 53.16, -17.77, -73.83, 15.24, 51.94, 63.94, tool_torque, 0.206, -0.28, 0.304, tool_momentum, 0.212, -0.288, 0.304, robot_mode, normal, 
06/04/2022 11:50:00:015, robot_pos_w_timestamp, 1649242109924, 582.64, 275.45, 226.9, 2.32, 0.06, 3.1, tool_force, 0.99, 0.75, 0.39, actual_rep, 1, curr_step, 8, track_size, 78, robot_vel, 36.83, joints_pos, 36.61, 53.12, -18.11, -74.25, 15.04, 51.94, 63.88, tool_torque, 0.216, -0.296, 0.336, tool_momentum, 0.212, -0.298, 0.336, robot_mode, normal, 
06/04/2022 11:50:00:126, robot_pos_w_timestamp, 1649242110077, 582.32, 269.6, 225.61, 2.32, 0.06, 3.11, tool_force, 1.46, 1.14, 0.29, actual_rep, 1, curr_step, 8, track_size, 78, robot_vel, 42.41, joints_pos, 36.49, 53.05, -18.44, -74.71, 14.84, 51.94, 63.78, tool_torque, 0.278, -0.382, 0.375, tool_momentum, 0.265, -0.375, 0.374, robot_mode, normal, 
06/04/2022 11:50:00:318, robot_pos_w_timestamp, 1649242110226, 581.99, 263.88, 224.47, 2.31, 0.07, 3.12, tool_force, 1.22, 1.15, 0.15, actual_rep, 1, curr_step, 9, track_size, 78, robot_vel, 34.03, joints_pos, 36.35, 52.98, -18.75, -75.18, 14.66, 51.94, 63.64, tool_torque, 0.25, -0.377, 0.373, tool_momentum, 0.25, -0.384, 0.373, robot_mode, normal, 
06/04/2022 11:50:00:430, robot_pos_w_timestamp, 1649242110379, 581.49, 258.01, 223.49, 2.31, 0.07, 3.13, tool_force, 1.06, 0.78, -0.22, actual_rep, 1, curr_step, 10, track_size, 78, robot_vel, 36.64, joints_pos, 36.21, 52.88, -19.05, -75.66, 14.46, 51.94, 63.5, tool_torque, 0.249, -0.365, 0.376, tool_momentum, 0.25, -0.375, 0.377, robot_mode, normal, 
06/04/2022 11:50:00:610, robot_pos_w_timestamp, 1649242110529, 580.92, 252.25, 222.76, 2.31, 0.08, 3.14, tool_force, 1.01, 1.09, 0.25, actual_rep, 1, curr_step, 10, track_size, 78, robot_vel, 41.33, joints_pos, 36.06, 52.74, -19.35, -76.17, 14.28, 51.94, 63.34, tool_torque, 0.271, -0.329, 0.397, tool_momentum, 0.275, -0.337, 0.399, robot_mode, normal, 
06/04/2022 11:50:00:731, robot_pos_w_timestamp, 1649242110681, 580.39, 246.45, 222.35, 2.3, 0.08, -3.14, tool_force, 1.43, 1.05, 0.11, actual_rep, 1, curr_step, 11, track_size, 78, robot_vel, 38.16, joints_pos, 35.91, 52.59, -19.64, -76.66, 14.1, 51.92, 63.14, tool_torque, 0.279, -0.403, 0.411, tool_momentum, 0.28, -0.401, 0.411, robot_mode, normal, 
06/04/2022 11:50:00:888, robot_pos_w_timestamp, 1649242110833, 579.64, 240.51, 222.05, 2.3, 0.08, -3.13, tool_force, 1.12, 1.14, -0.06, actual_rep, 1, curr_step, 12, track_size, 78, robot_vel, 35.78, joints_pos, 35.74, 52.39, -19.93, -77.23, 13.91, 51.89, 62.92, tool_torque, 0.335, -0.346, 0.397, tool_momentum, 0.337, -0.345, 0.397, robot_mode, rotation_overlay, 
06/04/2022 11:50:01:068, robot_pos_w_timestamp, 1649242110982, 579.15, 238.11, 221.94, 2.3, 0.09, -3.13, tool_force, 1.69, 0.95, -0.28, actual_rep, 1, curr_step, 12, track_size, 78, robot_vel, 13.24, joints_pos, 35.67, 52.29, -19.98, -77.46, 13.83, 51.83, 62.85, tool_torque, 0.367, -0.678, 0.425, tool_momentum, 0.441, -0.742, 0.429, robot_mode, rotation_overlay, 
06/04/2022 11:50:01:223, robot_pos_w_timestamp, 1649242111120, 579.14, 237.47, 221.03, 2.31, 0.09, -3.13, tool_force, 2.15, 1.26, 0.16, actual_rep, 1, curr_step, 12, track_size, 78, robot_vel, 14.63, joints_pos, 35.66, 52.38, -20.03, -77.47, 13.77, 51.83, 62.42, tool_torque, 0.358, -0.568, 0.437, tool_momentum, 0.361, -0.564, 0.437, robot_mode, rotation_overlay, 
06/04/2022 11:50:01:336, robot_pos_w_timestamp, 1649242111271, 579.14, 235.58, 221.26, 2.35, 0.09, -3.12, tool_force, 1.14, 1.38, 0.38, actual_rep, 1, curr_step, 12, track_size, 78, robot_vel, 10.64, joints_pos, 35.59, 52.31, -20.1, -77.6, 13.64, 51.87, 60.13, tool_torque, 0.33, -0.393, 0.429, tool_momentum, 0.326, -0.387, 0.429, robot_mode, rotation_overlay, 
06/04/2022 11:50:01:526, robot_pos_w_timestamp, 1649242111421, 579.0, 233.05, 221.68, 2.42, 0.09, -3.12, tool_force, 1.2, 1.18, -0.57, actual_rep, 1, curr_step, 13, track_size, 78, robot_vel, 16.36, joints_pos, 35.42, 52.11, -20.07, -77.91, 13.51, 51.6, 55.77, tool_torque, 0.478, -0.387, 0.472, tool_momentum, 0.481, -0.383, 0.472, robot_mode, rotation_overlay, 
06/04/2022 11:50:01:636, robot_pos_w_timestamp, 1649242111571, 578.86, 231.15, 221.95, 2.46, 0.09, -3.11, tool_force, 0.9, 1.49, -0.07, actual_rep, 1, curr_step, 13, track_size, 78, robot_vel, 14.47, joints_pos, 35.32, 51.99, -20.09, -78.11, 13.43, 51.49, 53.53, tool_torque, 0.504, -0.308, 0.441, tool_momentum, 0.499, -0.304, 0.44, robot_mode, rotation_overlay, 
06/04/2022 11:50:01:828, robot_pos_w_timestamp, 1649242111722, 578.7, 229.14, 222.2, 2.47, 0.09, -3.11, tool_force, 0.74, 1.34, 0.12, actual_rep, 1, curr_step, 13, track_size, 78, robot_vel, 12.38, joints_pos, 35.29, 51.91, -20.22, -78.28, 13.37, 51.48, 52.66, tool_torque, 0.356, -0.251, 0.392, tool_momentum, 0.339, -0.242, 0.391, robot_mode, rotation_overlay, 
06/04/2022 11:50:01:938, robot_pos_w_timestamp, 1649242111858, 578.67, 228.98, 221.7, 2.47, 0.09, -3.11, tool_force, 0.58, 0.98, 0.03, actual_rep, 1, curr_step, 13, track_size, 78, robot_vel, 7.7, joints_pos, 35.29, 51.94, -20.25, -78.33, 13.45, 51.35, 52.8, tool_torque, 0.313, -0.118, 0.175, tool_momentum, 0.319, -0.124, 0.174, robot_mode, rotation_overlay, 
06/04/2022 11:50:02:133, robot_pos_w_timestamp, 1649242112010, 578.82, 227.59, 221.58, 2.44, 0.09, -3.12, tool_force, -0.63, 0.67, -0.24, actual_rep, 1, curr_step, 13, track_size, 78, robot_vel, 7.52, joints_pos, 35.31, 51.91, -20.47, -78.49, 13.76, 51.17, 54.46, tool_torque, 0.198, 0.155, -0.057, tool_momentum, 0.212, 0.148, -0.055, robot_mode, rotation_overlay, 
06/04/2022 11:50:02:246, robot_pos_w_timestamp, 1649242112163, 578.64, 226.13, 221.68, 2.37, 0.09, -3.12, tool_force, -0.63, 0.65, 0.13, actual_rep, 1, curr_step, 13, track_size, 78, robot_vel, 8.51, joints_pos, 35.39, 51.87, -20.73, -78.65, 13.96, 51.11, 58.18, tool_torque, 0.118, 0.175, -0.061, tool_momentum, 0.109, 0.18, -0.061, robot_mode, rotation_overlay, 
06/04/2022 11:50:02:435, robot_pos_w_timestamp, 1649242112314, 578.41, 224.72, 222.07, 2.27, 0.09, -3.13, tool_force, -0.19, 0.39, 0.42, actual_rep, 1, curr_step, 14, track_size, 78, robot_vel, 9.43, joints_pos, 35.48, 51.85, -21.01, -78.71, 14.06, 51.35, 63.55, tool_torque, -0.071, 0.166, -0.106, tool_momentum, -0.068, 0.168, -0.106, robot_mode, rotation_overlay, 
06/04/2022 11:50:02:547, robot_pos_w_timestamp, 1649242112465, 578.34, 223.38, 222.19, 2.19, 0.1, -3.13, tool_force, -0.51, 0.6, 0.76, actual_rep, 1, curr_step, 14, track_size, 78, robot_vel, 8.28, joints_pos, 35.49, 51.85, -21.18, -78.76, 14.06, 51.49, 68.14, tool_torque, -0.046, 0.178, -0.115, tool_momentum, -0.043, 0.174, -0.114, robot_mode, rotation_overlay, 
06/04/2022 11:50:02:739, robot_pos_w_timestamp, 1649242112623, 578.14, 221.92, 222.55, 2.14, 0.1, -3.14, tool_force, 0.0, 0.73, 0.33, actual_rep, 1, curr_step, 14, track_size, 78, robot_vel, 9.18, joints_pos, 35.47, 51.75, -21.26, -78.93, 13.98, 51.42, 70.89, tool_torque, 0.102, 0.11, -0.086, tool_momentum, 0.103, 0.11, -0.086, robot_mode, rotation_overlay, 
06/04/2022 11:50:02:852, robot_pos_w_timestamp, 1649242112765, 577.94, 220.72, 222.85, 2.12, 0.1, -3.14, tool_force, 1.05, 0.94, 0.09, actual_rep, 1, curr_step, 14, track_size, 78, robot_vel, 8.76, joints_pos, 35.42, 51.6, -21.25, -79.16, 13.88, 51.12, 71.56, tool_torque, 0.259, -0.144, 0.0090, tool_momentum, 0.256, -0.133, 0.0090, robot_mode, rotation_overlay, 
06/04/2022 11:50:03:049, robot_pos_w_timestamp, 1649242112900, 577.42, 220.44, 222.53, 2.13, 0.1, -3.14, tool_force, 0.82, 1.16, 0.42, actual_rep, 1, curr_step, 14, track_size, 78, robot_vel, 8.96, joints_pos, 35.4, 51.58, -21.2, -79.26, 13.81, 51.1, 71.49, tool_torque, 0.267, -0.3, 0.201, tool_momentum, 0.253, -0.295, 0.203, robot_mode, rotation_overlay, 
06/04/2022 11:50:03:149, robot_pos_w_timestamp, 1649242113052, 577.59, 219.34, 222.23, 2.16, 0.1, -3.13, tool_force, 1.83, 0.17, -0.22, actual_rep, 1, curr_step, 14, track_size, 78, robot_vel, 7.14, joints_pos, 35.32, 51.62, -21.2, -79.23, 13.65, 51.22, 69.69, tool_torque, 0.1, -0.574, 0.464, tool_momentum, 0.095, -0.569, 0.464, robot_mode, rotation_overlay, 
06/04/2022 11:50:03:322, robot_pos_w_timestamp, 1649242113202, 577.54, 218.12, 222.5, 2.22, 0.1, -3.13, tool_force, 1.53, 0.86, 0.0, actual_rep, 1, curr_step, 14, track_size, 78, robot_vel, 9.54, joints_pos, 35.24, 51.54, -21.19, -79.33, 13.54, 51.21, 66.01, tool_torque, 0.326, -0.609, 0.51, tool_momentum, 0.355, -0.625, 0.509, robot_mode, rotation_overlay, 
06/04/2022 11:50:03:453, robot_pos_w_timestamp, 1649242113353, 577.3, 216.8, 222.83, 2.32, 0.1, -3.12, tool_force, 1.05, 1.41, 0.12, actual_rep, 1, curr_step, 15, track_size, 78, robot_vel, 10.0, joints_pos, 35.11, 51.34, -21.07, -79.63, 13.42, 50.78, 60.34, tool_torque, 0.562, -0.541, 0.53, tool_momentum, 0.569, -0.547, 0.532, robot_mode, rotation_overlay, 
06/04/2022 11:50:03:604, robot_pos_w_timestamp, 1649242113506, 577.03, 215.36, 223.2, 2.4, 0.1, -3.11, tool_force, 0.84, 1.43, -0.12, actual_rep, 1, curr_step, 15, track_size, 78, robot_vel, 9.52, joints_pos, 34.98, 51.16, -20.99, -79.89, 13.33, 50.48, 55.46, tool_torque, 0.632, -0.457, 0.526, tool_momentum, 0.628, -0.441, 0.526, robot_mode, rotation_overlay, 
