06/04/2022 11:56:41: File Created!
06/04/2022 11:56:41:456, robot_pos_w_timestamp, 1649242513489, 612.9, 280.93, 203.73, 2.36, -0.03, 3.07, tool_force, -1.05, -0.12, 0.1, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.92, joints_pos, 35.16, 59.14, -20.44, -66.97, 25.32, 54.88, 55.07, tool_torque, 0.017, -0.029, 0.293, tool_momentum, 0.016, -0.029, 0.293, robot_mode, rotation_overlay, 
06/04/2022 11:56:41:602, robot_pos_w_timestamp, 1649242513666, 613.99, 278.22, 202.37, 2.36, -0.03, 3.07, tool_force, 0.53, 0.65, 0.12, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 11.81, joints_pos, 35.03, 59.29, -20.62, -66.96, 25.32, 54.83, 55.01, tool_torque, 0.196, -0.248, 0.354, tool_momentum, 0.168, -0.237, 0.354, robot_mode, rotation_overlay, 
06/04/2022 11:56:41:729, robot_pos_w_timestamp, 1649242513774, 614.92, 274.22, 201.94, 2.35, -0.03, 3.08, tool_force, 0.3, 0.41, 0.29, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 34.44, joints_pos, 34.81, 59.29, -20.82, -67.12, 25.22, 54.85, 54.91, tool_torque, 0.138, -0.306, 0.303, tool_momentum, 0.145, -0.329, 0.301, robot_mode, rotation_overlay, 
06/04/2022 11:56:41:856, robot_pos_w_timestamp, 1649242513926, 615.9, 268.49, 201.49, 2.35, -0.02, 3.08, tool_force, 0.35, 0.28, -0.15, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 35.59, joints_pos, 34.59, 59.24, -20.99, -67.34, 24.82, 54.85, 55.06, tool_torque, 0.147, -0.206, 0.159, tool_momentum, 0.155, -0.208, 0.159, robot_mode, rotation_overlay, 
06/04/2022 11:56:42:009, robot_pos_w_timestamp, 1649242514081, 616.92, 262.57, 200.85, 2.34, -0.01, 3.09, tool_force, -0.12, 0.68, 0.43, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 36.75, joints_pos, 34.24, 59.2, -21.07, -67.56, 24.41, 54.84, 55.11, tool_torque, 0.178, -0.25, 0.207, tool_momentum, 0.178, -0.256, 0.207, robot_mode, rotation_overlay, 
06/04/2022 11:56:42:163, robot_pos_w_timestamp, 1649242514236, 617.81, 256.67, 200.28, 2.34, -0.01, 3.09, tool_force, 0.18, 0.68, 0.37, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 42.35, joints_pos, 33.8, 59.14, -21.04, -67.79, 24.09, 54.9, 54.9, tool_torque, 0.145, -0.303, 0.381, tool_momentum, 0.161, -0.344, 0.382, robot_mode, rotation_overlay, 
06/04/2022 11:56:42:313, robot_pos_w_timestamp, 1649242514388, 618.68, 250.93, 199.75, 2.34, -0.01, 3.1, tool_force, 0.03, 0.82, -0.29, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 37.11, joints_pos, 33.39, 59.04, -21.02, -68.07, 23.77, 54.79, 54.79, tool_torque, 0.337, -0.279, 0.413, tool_momentum, 0.346, -0.278, 0.413, robot_mode, rotation_overlay, 
06/04/2022 11:56:42:464, robot_pos_w_timestamp, 1649242514543, 619.21, 245.04, 199.21, 2.33, 0.0, 3.1, tool_force, -0.04, 0.99, 0.14, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 36.59, joints_pos, 33.02, 58.89, -21.02, -68.49, 23.51, 54.48, 54.68, tool_torque, 0.402, -0.227, 0.413, tool_momentum, 0.395, -0.229, 0.413, robot_mode, rotation_overlay, 
06/04/2022 11:56:42:613, robot_pos_w_timestamp, 1649242514694, 619.56, 239.21, 198.78, 2.33, 0.0, 3.1, tool_force, -0.01, 0.97, -0.02, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.28, joints_pos, 32.63, 58.75, -21.02, -68.86, 23.29, 54.39, 54.56, tool_torque, 0.4, -0.342, 0.447, tool_momentum, 0.416, -0.362, 0.451, robot_mode, rotation_overlay, 
06/04/2022 11:56:42:771, robot_pos_w_timestamp, 1649242514848, 619.93, 233.46, 198.37, 2.32, 0.0, 3.11, tool_force, -0.13, 1.21, 0.21, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 36.98, joints_pos, 32.23, 58.63, -21.02, -69.18, 23.08, 54.35, 54.46, tool_torque, 0.465, -0.319, 0.461, tool_momentum, 0.463, -0.329, 0.463, robot_mode, rotation_overlay, 
06/04/2022 11:56:42:915, robot_pos_w_timestamp, 1649242515001, 620.28, 228.2, 197.97, 2.32, 0.0, 3.11, tool_force, 0.6, 1.17, -0.05, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 38.04, joints_pos, 31.85, 58.52, -20.99, -69.46, 22.89, 54.31, 54.38, tool_torque, 0.463, -0.36, 0.459, tool_momentum, 0.456, -0.352, 0.459, robot_mode, rotation_overlay, 
