06/04/2022 11:57:01: File Created!
06/04/2022 11:57:01:749, robot_pos_w_timestamp, 1649242533680, 612.88, 280.95, 203.77, 2.36, -0.03, 3.07, tool_force, -1.0, 0.12, 0.29, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 45.94, joints_pos, 36.87, 59.73, -23.72, -66.97, 28.72, 55.62, 53.34, tool_torque, 0.077, -0.113, 0.282, tool_momentum, 0.118, -0.115, 0.281, robot_mode, rotation_overlay, 
06/04/2022 11:57:01:859, robot_pos_w_timestamp, 1649242533810, 613.06, 280.14, 202.84, 2.36, -0.03, 3.07, tool_force, 0.31, -0.13, 0.18, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 35.39, joints_pos, 36.8, 59.82, -23.72, -66.96, 28.72, 55.6, 53.3, tool_torque, 0.26, -0.558, 0.396, tool_momentum, 0.278, -0.571, 0.402, robot_mode, rotation_overlay, 
06/04/2022 11:57:02:057, robot_pos_w_timestamp, 1649242533983, 615.08, 273.43, 201.9, 2.36, -0.03, 3.07, tool_force, -1.02, 0.61, 0.28, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 41.52, joints_pos, 36.29, 59.81, -23.72, -67.2, 28.2, 55.5, 53.29, tool_torque, 0.217, -0.227, 0.178, tool_momentum, 0.227, -0.255, 0.176, robot_mode, rotation_overlay, 
06/04/2022 11:57:02:121, robot_pos_w_timestamp, 1649242534115, 615.88, 268.64, 201.48, 2.35, -0.02, 3.08, tool_force, 0.14, 0.72, 0.15, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 40.1, joints_pos, 36.01, 59.75, -23.72, -67.34, 27.82, 55.45, 53.43, tool_torque, 0.286, -0.322, 0.119, tool_momentum, 0.281, -0.316, 0.119, robot_mode, rotation_overlay, 
06/04/2022 11:57:02:273, robot_pos_w_timestamp, 1649242534268, 616.91, 262.8, 200.87, 2.34, -0.01, 3.09, tool_force, -0.12, 0.16, -0.28, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 35.7, joints_pos, 35.63, 59.7, -23.72, -67.56, 27.29, 55.42, 53.56, tool_torque, 0.198, -0.281, 0.145, tool_momentum, 0.204, -0.284, 0.145, robot_mode, rotation_overlay, 
06/04/2022 11:57:02:422, robot_pos_w_timestamp, 1649242534419, 617.75, 257.01, 200.29, 2.34, -0.01, 3.09, tool_force, -0.23, 0.51, -0.21, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 35.64, joints_pos, 35.23, 59.64, -23.72, -67.78, 26.99, 55.46, 53.35, tool_torque, 0.269, -0.44, 0.386, tool_momentum, 0.277, -0.458, 0.386, robot_mode, rotation_overlay, 
06/04/2022 11:57:02:571, robot_pos_w_timestamp, 1649242534572, 618.63, 251.37, 199.76, 2.34, -0.01, 3.1, tool_force, 0.6, 1.14, 0.17, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 38.39, joints_pos, 34.84, 59.56, -23.72, -68.04, 26.7, 55.38, 53.25, tool_torque, 0.428, -0.496, 0.466, tool_momentum, 0.424, -0.494, 0.466, robot_mode, rotation_overlay, 
06/04/2022 11:57:02:729, robot_pos_w_timestamp, 1649242534724, 619.08, 245.28, 199.17, 2.33, 0.0, 3.1, tool_force, 0.75, 1.49, -0.01, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 33.92, joints_pos, 34.47, 59.4, -23.72, -68.49, 26.42, 55.07, 53.12, tool_torque, 0.518, -0.431, 0.488, tool_momentum, 0.521, -0.431, 0.488, robot_mode, rotation_overlay, 
06/04/2022 11:57:02:869, robot_pos_w_timestamp, 1649242534875, 619.45, 239.83, 198.79, 2.33, 0.0, 3.1, tool_force, 0.11, 0.9, -0.04, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 38.05, joints_pos, 34.11, 59.26, -23.72, -68.84, 26.21, 54.96, 53.0, tool_torque, 0.468, -0.441, 0.483, tool_momentum, 0.465, -0.443, 0.483, robot_mode, rotation_overlay, 
06/04/2022 11:57:03:023, robot_pos_w_timestamp, 1649242535029, 619.92, 233.93, 198.36, 2.32, 0.0, 3.11, tool_force, 0.6, 1.35, -0.08, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 41.97, joints_pos, 33.7, 59.15, -23.72, -69.15, 25.98, 54.92, 52.89, tool_torque, 0.514, -0.41, 0.481, tool_momentum, 0.512, -0.409, 0.482, robot_mode, rotation_overlay, 
06/04/2022 11:57:03:194, robot_pos_w_timestamp, 1649242535200, 620.29, 228.04, 197.92, 2.32, 0.0, 3.11, tool_force, -0.37, 0.85, -0.02, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 36.12, joints_pos, 33.3, 59.04, -23.71, -69.47, 25.78, 54.86, 52.78, tool_torque, 0.417, -0.216, 0.437, tool_momentum, 0.401, -0.2, 0.437, robot_mode, rotation_overlay, 
