06/04/2022 14:47:27: File Created!
06/04/2022 14:47:27:644, robot_pos_w_timestamp, 1649252758364, 612.9, 280.95, 203.73, 2.36, -0.03, 3.07, tool_force, 0.17, 0.08, -0.09, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.02, joints_pos, 34.95, 59.07, -20.04, -66.97, 24.91, 54.8, 55.29, tool_torque, 0.269, -0.271, 0.349, tool_momentum, 0.271, -0.269, 0.349, robot_mode, normal, 
06/04/2022 14:47:27:809, robot_pos_w_timestamp, 1649252758510, 612.88, 280.97, 202.8, 2.36, -0.03, 3.07, tool_force, 0.24, -0.01, 0.19, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.02, joints_pos, 34.95, 59.17, -20.04, -66.93, 24.91, 54.78, 55.29, tool_torque, 0.3, -0.241, 0.291, tool_momentum, 0.305, -0.236, 0.291, robot_mode, normal, 
06/04/2022 14:47:27:921, robot_pos_w_timestamp, 1649252758660, 614.01, 277.87, 202.34, 2.36, -0.03, 3.07, tool_force, 0.57, 0.19, -0.08, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 40.84, joints_pos, 34.8, 59.22, -20.24, -66.99, 24.91, 54.77, 55.18, tool_torque, 0.194, -0.16, 0.354, tool_momentum, 0.183, -0.144, 0.353, robot_mode, normal, 
06/04/2022 14:47:28:081, robot_pos_w_timestamp, 1649252758815, 615.29, 272.02, 201.8, 2.35, -0.02, 3.08, tool_force, 0.48, 0.5, 0.08, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 38.08, joints_pos, 34.55, 59.21, -20.5, -67.19, 24.67, 54.79, 55.15, tool_torque, 0.19, -0.235, 0.266, tool_momentum, 0.185, -0.237, 0.264, robot_mode, normal, 
06/04/2022 14:47:28:221, robot_pos_w_timestamp, 1649252758969, 616.36, 266.13, 201.26, 2.35, -0.02, 3.08, tool_force, 0.35, 0.36, 0.19, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 42.31, joints_pos, 34.27, 59.17, -20.69, -67.42, 24.27, 54.77, 55.31, tool_torque, 0.15, -0.121, 0.127, tool_momentum, 0.149, -0.113, 0.126, robot_mode, normal, 
06/04/2022 14:47:28:442, robot_pos_w_timestamp, 1649252759141, 617.42, 259.52, 200.55, 2.34, -0.01, 3.09, tool_force, -0.01, 0.57, 0.4, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 38.33, joints_pos, 33.86, 59.11, -20.74, -67.68, 23.83, 54.79, 55.25, tool_torque, 0.202, -0.236, 0.259, tool_momentum, 0.194, -0.228, 0.259, robot_mode, normal, 
06/04/2022 14:47:28:548, robot_pos_w_timestamp, 1649252759272, 618.14, 254.57, 200.08, 2.34, -0.01, 3.1, tool_force, 0.35, 0.54, 0.15, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 38.24, joints_pos, 33.47, 59.06, -20.7, -67.85, 23.59, 54.86, 55.09, tool_torque, 0.249, -0.385, 0.421, tool_momentum, 0.262, -0.401, 0.424, robot_mode, normal, 
06/04/2022 14:47:28:757, robot_pos_w_timestamp, 1649252759434, 618.87, 248.54, 199.5, 2.33, -0.01, 3.1, tool_force, 0.21, 1.05, 0.3, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 40.2, joints_pos, 33.05, 58.9, -20.67, -68.29, 23.25, 54.55, 54.95, tool_torque, 0.417, -0.268, 0.437, tool_momentum, 0.409, -0.262, 0.437, robot_mode, normal, 
06/04/2022 14:47:28:870, robot_pos_w_timestamp, 1649252759584, 619.35, 242.66, 199.02, 2.33, 0.0, 3.1, tool_force, 0.07, 0.76, -0.13, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.58, joints_pos, 32.68, 58.76, -20.67, -68.65, 23.04, 54.36, 54.84, tool_torque, 0.345, -0.254, 0.415, tool_momentum, 0.329, -0.23, 0.412, robot_mode, normal, 
06/04/2022 14:47:29:031, robot_pos_w_timestamp, 1649252759737, 619.7, 236.94, 198.62, 2.33, 0.0, 3.1, tool_force, -0.06, 0.44, -0.02, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 40.15, joints_pos, 32.27, 58.64, -20.67, -68.99, 22.83, 54.31, 54.72, tool_torque, 0.355, -0.204, 0.404, tool_momentum, 0.362, -0.212, 0.404, robot_mode, normal, 
06/04/2022 14:47:29:167, robot_pos_w_timestamp, 1649252759901, 620.02, 230.66, 198.21, 2.32, 0.0, 3.11, tool_force, -0.01, 1.17, 0.39, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 36.71, joints_pos, 31.85, 58.5, -20.67, -69.34, 22.63, 54.29, 54.6, tool_torque, 0.422, -0.341, 0.435, tool_momentum, 0.432, -0.353, 0.435, robot_mode, normal, 
06/04/2022 14:47:29:306, robot_pos_w_timestamp, 1649252760058, 620.09, 224.67, 197.98, 2.32, 0.0, 3.11, tool_force, 0.43, 0.89, 0.04, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 40.36, joints_pos, 31.43, 58.34, -20.66, -69.72, 22.43, 54.29, 54.47, tool_torque, 0.327, -0.33, 0.439, tool_momentum, 0.325, -0.331, 0.439, robot_mode, normal, 
06/04/2022 14:47:29:483, robot_pos_w_timestamp, 1649252760206, 620.14, 219.14, 197.76, 2.31, 0.0, 3.12, tool_force, 0.34, 1.1, 0.27, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 37.52, joints_pos, 31.05, 58.2, -20.66, -70.05, 22.23, 54.29, 54.38, tool_torque, 0.337, -0.307, 0.441, tool_momentum, 0.334, -0.295, 0.442, robot_mode, normal, 
06/04/2022 14:47:29:600, robot_pos_w_timestamp, 1649252760358, 619.97, 213.38, 197.78, 2.31, 0.0, 3.12, tool_force, 0.53, 1.04, -0.17, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 34.72, joints_pos, 30.71, 58.0, -20.68, -70.47, 21.83, 54.22, 54.38, tool_torque, 0.364, -0.208, 0.322, tool_momentum, 0.354, -0.187, 0.32, robot_mode, normal, 
06/04/2022 14:47:29:793, robot_pos_w_timestamp, 1649252760512, 619.7, 207.49, 197.8, 2.3, 0.01, 3.13, tool_force, 0.56, 0.96, 0.14, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 36.31, joints_pos, 30.35, 57.8, -20.69, -70.88, 21.49, 54.16, 54.37, tool_torque, 0.368, -0.333, 0.397, tool_momentum, 0.354, -0.336, 0.397, robot_mode, normal, 
06/04/2022 14:47:29:982, robot_pos_w_timestamp, 1649252760669, 619.11, 201.45, 197.95, 2.3, 0.0, 3.13, tool_force, -0.06, 0.99, 0.56, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 38.43, joints_pos, 29.89, 57.58, -20.64, -71.3, 21.4, 54.29, 53.92, tool_torque, 0.333, -0.323, 0.45, tool_momentum, 0.333, -0.328, 0.45, robot_mode, normal, 
06/04/2022 14:47:30:080, robot_pos_w_timestamp, 1649252760827, 618.58, 195.46, 198.13, 2.3, 0.0, 3.14, tool_force, 0.0, 0.87, -0.15, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 35.96, joints_pos, 29.43, 57.35, -20.59, -71.72, 21.29, 54.37, 53.48, tool_torque, 0.339, -0.319, 0.434, tool_momentum, 0.337, -0.313, 0.434, robot_mode, normal, 
06/04/2022 14:47:30:284, robot_pos_w_timestamp, 1649252760976, 617.77, 189.77, 198.46, 2.3, 0.0, 3.14, tool_force, 0.07, 0.74, -0.09, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 38.13, joints_pos, 29.04, 57.06, -20.58, -72.26, 21.2, 54.26, 53.03, tool_torque, 0.354, -0.283, 0.473, tool_momentum, 0.451, -0.385, 0.476, robot_mode, normal, 
06/04/2022 14:47:30:355, robot_pos_w_timestamp, 1649252761128, 616.68, 184.05, 198.82, 2.3, 0.0, -3.14, tool_force, -0.34, 1.06, 0.57, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 41.96, joints_pos, 28.68, 56.77, -20.58, -72.79, 21.05, 54.24, 52.6, tool_torque, 0.354, -0.19, 0.426, tool_momentum, 0.336, -0.175, 0.424, robot_mode, normal, 
06/04/2022 14:47:30:596, robot_pos_w_timestamp, 1649252761299, 615.31, 177.52, 199.34, 2.3, 0.0, -3.13, tool_force, -0.39, 0.95, 0.51, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 43.83, joints_pos, 28.27, 56.44, -20.59, -73.4, 20.82, 54.23, 52.17, tool_torque, 0.406, -0.221, 0.443, tool_momentum, 0.401, -0.218, 0.443, robot_mode, normal, 
06/04/2022 14:47:30:663, robot_pos_w_timestamp, 1649252761433, 613.93, 172.51, 199.86, 2.3, 0.0, -3.13, tool_force, 0.28, 1.49, 0.44, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 43.43, joints_pos, 27.94, 56.13, -20.58, -73.94, 20.76, 54.21, 51.57, tool_torque, 0.442, -0.281, 0.44, tool_momentum, 0.432, -0.252, 0.438, robot_mode, normal, 
06/04/2022 14:47:30:812, robot_pos_w_timestamp, 1649252761584, 612.13, 166.67, 200.49, 2.31, -0.01, -3.13, tool_force, -0.51, 0.96, -0.22, actual_rep, 1, curr_step, 13, track_size, 99, robot_vel, 42.11, joints_pos, 27.48, 55.71, -20.5, -74.66, 20.89, 54.08, 50.63, tool_torque, 0.457, -0.255, 0.418, tool_momentum, 0.473, -0.273, 0.423, robot_mode, normal, 
06/04/2022 14:47:30:962, robot_pos_w_timestamp, 1649252761738, 610.02, 160.78, 201.22, 2.31, -0.01, -3.13, tool_force, -0.69, 0.85, 0.13, actual_rep, 1, curr_step, 13, track_size, 99, robot_vel, 41.66, joints_pos, 27.04, 55.27, -20.44, -75.4, 21.09, 54.0, 49.55, tool_torque, 0.461, -0.249, 0.412, tool_momentum, 0.487, -0.265, 0.415, robot_mode, normal, 
06/04/2022 14:47:31:113, robot_pos_w_timestamp, 1649252761890, 607.83, 154.98, 201.99, 2.32, -0.02, -3.13, tool_force, -0.69, 0.99, -0.17, actual_rep, 1, curr_step, 14, track_size, 99, robot_vel, 41.43, joints_pos, 26.63, 54.83, -20.42, -76.17, 21.24, 53.86, 48.45, tool_torque, 0.483, -0.207, 0.424, tool_momentum, 0.476, -0.195, 0.424, robot_mode, normal, 
06/04/2022 14:47:31:303, robot_pos_w_timestamp, 1649252762045, 605.56, 149.18, 202.84, 2.33, -0.02, -3.13, tool_force, -0.6, 1.33, 0.16, actual_rep, 1, curr_step, 15, track_size, 99, robot_vel, 42.56, joints_pos, 26.26, 54.36, -20.43, -76.98, 21.3, 53.62, 47.38, tool_torque, 0.561, -0.216, 0.432, tool_momentum, 0.548, -0.205, 0.432, robot_mode, normal, 
06/04/2022 14:47:31:487, robot_pos_w_timestamp, 1649252762204, 603.17, 142.98, 203.61, 2.33, -0.02, -3.13, tool_force, -0.28, 1.35, -0.13, actual_rep, 1, curr_step, 16, track_size, 99, robot_vel, 41.12, joints_pos, 25.86, 53.8, -20.42, -77.98, 21.58, 52.98, 46.06, tool_torque, 0.604, -0.345, 0.451, tool_momentum, 0.589, -0.34, 0.451, robot_mode, normal, 
06/04/2022 14:47:31:605, robot_pos_w_timestamp, 1649252762353, 600.34, 137.43, 204.1, 2.34, -0.01, -3.14, tool_force, -0.3, 1.22, 0.45, actual_rep, 1, curr_step, 16, track_size, 99, robot_vel, 42.71, joints_pos, 25.6, 53.21, -20.45, -79.11, 21.59, 52.07, 45.28, tool_torque, 0.573, -0.261, 0.427, tool_momentum, 0.568, -0.257, 0.427, robot_mode, normal, 
06/04/2022 14:47:31:754, robot_pos_w_timestamp, 1649252762508, 596.46, 131.67, 204.65, 2.34, -0.01, 3.14, tool_force, -0.23, 1.6, -0.54, actual_rep, 1, curr_step, 17, track_size, 99, robot_vel, 50.22, joints_pos, 25.34, 52.52, -20.44, -80.42, 21.63, 51.08, 44.27, tool_torque, 0.66, -0.275, 0.435, tool_momentum, 0.653, -0.303, 0.437, robot_mode, normal, 
06/04/2022 14:47:31:909, robot_pos_w_timestamp, 1649252762660, 590.96, 125.59, 205.01, 2.35, -0.01, 3.13, tool_force, -0.62, 1.28, 0.13, actual_rep, 1, curr_step, 19, track_size, 99, robot_vel, 59.35, joints_pos, 25.07, 51.7, -20.41, -82.12, 21.89, 50.06, 43.11, tool_torque, 0.681, -0.241, 0.43, tool_momentum, 0.677, -0.245, 0.43, robot_mode, normal, 
06/04/2022 14:47:32:027, robot_pos_w_timestamp, 1649252762814, 585.07, 120.82, 205.54, 2.35, -0.01, 3.13, tool_force, -0.17, 0.99, -0.1, actual_rep, 1, curr_step, 20, track_size, 99, robot_vel, 51.94, joints_pos, 24.84, 50.97, -20.38, -83.4, 22.19, 49.63, 42.32, tool_torque, 0.654, -0.269, 0.414, tool_momentum, 0.643, -0.273, 0.414, robot_mode, normal, 
06/04/2022 14:47:32:178, robot_pos_w_timestamp, 1649252762965, 579.58, 116.1, 205.91, 2.35, -0.02, 3.13, tool_force, -0.4, 1.29, 0.28, actual_rep, 1, curr_step, 21, track_size, 99, robot_vel, 47.88, joints_pos, 24.58, 50.22, -20.34, -84.87, 22.75, 48.85, 41.28, tool_torque, 0.719, -0.248, 0.406, tool_momentum, 0.717, -0.25, 0.406, robot_mode, normal, 
06/04/2022 14:47:32:334, robot_pos_w_timestamp, 1649252763130, 573.17, 111.44, 206.92, 2.35, -0.02, 3.12, tool_force, -1.17, 1.4, 0.35, actual_rep, 1, curr_step, 22, track_size, 99, robot_vel, 47.59, joints_pos, 24.44, 49.36, -20.35, -86.4, 22.85, 48.14, 40.67, tool_torque, 0.756, -0.128, 0.41, tool_momentum, 0.755, -0.133, 0.41, robot_mode, normal, 
06/04/2022 14:47:32:477, robot_pos_w_timestamp, 1649252763272, 567.97, 107.87, 207.95, 2.35, -0.02, 3.12, tool_force, -0.93, 0.96, 0.24, actual_rep, 1, curr_step, 23, track_size, 99, robot_vel, 43.62, joints_pos, 24.38, 48.63, -20.39, -87.68, 22.86, 47.5, 40.22, tool_torque, 0.609, -0.062, 0.377, tool_momentum, 0.616, -0.061, 0.377, robot_mode, normal, 
06/04/2022 14:47:32:698, robot_pos_w_timestamp, 1649252763426, 562.09, 104.53, 209.37, 2.35, -0.01, 3.12, tool_force, -1.25, 0.91, 0.17, actual_rep, 1, curr_step, 25, track_size, 99, robot_vel, 43.34, joints_pos, 24.44, 47.79, -20.43, -89.13, 22.61, 46.33, 39.92, tool_torque, 0.489, -0.036, 0.369, tool_momentum, 0.591, -0.044, 0.368, robot_mode, normal, 
06/04/2022 14:47:32:795, robot_pos_w_timestamp, 1649252763579, 556.07, 101.94, 210.92, 2.35, -0.01, 3.11, tool_force, -0.76, 0.65, 0.16, actual_rep, 1, curr_step, 26, track_size, 99, robot_vel, 42.68, joints_pos, 24.36, 46.88, -20.32, -90.58, 22.82, 45.67, 39.47, tool_torque, 0.719, -0.138, 0.393, tool_momentum, 0.662, -0.158, 0.393, robot_mode, normal, 
06/04/2022 14:47:32:982, robot_pos_w_timestamp, 1649252763731, 550.39, 100.56, 212.47, 2.35, -0.02, 3.11, tool_force, -0.55, 1.07, -0.13, actual_rep, 1, curr_step, 27, track_size, 99, robot_vel, 40.16, joints_pos, 24.35, 46.17, -20.26, -91.66, 23.01, 45.51, 39.09, tool_torque, 0.739, -0.143, 0.385, tool_momentum, 0.74, -0.132, 0.385, robot_mode, normal, 
06/04/2022 14:47:33:117, robot_pos_w_timestamp, 1649252763913, 543.5, 99.84, 214.27, 2.35, -0.02, 3.11, tool_force, -1.83, 0.74, -0.01, actual_rep, 1, curr_step, 29, track_size, 99, robot_vel, 39.46, joints_pos, 24.48, 45.27, -20.19, -93.03, 23.04, 45.13, 38.9, tool_torque, 0.507, 0.167, 0.299, tool_momentum, 0.497, 0.158, 0.301, robot_mode, normal, 
06/04/2022 14:47:33:325, robot_pos_w_timestamp, 1649252764036, 538.91, 100.42, 215.72, 2.35, -0.03, 3.11, tool_force, -1.69, 0.55, 0.64, actual_rep, 1, curr_step, 30, track_size, 99, robot_vel, 40.37, joints_pos, 24.53, 44.71, -20.03, -93.79, 23.14, 45.11, 38.79, tool_torque, 0.51, 0.145, 0.297, tool_momentum, 0.526, 0.143, 0.296, robot_mode, normal, 
06/04/2022 14:47:33:389, robot_pos_w_timestamp, 1649252764186, 533.31, 102.35, 217.84, 2.35, -0.03, 3.11, tool_force, -1.85, 0.74, 0.34, actual_rep, 1, curr_step, 33, track_size, 99, robot_vel, 42.94, joints_pos, 24.69, 43.94, -19.79, -94.77, 23.35, 44.97, 38.73, tool_torque, 0.439, 0.221, 0.278, tool_momentum, 0.457, 0.225, 0.276, robot_mode, normal, 
06/04/2022 14:47:33:532, robot_pos_w_timestamp, 1649252764340, 527.34, 105.58, 220.57, 2.35, -0.04, 3.1, tool_force, -2.46, 0.34, 0.22, actual_rep, 1, curr_step, 36, track_size, 99, robot_vel, 47.49, joints_pos, 25.0, 43.12, -19.58, -95.75, 23.52, 44.87, 38.62, tool_torque, 0.416, 0.294, 0.235, tool_momentum, 0.417, 0.296, 0.235, robot_mode, normal, 
