26/04/2022 13:37:08: File Created!
26/04/2022 13:37:08:092, robot_pos_w_timestamp, 1650976527119, 603.16, 290.02, 234.99, 2.44, -0.01, 3.06, tool_force, -0.15, -0.22, 0.31, actual_rep, 1, curr_step, 1, track_size, 77, robot_vel, 0.0, joints_pos, 43.01, 58.34, -32.91, -68.57, -144.01, -58.88, -133.8, tool_torque, 0.492, -0.187, 0.211, tool_momentum, 0.492, -0.187, 0.211, robot_mode, normal, 
26/04/2022 13:37:08:210, robot_pos_w_timestamp, 1650976527258, 603.17, 290.03, 235.02, 2.44, -0.01, 3.06, tool_force, -0.22, -0.4, 0.41, actual_rep, 1, curr_step, 1, track_size, 77, robot_vel, 0.0, joints_pos, 43.01, 58.34, -32.91, -68.57, -144.01, -58.88, -133.8, tool_torque, 0.454, -0.165, 0.154, tool_momentum, 0.457, -0.167, 0.153, robot_mode, normal, 
26/04/2022 13:37:08:398, robot_pos_w_timestamp, 1650976527412, 603.7, 289.06, 235.09, 2.44, -0.01, 3.06, tool_force, 0.59, 0.24, 0.1, actual_rep, 1, curr_step, 3, track_size, 77, robot_vel, 14.23, joints_pos, 42.97, 58.35, -32.99, -68.57, -144.11, -58.83, -133.92, tool_torque, 0.616, -0.21, 0.296, tool_momentum, 0.622, -0.22, 0.299, robot_mode, normal, 
26/04/2022 13:37:08:507, robot_pos_w_timestamp, 1650976527558, 605.65, 283.41, 235.35, 2.44, -0.01, 3.06, tool_force, 0.52, 0.54, 0.25, actual_rep, 1, curr_step, 4, track_size, 77, robot_vel, 38.64, joints_pos, 42.64, 58.33, -33.2, -68.69, -144.21, -58.85, -134.56, tool_torque, 0.655, -0.241, 0.448, tool_momentum, 0.653, -0.226, 0.447, robot_mode, normal, 
26/04/2022 13:37:08:654, robot_pos_w_timestamp, 1650976527707, 607.37, 277.63, 235.64, 2.44, 0.0, 3.07, tool_force, 0.94, 0.56, -0.21, actual_rep, 1, curr_step, 5, track_size, 77, robot_vel, 38.32, joints_pos, 42.36, 58.28, -33.45, -68.88, -144.4, -58.81, -135.13, tool_torque, 0.787, -0.27, 0.477, tool_momentum, 0.79, -0.268, 0.477, robot_mode, normal, 
26/04/2022 13:37:08:805, robot_pos_w_timestamp, 1650976527855, 608.9, 271.85, 235.83, 2.44, 0.0, 3.07, tool_force, 0.25, 0.86, 0.26, actual_rep, 1, curr_step, 5, track_size, 77, robot_vel, 35.63, joints_pos, 42.12, 58.25, -33.78, -69.08, -144.42, -58.8, -135.56, tool_torque, 0.775, -0.135, 0.456, tool_momentum, 0.774, -0.143, 0.458, robot_mode, normal, 
26/04/2022 13:37:08:958, robot_pos_w_timestamp, 1650976528007, 610.35, 266.04, 236.14, 2.44, 0.01, 3.07, tool_force, 0.45, 0.61, 0.26, actual_rep, 1, curr_step, 6, track_size, 77, robot_vel, 41.23, joints_pos, 41.91, 58.22, -34.17, -69.31, -144.43, -58.8, -136.0, tool_torque, 0.729, -0.191, 0.46, tool_momentum, 0.742, -0.204, 0.463, robot_mode, normal, 
26/04/2022 13:37:09:109, robot_pos_w_timestamp, 1650976528154, 611.65, 260.28, 236.59, 2.44, 0.01, 3.08, tool_force, 1.02, 0.94, 0.39, actual_rep, 1, curr_step, 7, track_size, 77, robot_vel, 41.83, joints_pos, 41.71, 58.17, -34.52, -69.54, -144.43, -58.8, -136.37, tool_torque, 0.809, -0.27, 0.47, tool_momentum, 0.803, -0.242, 0.465, robot_mode, normal, 
26/04/2022 13:37:09:260, robot_pos_w_timestamp, 1650976528304, 612.83, 254.51, 237.25, 2.44, 0.02, 3.08, tool_force, 1.06, 0.86, 0.22, actual_rep, 1, curr_step, 7, track_size, 77, robot_vel, 39.92, joints_pos, 41.5, 58.1, -34.9, -69.8, -144.41, -58.8, -136.67, tool_torque, 0.782, -0.283, 0.469, tool_momentum, 0.77, -0.278, 0.469, robot_mode, normal, 
26/04/2022 13:37:09:410, robot_pos_w_timestamp, 1650976528453, 613.95, 248.75, 237.99, 2.43, 0.02, 3.08, tool_force, 0.72, 0.74, 0.16, actual_rep, 1, curr_step, 8, track_size, 77, robot_vel, 39.79, joints_pos, 41.32, 58.02, -35.29, -70.06, -144.36, -58.8, -136.9, tool_torque, 0.776, -0.243, 0.476, tool_momentum, 0.803, -0.264, 0.478, robot_mode, normal, 
26/04/2022 13:37:09:568, robot_pos_w_timestamp, 1650976528604, 614.93, 242.81, 238.92, 2.43, 0.02, 3.08, tool_force, 1.06, 0.87, 0.22, actual_rep, 1, curr_step, 8, track_size, 77, robot_vel, 40.41, joints_pos, 41.11, 57.9, -35.66, -70.36, -144.3, -58.8, -137.15, tool_torque, 0.809, -0.312, 0.451, tool_momentum, 0.803, -0.314, 0.451, robot_mode, normal, 
26/04/2022 13:37:09:711, robot_pos_w_timestamp, 1650976528752, 615.7, 237.15, 239.89, 2.42, 0.03, 3.09, tool_force, 0.81, 0.82, 0.41, actual_rep, 1, curr_step, 9, track_size, 77, robot_vel, 41.97, joints_pos, 40.91, 57.77, -35.99, -70.66, -144.28, -58.81, -137.31, tool_torque, 0.785, -0.302, 0.446, tool_momentum, 0.782, -0.294, 0.445, robot_mode, normal, 
26/04/2022 13:37:09:868, robot_pos_w_timestamp, 1650976528905, 616.33, 231.33, 240.9, 2.41, 0.03, 3.09, tool_force, 1.12, 0.9, 0.43, actual_rep, 1, curr_step, 10, track_size, 77, robot_vel, 37.63, joints_pos, 40.7, 57.61, -36.32, -71.0, -144.24, -58.81, -137.44, tool_torque, 0.789, -0.315, 0.447, tool_momentum, 0.754, -0.269, 0.439, robot_mode, normal, 
26/04/2022 13:37:10:026, robot_pos_w_timestamp, 1650976529059, 616.43, 225.23, 241.98, 2.4, 0.03, 3.09, tool_force, 1.1, 0.62, -0.06, actual_rep, 1, curr_step, 10, track_size, 77, robot_vel, 44.12, joints_pos, 40.48, 57.39, -36.61, -71.43, -144.21, -58.82, -137.6, tool_torque, 0.713, -0.334, 0.452, tool_momentum, 0.738, -0.339, 0.454, robot_mode, normal, 
26/04/2022 13:37:10:189, robot_pos_w_timestamp, 1650976529215, 616.27, 219.26, 242.86, 2.4, 0.03, 3.09, tool_force, 1.22, 0.78, 0.59, actual_rep, 1, curr_step, 11, track_size, 77, robot_vel, 32.97, joints_pos, 40.24, 57.16, -36.83, -71.89, -144.21, -58.85, -137.75, tool_torque, 0.735, -0.446, 0.461, tool_momentum, 0.694, -0.429, 0.468, robot_mode, normal, 
26/04/2022 13:37:10:368, robot_pos_w_timestamp, 1650976529361, 615.8, 213.57, 243.75, 2.39, 0.03, 3.1, tool_force, 0.91, 0.48, 0.72, actual_rep, 1, curr_step, 12, track_size, 77, robot_vel, 40.89, joints_pos, 40.03, 56.9, -37.03, -72.38, -144.21, -58.85, -137.91, tool_torque, 0.701, -0.428, 0.489, tool_momentum, 0.709, -0.428, 0.489, robot_mode, normal, 
26/04/2022 13:37:10:488, robot_pos_w_timestamp, 1650976529513, 614.81, 207.75, 244.43, 2.38, 0.03, 3.1, tool_force, 1.12, 0.59, 0.67, actual_rep, 1, curr_step, 12, track_size, 77, robot_vel, 40.24, joints_pos, 39.82, 56.62, -37.22, -72.95, -144.18, -58.88, -138.22, tool_torque, 0.678, -0.435, 0.46, tool_momentum, 0.651, -0.432, 0.454, robot_mode, normal, 
26/04/2022 13:37:10:641, robot_pos_w_timestamp, 1650976529665, 613.43, 201.8, 244.93, 2.38, 0.03, 3.1, tool_force, 1.31, 0.75, 0.27, actual_rep, 1, curr_step, 13, track_size, 77, robot_vel, 39.16, joints_pos, 39.6, 56.3, -37.37, -73.61, -144.12, -58.88, -138.64, tool_torque, 0.675, -0.443, 0.453, tool_momentum, 0.672, -0.442, 0.454, robot_mode, normal, 
26/04/2022 13:37:10:779, robot_pos_w_timestamp, 1650976529814, 611.66, 196.15, 245.46, 2.38, 0.02, 3.11, tool_force, 1.23, 0.41, 0.29, actual_rep, 1, curr_step, 14, track_size, 77, robot_vel, 37.54, joints_pos, 39.39, 55.96, -37.48, -74.29, -144.1, -58.89, -139.12, tool_torque, 0.632, -0.493, 0.485, tool_momentum, 0.633, -0.503, 0.483, robot_mode, normal, 
26/04/2022 13:37:10:926, robot_pos_w_timestamp, 1650976529964, 609.51, 190.37, 245.89, 2.38, 0.02, 3.11, tool_force, 0.9, 0.53, 0.5, actual_rep, 1, curr_step, 14, track_size, 77, robot_vel, 41.7, joints_pos, 39.17, 55.57, -37.56, -75.06, -144.09, -58.89, -139.78, tool_torque, 0.67, -0.39, 0.448, tool_momentum, 0.663, -0.383, 0.447, robot_mode, normal, 
26/04/2022 13:37:11:078, robot_pos_w_timestamp, 1650976530114, 607.13, 184.54, 246.24, 2.38, 0.02, 3.11, tool_force, 1.14, 0.67, 0.08, actual_rep, 1, curr_step, 15, track_size, 77, robot_vel, 39.21, joints_pos, 38.95, 55.17, -37.61, -75.84, -144.09, -58.87, -140.52, tool_torque, 0.746, -0.397, 0.454, tool_momentum, 0.749, -0.397, 0.454, robot_mode, normal, 
26/04/2022 13:37:11:229, robot_pos_w_timestamp, 1650976530265, 604.42, 178.71, 246.69, 2.38, 0.01, 3.12, tool_force, 1.04, 1.05, 0.39, actual_rep, 1, curr_step, 16, track_size, 77, robot_vel, 42.83, joints_pos, 38.74, 54.73, -37.67, -76.68, -144.07, -58.85, -141.38, tool_torque, 0.849, -0.391, 0.471, tool_momentum, 0.851, -0.394, 0.471, robot_mode, normal, 
26/04/2022 13:37:11:402, robot_pos_w_timestamp, 1650976530414, 601.4, 172.89, 247.23, 2.39, 0.01, 3.12, tool_force, 0.51, 0.73, 0.59, actual_rep, 1, curr_step, 16, track_size, 77, robot_vel, 45.32, joints_pos, 38.51, 54.26, -37.71, -77.68, -144.05, -58.85, -142.44, tool_torque, 0.794, -0.293, 0.454, tool_momentum, 0.786, -0.317, 0.457, robot_mode, normal, 
26/04/2022 13:37:11:539, robot_pos_w_timestamp, 1650976530568, 598.0, 166.97, 247.88, 2.39, 0.0, 3.12, tool_force, 0.44, 0.66, 0.41, actual_rep, 1, curr_step, 17, track_size, 77, robot_vel, 44.14, joints_pos, 38.29, 53.74, -37.73, -78.49, -144.05, -58.87, -143.24, tool_torque, 0.732, -0.309, 0.437, tool_momentum, 0.728, -0.316, 0.438, robot_mode, normal, 
26/04/2022 13:37:11:689, robot_pos_w_timestamp, 1650976530721, 593.87, 161.07, 249.0, 2.39, -0.01, 3.12, tool_force, 0.49, 1.09, 0.91, actual_rep, 1, curr_step, 18, track_size, 77, robot_vel, 49.41, joints_pos, 38.1, 53.09, -37.76, -79.58, -144.01, -58.87, -144.21, tool_torque, 0.775, -0.282, 0.435, tool_momentum, 0.773, -0.283, 0.436, robot_mode, normal, 
26/04/2022 13:37:11:840, robot_pos_w_timestamp, 1650976530869, 589.17, 155.41, 250.62, 2.4, -0.01, 3.13, tool_force, 0.7, 0.8, 0.42, actual_rep, 1, curr_step, 19, track_size, 77, robot_vel, 53.01, joints_pos, 37.95, 52.35, -37.8, -80.76, -143.97, -58.89, -145.13, tool_torque, 0.793, -0.307, 0.44, tool_momentum, 0.778, -0.298, 0.436, robot_mode, normal, 
26/04/2022 13:37:11:988, robot_pos_w_timestamp, 1650976531021, 583.27, 150.28, 253.35, 2.4, -0.02, 3.12, tool_force, -0.13, 0.56, 0.32, actual_rep, 1, curr_step, 20, track_size, 77, robot_vel, 46.63, joints_pos, 37.89, 51.39, -37.82, -82.11, -143.87, -58.89, -145.92, tool_torque, 0.686, -0.277, 0.444, tool_momentum, 0.694, -0.279, 0.444, robot_mode, normal, 
26/04/2022 13:37:12:139, robot_pos_w_timestamp, 1650976531170, 577.56, 147.25, 256.26, 2.39, -0.03, 3.12, tool_force, -0.41, 0.42, 0.87, actual_rep, 1, curr_step, 21, track_size, 77, robot_vel, 45.76, joints_pos, 37.9, 50.43, -37.74, -83.32, -143.86, -58.95, -146.26, tool_torque, 0.646, -0.298, 0.417, tool_momentum, 0.652, -0.307, 0.417, robot_mode, normal, 
26/04/2022 13:37:12:289, robot_pos_w_timestamp, 1650976531320, 571.79, 145.28, 259.74, 2.39, -0.04, 3.12, tool_force, -0.84, 0.45, 0.54, actual_rep, 1, curr_step, 22, track_size, 77, robot_vel, 44.58, joints_pos, 37.98, 49.43, -37.63, -84.47, -143.86, -58.96, -146.38, tool_torque, 0.624, -0.23, 0.398, tool_momentum, 0.613, -0.233, 0.399, robot_mode, normal, 
26/04/2022 13:37:12:438, robot_pos_w_timestamp, 1650976531470, 566.09, 144.33, 263.77, 2.38, -0.05, 3.12, tool_force, -0.76, 0.27, 0.7, actual_rep, 1, curr_step, 24, track_size, 77, robot_vel, 52.28, joints_pos, 38.13, 48.36, -37.51, -85.61, -143.87, -58.98, -146.44, tool_torque, 0.58, -0.205, 0.392, tool_momentum, 0.583, -0.215, 0.395, robot_mode, normal, 
26/04/2022 13:37:12:607, robot_pos_w_timestamp, 1650976531623, 560.27, 144.28, 268.59, 2.38, -0.06, 3.11, tool_force, -2.3, 0.07, 0.92, actual_rep, 1, curr_step, 25, track_size, 77, robot_vel, 52.35, joints_pos, 38.39, 47.11, -37.38, -86.81, -143.94, -58.98, -146.44, tool_torque, 0.509, 0.073, 0.313, tool_momentum, 0.516, 0.069, 0.313, robot_mode, normal, 
26/04/2022 13:37:12:746, robot_pos_w_timestamp, 1650976531774, 554.47, 145.09, 274.03, 2.38, -0.07, 3.11, tool_force, -1.95, 0.16, 0.43, actual_rep, 1, curr_step, 26, track_size, 77, robot_vel, 52.93, joints_pos, 38.68, 46.03, -37.29, -87.75, -144.06, -58.96, -146.44, tool_torque, 0.485, 0.133, 0.273, tool_momentum, 0.493, 0.124, 0.277, robot_mode, normal, 
26/04/2022 13:37:12:893, robot_pos_w_timestamp, 1650976531923, 548.92, 146.38, 279.84, 2.39, -0.07, 3.1, tool_force, -2.13, -0.02, 0.73, actual_rep, 1, curr_step, 28, track_size, 77, robot_vel, 54.02, joints_pos, 39.12, 44.84, -37.25, -88.7, -144.44, -58.95, -146.38, tool_torque, 0.455, 0.174, 0.217, tool_momentum, 0.454, 0.178, 0.217, robot_mode, normal, 
26/04/2022 13:37:13:045, robot_pos_w_timestamp, 1650976532073, 543.8, 147.87, 285.54, 2.39, -0.07, 3.1, tool_force, -2.16, -0.02, 0.84, actual_rep, 1, curr_step, 29, track_size, 77, robot_vel, 48.93, joints_pos, 39.65, 43.79, -37.3, -89.47, -145.12, -59.0, -146.29, tool_torque, 0.281, 0.172, 0.116, tool_momentum, 0.263, 0.166, 0.115, robot_mode, normal, 
26/04/2022 13:37:13:348, robot_pos_w_timestamp, 1650976532374, 534.03, 151.37, 297.18, 2.41, -0.06, 3.11, tool_force, -2.26, -0.47, 1.01, actual_rep, 1, curr_step, 31, track_size, 77, robot_vel, 50.62, joints_pos, 40.85, 41.78, -37.42, -90.71, -147.18, -59.36, -145.59, tool_torque, 0.143, 0.217, 0.027, tool_momentum, 0.15, 0.225, 0.028, robot_mode, normal, 
26/04/2022 13:37:13:500, robot_pos_w_timestamp, 1650976532528, 530.07, 153.97, 303.14, 2.42, -0.06, 3.12, tool_force, -1.79, -0.4, 1.02, actual_rep, 1, curr_step, 32, track_size, 77, robot_vel, 47.55, joints_pos, 41.47, 40.87, -37.46, -91.1, -148.21, -59.59, -144.97, tool_torque, 0.161, 0.163, -0.0010, tool_momentum, 0.145, 0.174, -0.0010, robot_mode, normal, 
26/04/2022 13:37:13:651, robot_pos_w_timestamp, 1650976532679, 526.77, 157.09, 308.97, 2.42, -0.06, 3.12, tool_force, -1.73, 0.13, 1.05, actual_rep, 1, curr_step, 33, track_size, 77, robot_vel, 49.91, joints_pos, 42.05, 40.04, -37.48, -91.35, -149.03, -59.86, -144.22, tool_torque, 0.192, 0.119, -0.0070, tool_momentum, 0.178, 0.133, -0.0080, robot_mode, normal, 
26/04/2022 13:37:13:806, robot_pos_w_timestamp, 1650976532830, 523.78, 160.88, 314.68, 2.42, -0.05, 3.12, tool_force, -1.45, 0.08, 0.89, actual_rep, 1, curr_step, 33, track_size, 77, robot_vel, 49.12, joints_pos, 42.63, 39.3, -37.51, -91.5, -149.7, -60.2, -143.28, tool_torque, 0.168, 0.096, 0.0040, tool_momentum, 0.173, 0.1, 0.0040, robot_mode, normal, 
26/04/2022 13:37:13:955, robot_pos_w_timestamp, 1650976532981, 520.79, 165.12, 320.53, 2.42, -0.06, 3.12, tool_force, -1.85, 0.26, 1.06, actual_rep, 1, curr_step, 34, track_size, 77, robot_vel, 48.56, joints_pos, 43.25, 38.56, -37.53, -91.6, -150.25, -60.62, -142.3, tool_torque, 0.179, 0.114, -0.012, tool_momentum, 0.194, 0.089, -0.011, robot_mode, normal, 
26/04/2022 13:37:15:321, robot_pos_w_timestamp, 1650976534328, 495.89, 216.03, 356.69, 2.38, -0.08, 3.1, tool_force, -1.17, -0.64, 0.55, actual_rep, 1, curr_step, 41, track_size, 77, robot_vel, 39.36, joints_pos, 49.24, 34.44, -37.54, -91.44, -151.72, -63.23, -133.28, tool_torque, 0.122, 0.066, 0.029, tool_momentum, 0.133, 0.055, 0.032, robot_mode, normal, 
26/04/2022 13:37:15:463, robot_pos_w_timestamp, 1650976534475, 493.48, 221.65, 358.08, 2.38, -0.07, 3.1, tool_force, -1.56, -0.35, 0.38, actual_rep, 1, curr_step, 42, track_size, 77, robot_vel, 40.77, joints_pos, 49.9, 34.28, -37.53, -91.43, -151.81, -63.17, -132.43, tool_torque, 0.27, 0.154, 0.022, tool_momentum, 0.288, 0.153, 0.025, robot_mode, normal, 
26/04/2022 13:37:15:609, robot_pos_w_timestamp, 1650976534624, 490.99, 227.63, 359.05, 2.38, -0.07, 3.1, tool_force, -1.34, -0.28, -0.09, actual_rep, 1, curr_step, 43, track_size, 77, robot_vel, 42.11, joints_pos, 50.63, 34.18, -37.53, -91.41, -152.01, -63.04, -131.57, tool_torque, 0.408, 0.236, 0.036, tool_momentum, 0.411, 0.225, 0.038, robot_mode, normal, 
