26/04/2022 13:38:49: File Created!
26/04/2022 13:38:49:901, robot_pos_w_timestamp, 1650976628562, 536.69, 303.05, 194.85, 2.29, 0.04, 3.08, tool_force, 0.29, 0.14, 0.76, actual_rep, 1, curr_step, 1, track_size, 95, robot_vel, 44.65, joints_pos, 50.78, 56.47, -33.47, -81.07, -144.83, -48.83, -123.5, tool_torque, 0.464, -0.323, 0.229, tool_momentum, 0.464, -0.323, 0.229, robot_mode, normal, 
26/04/2022 13:38:49:983, robot_pos_w_timestamp, 1650976628681, 537.17, 302.83, 194.25, 2.29, 0.04, 3.08, tool_force, 0.98, 0.0, 1.02, actual_rep, 1, curr_step, 2, track_size, 95, robot_vel, 9.57, joints_pos, 50.76, 56.58, -33.52, -80.97, -144.83, -48.82, -123.7, tool_torque, 0.607, -0.459, 0.372, tool_momentum, 0.62, -0.459, 0.376, robot_mode, normal, 
26/04/2022 13:38:50:186, robot_pos_w_timestamp, 1650976628834, 541.43, 301.5, 195.22, 2.3, 0.05, 3.07, tool_force, 1.88, 0.53, -0.05, actual_rep, 1, curr_step, 4, track_size, 95, robot_vel, 35.22, joints_pos, 50.6, 56.72, -33.77, -80.69, -144.7, -48.24, -124.59, tool_torque, 0.923, -0.543, 0.523, tool_momentum, 0.92, -0.536, 0.522, robot_mode, normal, 
26/04/2022 13:38:50:289, robot_pos_w_timestamp, 1650976628980, 545.16, 295.97, 196.09, 2.31, 0.06, 3.06, tool_force, 1.33, 0.1, -0.63, actual_rep, 1, curr_step, 6, track_size, 95, robot_vel, 48.11, joints_pos, 50.23, 56.72, -34.1, -80.74, -144.44, -48.0, -125.48, tool_torque, 0.912, -0.483, 0.523, tool_momentum, 0.912, -0.489, 0.525, robot_mode, normal, 
26/04/2022 13:38:50:436, robot_pos_w_timestamp, 1650976629127, 548.47, 290.49, 196.34, 2.31, 0.06, 3.06, tool_force, 1.55, 0.41, 0.21, actual_rep, 1, curr_step, 7, track_size, 95, robot_vel, 46.87, joints_pos, 49.71, 56.74, -34.22, -80.72, -144.41, -47.93, -126.13, tool_torque, 0.963, -0.525, 0.537, tool_momentum, 0.959, -0.512, 0.537, robot_mode, normal, 
26/04/2022 13:38:50:601, robot_pos_w_timestamp, 1650976629291, 551.46, 283.94, 196.31, 2.3, 0.07, 3.07, tool_force, 1.81, -0.05, 0.48, actual_rep, 1, curr_step, 7, track_size, 95, robot_vel, 46.16, joints_pos, 49.23, 56.79, -34.37, -80.73, -144.84, -47.95, -126.14, tool_torque, 0.653, -0.509, 0.352, tool_momentum, 0.632, -0.497, 0.348, robot_mode, normal, 
26/04/2022 13:38:50:771, robot_pos_w_timestamp, 1650976629427, 553.75, 278.92, 196.32, 2.3, 0.07, 3.07, tool_force, 2.08, -0.03, 0.12, actual_rep, 1, curr_step, 8, track_size, 95, robot_vel, 41.13, joints_pos, 48.8, 56.81, -34.43, -80.73, -145.15, -47.99, -126.29, tool_torque, 0.678, -0.569, 0.453, tool_momentum, 0.681, -0.577, 0.453, robot_mode, normal, 
26/04/2022 13:38:50:884, robot_pos_w_timestamp, 1650976629573, 556.19, 273.07, 196.1, 2.3, 0.07, 3.07, tool_force, 1.7, 0.9, 0.07, actual_rep, 1, curr_step, 9, track_size, 95, robot_vel, 46.45, joints_pos, 48.25, 56.79, -34.42, -80.83, -145.21, -47.89, -126.63, tool_torque, 0.982, -0.541, 0.552, tool_momentum, 0.978, -0.524, 0.552, robot_mode, normal, 
26/04/2022 13:38:51:081, robot_pos_w_timestamp, 1650976629726, 558.43, 267.21, 195.99, 2.29, 0.08, 3.07, tool_force, 2.13, 0.75, -0.32, actual_rep, 1, curr_step, 10, track_size, 95, robot_vel, 44.98, joints_pos, 47.77, 56.74, -34.42, -80.97, -145.53, -47.65, -126.7, tool_torque, 1.039, -0.597, 0.572, tool_momentum, 1.03, -0.59, 0.572, robot_mode, normal, 
26/04/2022 13:38:51:203, robot_pos_w_timestamp, 1650976629886, 560.63, 260.91, 195.69, 2.29, 0.08, 3.08, tool_force, 1.88, 0.92, 0.38, actual_rep, 1, curr_step, 10, track_size, 95, robot_vel, 39.62, joints_pos, 47.2, 56.73, -34.41, -81.05, -145.76, -47.69, -127.06, tool_torque, 0.893, -0.632, 0.564, tool_momentum, 0.889, -0.628, 0.564, robot_mode, normal, 
26/04/2022 13:38:51:340, robot_pos_w_timestamp, 1650976630021, 562.49, 255.83, 195.38, 2.29, 0.08, 3.08, tool_force, 2.04, 0.66, 0.13, actual_rep, 1, curr_step, 11, track_size, 95, robot_vel, 41.06, joints_pos, 46.7, 56.73, -34.38, -81.09, -145.92, -47.71, -127.28, tool_torque, 0.853, -0.74, 0.567, tool_momentum, 0.855, -0.746, 0.567, robot_mode, normal, 
