26/04/2022 13:39:04: File Created!
26/04/2022 13:39:04:693, robot_pos_w_timestamp, 1650976643244, 536.68, 303.04, 194.88, 2.29, 0.04, 3.08, tool_force, 0.75, -0.19, 0.5, actual_rep, 1, curr_step, 1, track_size, 95, robot_vel, 10.39, joints_pos, 52.21, 57.29, -35.95, -81.06, -142.13, -49.71, -125.05, tool_torque, 0.5, -0.495, 0.454, tool_momentum, 0.499, -0.495, 0.454, robot_mode, rotation_overlay, 
26/04/2022 13:39:04:841, robot_pos_w_timestamp, 1650976643390, 537.74, 302.73, 194.38, 2.3, 0.04, 3.08, tool_force, 1.35, -0.04, 0.63, actual_rep, 1, curr_step, 3, track_size, 95, robot_vel, 13.01, joints_pos, 52.18, 57.47, -36.07, -80.89, -142.13, -49.7, -125.43, tool_torque, 0.59, -0.526, 0.493, tool_momentum, 0.589, -0.526, 0.493, robot_mode, rotation_overlay, 
26/04/2022 13:39:04:976, robot_pos_w_timestamp, 1650976643524, 541.81, 300.99, 195.35, 2.3, 0.05, 3.07, tool_force, 2.03, 0.44, -0.15, actual_rep, 1, curr_step, 5, track_size, 95, robot_vel, 38.27, joints_pos, 52.01, 57.56, -36.33, -80.7, -141.85, -49.09, -126.24, tool_torque, 0.904, -0.523, 0.525, tool_momentum, 0.897, -0.53, 0.524, robot_mode, rotation_overlay, 
26/04/2022 13:39:05:126, robot_pos_w_timestamp, 1650976643673, 545.6, 295.02, 195.99, 2.31, 0.06, 3.06, tool_force, 2.23, 0.46, 0.02, actual_rep, 1, curr_step, 6, track_size, 95, robot_vel, 43.8, joints_pos, 51.56, 57.58, -36.62, -80.75, -141.62, -48.89, -127.17, tool_torque, 0.967, -0.598, 0.536, tool_momentum, 0.969, -0.601, 0.536, robot_mode, rotation_overlay, 
26/04/2022 13:39:05:280, robot_pos_w_timestamp, 1650976643823, 549.02, 289.29, 196.33, 2.31, 0.06, 3.06, tool_force, 1.5, 0.1, -0.41, actual_rep, 1, curr_step, 7, track_size, 95, robot_vel, 45.07, joints_pos, 51.03, 57.6, -36.73, -80.73, -141.63, -48.83, -127.78, tool_torque, 0.879, -0.527, 0.531, tool_momentum, 0.883, -0.533, 0.531, robot_mode, rotation_overlay, 
26/04/2022 13:39:05:426, robot_pos_w_timestamp, 1650976643974, 551.76, 283.25, 196.3, 2.3, 0.07, 3.07, tool_force, 1.76, -0.27, 0.09, actual_rep, 1, curr_step, 8, track_size, 95, robot_vel, 49.94, joints_pos, 50.59, 57.65, -36.86, -80.73, -142.12, -48.84, -127.72, tool_torque, 0.651, -0.505, 0.365, tool_momentum, 0.647, -0.503, 0.366, robot_mode, rotation_overlay, 
26/04/2022 13:39:05:602, robot_pos_w_timestamp, 1650976644148, 554.67, 276.68, 196.22, 2.3, 0.07, 3.07, tool_force, 1.75, 0.31, 0.1, actual_rep, 1, curr_step, 8, track_size, 95, robot_vel, 42.45, joints_pos, 49.98, 57.65, -36.89, -80.77, -142.31, -48.85, -128.13, tool_torque, 0.844, -0.616, 0.55, tool_momentum, 0.844, -0.621, 0.55, robot_mode, rotation_overlay, 
26/04/2022 13:39:05:728, robot_pos_w_timestamp, 1650976644275, 556.75, 271.81, 196.09, 2.3, 0.07, 3.07, tool_force, 1.43, 0.6, 0.04, actual_rep, 1, curr_step, 9, track_size, 95, robot_vel, 42.53, joints_pos, 49.55, 57.63, -36.9, -80.85, -142.48, -48.71, -128.29, tool_torque, 0.962, -0.464, 0.523, tool_momentum, 0.968, -0.479, 0.523, robot_mode, rotation_overlay, 
26/04/2022 13:39:05:882, robot_pos_w_timestamp, 1650976644425, 558.82, 266.09, 195.95, 2.29, 0.08, 3.07, tool_force, 1.59, 1.02, 0.18, actual_rep, 1, curr_step, 10, track_size, 95, robot_vel, 38.51, joints_pos, 49.08, 57.59, -36.92, -81.0, -142.75, -48.51, -128.42, tool_torque, 1.04, -0.535, 0.538, tool_momentum, 1.047, -0.535, 0.538, robot_mode, rotation_overlay, 
26/04/2022 13:39:06:028, robot_pos_w_timestamp, 1650976644576, 560.86, 260.26, 195.66, 2.29, 0.08, 3.08, tool_force, 1.96, 0.55, 0.34, actual_rep, 1, curr_step, 10, track_size, 95, robot_vel, 38.27, joints_pos, 48.57, 57.59, -36.92, -81.06, -142.96, -48.55, -128.73, tool_torque, 0.816, -0.6, 0.524, tool_momentum, 0.812, -0.599, 0.524, robot_mode, rotation_overlay, 
26/04/2022 13:39:06:181, robot_pos_w_timestamp, 1650976644726, 562.94, 254.43, 195.32, 2.29, 0.08, 3.08, tool_force, 1.73, 0.5, 0.15, actual_rep, 1, curr_step, 11, track_size, 95, robot_vel, 40.85, joints_pos, 47.99, 57.59, -36.89, -81.11, -143.11, -48.58, -129.0, tool_torque, 0.829, -0.688, 0.561, tool_momentum, 0.83, -0.691, 0.561, robot_mode, rotation_overlay, 
