26/04/2022 13:47:19: File Created!
26/04/2022 13:47:19:945, robot_pos_w_timestamp, 1650977138266, 601.99, 292.08, 234.74, 2.44, -0.02, 3.06, tool_force, 0.04, -1.03, 0.39, actual_rep, 1, curr_step, 1, track_size, 77, robot_vel, 3.29, joints_pos, 49.75, 63.25, -47.23, -68.51, -129.74, -64.3, -140.12, tool_torque, 0.269, -0.29, 0.175, tool_momentum, 0.269, -0.289, 0.175, robot_mode, rotation_overlay, 
26/04/2022 13:47:20:041, robot_pos_w_timestamp, 1650977138396, 602.0, 292.09, 234.76, 2.44, -0.02, 3.06, tool_force, 0.04, -1.12, 0.45, actual_rep, 1, curr_step, 1, track_size, 77, robot_vel, 3.29, joints_pos, 49.75, 63.25, -47.23, -68.51, -129.74, -64.3, -140.12, tool_torque, 0.264, -0.292, 0.165, tool_momentum, 0.265, -0.291, 0.165, robot_mode, rotation_overlay, 
26/04/2022 13:47:20:242, robot_pos_w_timestamp, 1650977138584, 603.7, 288.07, 235.09, 2.44, -0.01, 3.06, tool_force, 1.24, -0.61, -0.22, actual_rep, 1, curr_step, 3, track_size, 77, robot_vel, 40.41, joints_pos, 49.67, 63.35, -47.69, -68.63, -129.77, -64.16, -140.52, tool_torque, 0.468, -0.162, 0.354, tool_momentum, 0.475, -0.156, 0.354, robot_mode, rotation_overlay, 
26/04/2022 13:47:20:342, robot_pos_w_timestamp, 1650977138698, 605.24, 283.86, 235.26, 2.44, 0.0, 3.06, tool_force, 0.95, -0.34, -0.09, actual_rep, 1, curr_step, 4, track_size, 77, robot_vel, 40.43, joints_pos, 49.53, 63.36, -47.95, -68.82, -129.68, -63.94, -141.17, tool_torque, 0.608, -0.248, 0.393, tool_momentum, 0.599, -0.239, 0.392, robot_mode, rotation_overlay, 
26/04/2022 13:47:20:461, robot_pos_w_timestamp, 1650977138849, 606.83, 278.07, 235.51, 2.45, 0.0, 3.07, tool_force, 1.12, -0.62, 0.17, actual_rep, 1, curr_step, 5, track_size, 77, robot_vel, 41.96, joints_pos, 49.24, 63.38, -48.23, -68.99, -129.81, -64.02, -141.76, tool_torque, 0.378, -0.412, 0.41, tool_momentum, 0.366, -0.405, 0.408, robot_mode, rotation_overlay, 
26/04/2022 13:47:20:645, robot_pos_w_timestamp, 1650977138999, 608.63, 272.35, 235.68, 2.45, 0.0, 3.07, tool_force, 0.41, 0.01, 0.64, actual_rep, 1, curr_step, 5, track_size, 77, robot_vel, 42.44, joints_pos, 48.88, 63.35, -48.34, -69.12, -130.01, -64.0, -142.21, tool_torque, 0.552, -0.282, 0.437, tool_momentum, 0.557, -0.282, 0.437, robot_mode, rotation_overlay, 
26/04/2022 13:47:20:767, robot_pos_w_timestamp, 1650977139158, 610.07, 266.2, 236.12, 2.45, 0.01, 3.07, tool_force, 0.43, 0.0, 0.66, actual_rep, 1, curr_step, 6, track_size, 77, robot_vel, 41.02, joints_pos, 48.51, 63.22, -48.42, -69.38, -130.28, -63.89, -142.59, tool_torque, 0.585, -0.211, 0.442, tool_momentum, 0.583, -0.215, 0.442, robot_mode, rotation_overlay, 
26/04/2022 13:47:20:918, robot_pos_w_timestamp, 1650977139300, 611.35, 260.78, 236.43, 2.44, 0.01, 3.08, tool_force, 1.48, -0.37, 0.0, actual_rep, 1, curr_step, 7, track_size, 77, robot_vel, 38.89, joints_pos, 48.14, 63.14, -48.44, -69.52, -130.58, -63.95, -142.71, tool_torque, 0.467, -0.451, 0.418, tool_momentum, 0.476, -0.452, 0.418, robot_mode, rotation_overlay, 
26/04/2022 13:47:21:058, robot_pos_w_timestamp, 1650977139451, 612.65, 254.97, 237.15, 2.44, 0.01, 3.08, tool_force, 0.7, 0.27, 0.58, actual_rep, 1, curr_step, 7, track_size, 77, robot_vel, 37.38, joints_pos, 47.77, 62.97, -48.46, -69.77, -130.89, -63.81, -142.82, tool_torque, 0.712, -0.33, 0.444, tool_momentum, 0.718, -0.33, 0.443, robot_mode, rotation_overlay, 
26/04/2022 13:47:21:248, robot_pos_w_timestamp, 1650977139599, 613.77, 249.26, 237.9, 2.43, 0.02, 3.08, tool_force, 0.66, 0.27, 0.5, actual_rep, 1, curr_step, 8, track_size, 77, robot_vel, 38.2, joints_pos, 47.45, 62.78, -48.49, -70.08, -131.16, -63.56, -142.94, tool_torque, 0.703, -0.206, 0.436, tool_momentum, 0.696, -0.196, 0.435, robot_mode, rotation_overlay, 
26/04/2022 13:47:21:365, robot_pos_w_timestamp, 1650977139751, 614.75, 243.41, 238.82, 2.42, 0.02, 3.08, tool_force, 0.91, 0.3, 0.29, actual_rep, 1, curr_step, 8, track_size, 77, robot_vel, 38.21, joints_pos, 47.15, 62.55, -48.53, -70.45, -131.45, -63.25, -143.07, tool_torque, 0.702, -0.264, 0.434, tool_momentum, 0.702, -0.265, 0.434, robot_mode, rotation_overlay, 
