26/04/2022 13:53:44: File Created!
26/04/2022 13:53:44:399, robot_pos_w_timestamp, 1650977523266, 601.79, 292.07, 235.91, 2.44, -0.02, 3.06, tool_force, -0.28, -0.83, 0.73, actual_rep, 1, curr_step, 1, track_size, 77, robot_vel, 0.03, joints_pos, 49.99, 63.32, -47.75, -68.59, -129.22, -64.54, -140.33, tool_torque, 0.245, -0.229, 0.234, tool_momentum, 0.243, -0.229, 0.234, robot_mode, rotation_overlay, 
26/04/2022 13:53:44:496, robot_pos_w_timestamp, 1650977523387, 602.33, 291.26, 235.15, 2.44, -0.02, 3.06, tool_force, 0.92, -0.88, 0.59, actual_rep, 1, curr_step, 2, track_size, 77, robot_vel, 15.36, joints_pos, 49.97, 63.43, -47.84, -68.58, -129.25, -64.36, -140.33, tool_torque, 0.385, -0.252, 0.283, tool_momentum, 0.395, -0.239, 0.285, robot_mode, rotation_overlay, 
26/04/2022 13:53:44:612, robot_pos_w_timestamp, 1650977523537, 604.41, 286.13, 235.42, 2.44, -0.01, 3.06, tool_force, 0.73, -0.33, -0.15, actual_rep, 1, curr_step, 3, track_size, 77, robot_vel, 34.21, joints_pos, 49.86, 63.53, -48.34, -68.77, -129.21, -64.17, -141.02, tool_torque, 0.559, -0.242, 0.374, tool_momentum, 0.565, -0.251, 0.374, robot_mode, rotation_overlay, 
26/04/2022 13:53:44:801, robot_pos_w_timestamp, 1650977523684, 606.22, 280.41, 235.42, 2.45, 0.0, 3.06, tool_force, 0.73, -0.35, -0.09, actual_rep, 1, curr_step, 4, track_size, 77, robot_vel, 41.52, joints_pos, 49.59, 63.57, -48.64, -68.95, -129.21, -64.16, -141.75, tool_torque, 0.511, -0.29, 0.405, tool_momentum, 0.503, -0.287, 0.405, robot_mode, rotation_overlay, 
26/04/2022 13:53:44:912, robot_pos_w_timestamp, 1650977523834, 607.98, 274.63, 235.56, 2.45, 0.0, 3.07, tool_force, 1.39, -0.22, 0.65, actual_rep, 1, curr_step, 5, track_size, 77, robot_vel, 37.33, joints_pos, 49.22, 63.59, -48.8, -69.04, -129.43, -64.26, -142.23, tool_torque, 0.387, -0.412, 0.409, tool_momentum, 0.38, -0.407, 0.409, robot_mode, rotation_overlay, 
26/04/2022 13:53:45:103, robot_pos_w_timestamp, 1650977523984, 609.53, 268.64, 235.92, 2.45, 0.01, 3.07, tool_force, 0.46, 0.0, 0.34, actual_rep, 1, curr_step, 6, track_size, 77, robot_vel, 41.51, joints_pos, 48.87, 63.48, -48.87, -69.29, -129.68, -64.1, -142.7, tool_torque, 0.597, -0.226, 0.435, tool_momentum, 0.613, -0.26, 0.436, robot_mode, rotation_overlay, 
26/04/2022 13:53:45:214, robot_pos_w_timestamp, 1650977524133, 610.82, 263.03, 236.27, 2.44, 0.01, 3.08, tool_force, 0.21, 0.18, 0.55, actual_rep, 1, curr_step, 6, track_size, 77, robot_vel, 41.49, joints_pos, 48.5, 63.38, -48.91, -69.47, -129.97, -64.12, -142.87, tool_torque, 0.576, -0.275, 0.435, tool_momentum, 0.586, -0.303, 0.435, robot_mode, rotation_overlay, 
26/04/2022 13:53:45:380, robot_pos_w_timestamp, 1650977524280, 612.23, 257.29, 236.85, 2.44, 0.01, 3.08, tool_force, 1.32, 0.17, 0.79, actual_rep, 1, curr_step, 7, track_size, 77, robot_vel, 37.84, joints_pos, 48.1, 63.26, -48.93, -69.64, -130.28, -64.1, -142.98, tool_torque, 0.556, -0.414, 0.438, tool_momentum, 0.555, -0.412, 0.437, robot_mode, rotation_overlay, 
26/04/2022 13:53:45:513, robot_pos_w_timestamp, 1650977524429, 613.35, 251.49, 237.54, 2.43, 0.02, 3.08, tool_force, 1.03, 0.34, 0.6, actual_rep, 1, curr_step, 8, track_size, 77, robot_vel, 40.76, joints_pos, 47.78, 63.08, -48.97, -69.94, -130.56, -63.88, -143.1, tool_torque, 0.677, -0.29, 0.43, tool_momentum, 0.666, -0.279, 0.43, robot_mode, rotation_overlay, 
26/04/2022 13:53:45:708, robot_pos_w_timestamp, 1650977524578, 614.41, 245.72, 238.47, 2.43, 0.02, 3.08, tool_force, 1.06, 0.37, 0.1, actual_rep, 1, curr_step, 8, track_size, 77, robot_vel, 35.39, joints_pos, 47.48, 62.86, -49.03, -70.3, -130.82, -63.59, -143.24, tool_torque, 0.737, -0.288, 0.454, tool_momentum, 0.731, -0.284, 0.453, robot_mode, rotation_overlay, 
26/04/2022 13:53:45:815, robot_pos_w_timestamp, 1650977524728, 615.25, 239.91, 239.39, 2.42, 0.03, 3.08, tool_force, 0.66, 0.41, 0.17, actual_rep, 1, curr_step, 9, track_size, 77, robot_vel, 38.23, joints_pos, 47.19, 62.64, -49.07, -70.67, -131.11, -63.34, -143.34, tool_torque, 0.732, -0.196, 0.452, tool_momentum, 0.732, -0.197, 0.452, robot_mode, rotation_overlay, 
26/04/2022 13:53:46:013, robot_pos_w_timestamp, 1650977524884, 615.92, 233.82, 240.42, 2.41, 0.03, 3.09, tool_force, 1.52, 0.14, 0.16, actual_rep, 1, curr_step, 9, track_size, 77, robot_vel, 34.29, joints_pos, 46.82, 62.41, -49.09, -70.96, -131.5, -63.35, -143.39, tool_torque, 0.645, -0.367, 0.454, tool_momentum, 0.639, -0.366, 0.454, robot_mode, rotation_overlay, 
26/04/2022 13:53:46:111, robot_pos_w_timestamp, 1650977525024, 616.29, 228.44, 241.36, 2.41, 0.03, 3.09, tool_force, 0.97, 0.29, 0.73, actual_rep, 1, curr_step, 10, track_size, 77, robot_vel, 36.48, joints_pos, 46.5, 62.2, -49.09, -71.25, -131.73, -63.36, -143.5, tool_torque, 0.689, -0.449, 0.491, tool_momentum, 0.71, -0.465, 0.493, robot_mode, rotation_overlay, 
26/04/2022 13:53:46:314, robot_pos_w_timestamp, 1650977525174, 616.43, 222.57, 242.43, 2.4, 0.03, 3.09, tool_force, 0.74, 0.42, 0.54, actual_rep, 1, curr_step, 11, track_size, 77, robot_vel, 39.67, joints_pos, 46.17, 61.9, -49.09, -71.68, -131.91, -63.27, -143.7, tool_torque, 0.76, -0.291, 0.489, tool_momentum, 0.773, -0.317, 0.49, robot_mode, rotation_overlay, 
26/04/2022 13:53:46:420, robot_pos_w_timestamp, 1650977525323, 615.99, 216.71, 243.26, 2.39, 0.03, 3.1, tool_force, 0.88, -0.26, 0.18, actual_rep, 1, curr_step, 11, track_size, 77, robot_vel, 41.35, joints_pos, 45.9, 61.64, -49.13, -72.15, -132.19, -63.27, -143.61, tool_torque, 0.564, -0.297, 0.251, tool_momentum, 0.583, -0.303, 0.252, robot_mode, rotation_overlay, 
26/04/2022 13:53:46:615, robot_pos_w_timestamp, 1650977525471, 615.29, 210.97, 244.0, 2.38, 0.03, 3.1, tool_force, 1.11, -0.13, 0.82, actual_rep, 1, curr_step, 12, track_size, 77, robot_vel, 38.32, joints_pos, 45.65, 61.36, -49.16, -72.64, -132.43, -63.29, -143.54, tool_torque, 0.547, -0.441, 0.282, tool_momentum, 0.544, -0.43, 0.282, robot_mode, rotation_overlay, 
26/04/2022 13:53:46:720, robot_pos_w_timestamp, 1650977525621, 614.21, 205.19, 244.68, 2.38, 0.03, 3.1, tool_force, 1.73, 0.05, 0.34, actual_rep, 1, curr_step, 13, track_size, 77, robot_vel, 41.19, joints_pos, 45.33, 61.0, -49.11, -73.24, -132.44, -63.33, -144.07, tool_torque, 0.583, -0.595, 0.47, tool_momentum, 0.586, -0.591, 0.47, robot_mode, rotation_overlay, 
26/04/2022 13:53:46:918, robot_pos_w_timestamp, 1650977525770, 612.65, 199.38, 245.19, 2.38, 0.02, 3.11, tool_force, 1.18, -0.15, 0.48, actual_rep, 1, curr_step, 13, track_size, 77, robot_vel, 39.36, joints_pos, 45.1, 60.67, -49.09, -73.85, -132.72, -63.36, -144.52, tool_torque, 0.534, -0.604, 0.493, tool_momentum, 0.54, -0.616, 0.495, robot_mode, rotation_overlay, 
26/04/2022 13:53:47:026, robot_pos_w_timestamp, 1650977525925, 610.57, 193.44, 245.68, 2.38, 0.02, 3.11, tool_force, 1.36, 0.22, 0.46, actual_rep, 1, curr_step, 14, track_size, 77, robot_vel, 42.83, joints_pos, 44.88, 60.29, -49.09, -74.58, -132.87, -63.39, -145.11, tool_torque, 0.6, -0.622, 0.484, tool_momentum, 0.571, -0.614, 0.481, robot_mode, rotation_overlay, 
