26/04/2022 15:26:11: File Created!
26/04/2022 15:26:11:213, robot_pos_w_timestamp, 1650983071363, 612.87, 280.93, 203.71, 2.36, -0.03, 3.07, tool_force, 0.3, 2.06, 7.42, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.0, joints_pos, 22.43, 57.46, 2.93, -66.98, 0.78, 52.39, 68.33, tool_torque, 0.394, -0.264, 0.396, robot_mode, normal, 
26/04/2022 15:26:11:317, robot_pos_w_timestamp, 1650983071500, 613.28, 279.79, 202.39, 2.36, -0.03, 3.07, tool_force, 2.36, 2.32, 7.08, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 24.72, joints_pos, 22.37, 57.58, 2.85, -66.98, 0.78, 52.31, 68.31, tool_torque, 0.559, -0.68, 0.452, robot_mode, normal, 
26/04/2022 15:26:11:473, robot_pos_w_timestamp, 1650983071656, 615.06, 273.81, 201.71, 2.35, -0.03, 3.08, tool_force, 0.36, 2.36, 7.78, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 34.11, joints_pos, 22.05, 57.57, 2.58, -67.08, 0.66, 52.42, 68.16, tool_torque, 0.237, -0.169, 0.347, robot_mode, normal, 
26/04/2022 15:26:11:621, robot_pos_w_timestamp, 1650983071802, 616.03, 268.27, 201.11, 2.35, -0.02, 3.08, tool_force, 0.22, 1.86, 7.56, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 36.34, joints_pos, 21.74, 57.49, 2.45, -67.33, 0.18, 52.42, 68.42, tool_torque, 0.126, -0.03, 0.08, robot_mode, normal, 
26/04/2022 15:26:11:771, robot_pos_w_timestamp, 1650983071952, 617.0, 262.35, 200.53, 2.34, -0.01, 3.09, tool_force, 0.2, 2.46, 8.06, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 38.8, joints_pos, 21.35, 57.42, 2.4, -67.56, -0.27, 52.5, 68.54, tool_torque, 0.213, -0.137, 0.132, robot_mode, normal, 
26/04/2022 15:26:11:923, robot_pos_w_timestamp, 1650983072107, 617.89, 256.43, 199.89, 2.34, -0.01, 3.09, tool_force, 0.36, 2.12, 7.79, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 37.51, joints_pos, 20.87, 57.37, 2.43, -67.77, -0.56, 52.62, 68.37, tool_torque, 0.17, -0.204, 0.346, robot_mode, normal, 
26/04/2022 15:26:12:074, robot_pos_w_timestamp, 1650983072256, 618.78, 250.76, 199.39, 2.34, -0.01, 3.1, tool_force, -0.12, 2.48, 7.71, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 20.05, joints_pos, 20.4, 57.27, 2.48, -68.05, -0.92, 52.55, 68.34, tool_torque, 0.325, -0.092, 0.345, robot_mode, normal, 
26/04/2022 15:26:12:222, robot_pos_w_timestamp, 1650983072407, 619.18, 244.98, 198.84, 2.33, 0.0, 3.1, tool_force, 0.19, 2.74, 7.39, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 43.95, joints_pos, 19.96, 57.11, 2.49, -68.48, -1.23, 52.32, 68.34, tool_torque, 0.467, -0.181, 0.374, robot_mode, normal, 
26/04/2022 15:26:12:371, robot_pos_w_timestamp, 1650983072557, 619.53, 239.21, 198.42, 2.33, 0.0, 3.1, tool_force, 0.32, 2.4, 7.56, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.36, joints_pos, 19.51, 56.96, 2.49, -68.86, -1.46, 52.23, 68.31, tool_torque, 0.395, -0.21, 0.409, robot_mode, normal, 
26/04/2022 15:26:12:522, robot_pos_w_timestamp, 1650983072708, 619.94, 233.46, 198.0, 2.32, 0.0, 3.11, tool_force, 0.2, 2.67, 7.63, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 40.13, joints_pos, 19.05, 56.84, 2.5, -69.17, -1.65, 52.23, 68.27, tool_torque, 0.407, -0.185, 0.417, robot_mode, normal, 
26/04/2022 15:26:12:676, robot_pos_w_timestamp, 1650983072857, 620.04, 227.66, 197.75, 2.32, 0.0, 3.11, tool_force, 0.29, 2.41, 7.59, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 38.47, joints_pos, 18.59, 56.68, 2.51, -69.54, -1.82, 52.25, 68.21, tool_torque, 0.361, -0.256, 0.435, robot_mode, normal, 
26/04/2022 15:26:12:860, robot_pos_w_timestamp, 1650983073009, 620.16, 221.83, 197.5, 2.31, 0.0, 3.12, tool_force, 0.19, 2.5, 7.92, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 38.0, joints_pos, 18.13, 56.54, 2.51, -69.87, -1.96, 52.29, 68.12, tool_torque, 0.264, -0.231, 0.428, robot_mode, normal, 
26/04/2022 15:26:12:978, robot_pos_w_timestamp, 1650983073159, 620.05, 216.1, 197.48, 2.31, 0.0, 3.12, tool_force, 0.95, 2.42, 7.69, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 39.23, joints_pos, 17.69, 56.34, 2.51, -70.28, -2.28, 52.3, 68.13, tool_torque, 0.285, -0.251, 0.329, robot_mode, normal, 
26/04/2022 15:26:13:127, robot_pos_w_timestamp, 1650983073310, 619.92, 210.24, 197.47, 2.3, 0.01, 3.13, tool_force, 0.1, 2.59, 7.66, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 39.09, joints_pos, 17.29, 56.15, 2.47, -70.66, -2.59, 52.28, 68.2, tool_torque, 0.248, -0.026, 0.198, robot_mode, normal, 
26/04/2022 15:26:13:276, robot_pos_w_timestamp, 1650983073461, 619.41, 204.51, 197.54, 2.3, 0.01, 3.13, tool_force, 0.7, 2.47, 7.68, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 37.64, joints_pos, 16.81, 55.93, 2.51, -71.1, -2.72, 52.33, 68.0, tool_torque, 0.267, -0.276, 0.423, robot_mode, normal, 
26/04/2022 15:26:13:426, robot_pos_w_timestamp, 1650983073611, 618.88, 198.72, 197.62, 2.3, 0.0, 3.14, tool_force, 0.58, 2.54, 7.81, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 35.63, joints_pos, 16.31, 55.73, 2.56, -71.48, -2.73, 52.47, 67.62, tool_torque, 0.254, -0.365, 0.532, robot_mode, normal, 
26/04/2022 15:26:13:577, robot_pos_w_timestamp, 1650983073764, 618.18, 192.88, 197.99, 2.3, 0.0, 3.14, tool_force, 0.2, 2.23, 7.48, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 39.13, joints_pos, 15.81, 55.47, 2.59, -71.96, -2.78, 52.5, 67.22, tool_torque, 0.284, -0.261, 0.496, robot_mode, normal, 
26/04/2022 15:26:13:731, robot_pos_w_timestamp, 1650983073916, 617.35, 187.11, 198.34, 2.3, 0.0, -3.14, tool_force, 0.58, 2.85, 7.34, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 38.68, joints_pos, 15.33, 55.18, 2.6, -72.49, -2.82, 52.43, 66.82, tool_torque, 0.466, -0.326, 0.523, robot_mode, normal, 
26/04/2022 15:26:13:884, robot_pos_w_timestamp, 1650983074067, 616.07, 181.3, 198.76, 2.3, 0.0, -3.14, tool_force, 0.07, 2.76, 7.83, actual_rep, 1, curr_step, 11, track_size, 99, robot_vel, 35.13, joints_pos, 14.88, 54.86, 2.6, -73.05, -2.95, 52.43, 66.48, tool_torque, 0.421, -0.261, 0.545, robot_mode, normal, 
26/04/2022 15:26:14:033, robot_pos_w_timestamp, 1650983074218, 614.72, 175.38, 199.21, 2.3, 0.0, -3.13, tool_force, 0.16, 2.72, 7.46, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 38.52, joints_pos, 14.42, 54.54, 2.6, -73.63, -3.05, 52.43, 66.04, tool_torque, 0.423, -0.292, 0.53, robot_mode, normal, 
26/04/2022 15:26:14:184, robot_pos_w_timestamp, 1650983074370, 612.91, 169.62, 199.83, 2.3, 0.0, -3.13, tool_force, 0.65, 3.13, 8.07, actual_rep, 1, curr_step, 12, track_size, 99, robot_vel, 40.01, joints_pos, 13.85, 54.15, 2.71, -74.33, -2.9, 52.31, 65.26, tool_torque, 0.551, -0.367, 0.573, robot_mode, normal, 
26/04/2022 15:26:14:334, robot_pos_w_timestamp, 1650983074521, 611.03, 163.87, 200.51, 2.31, -0.01, -3.13, tool_force, 0.75, 3.08, 7.4, actual_rep, 1, curr_step, 13, track_size, 99, robot_vel, 42.77, joints_pos, 13.27, 53.75, 2.81, -75.02, -2.73, 52.18, 64.38, tool_torque, 0.608, -0.481, 0.602, robot_mode, normal, 
26/04/2022 15:26:14:488, robot_pos_w_timestamp, 1650983074673, 608.87, 158.0, 201.28, 2.31, -0.01, -3.13, tool_force, 0.23, 3.08, 7.14, actual_rep, 1, curr_step, 14, track_size, 99, robot_vel, 44.28, joints_pos, 12.69, 53.29, 2.86, -75.79, -2.4, 52.02, 63.31, tool_torque, 0.566, -0.335, 0.564, robot_mode, normal, 
26/04/2022 15:26:14:652, robot_pos_w_timestamp, 1650983074833, 606.56, 151.89, 202.11, 2.32, -0.02, -3.13, tool_force, 0.13, 3.06, 7.71, actual_rep, 1, curr_step, 14, track_size, 99, robot_vel, 42.23, joints_pos, 12.17, 52.81, 2.86, -76.61, -2.28, 51.77, 62.3, tool_torque, 0.559, -0.285, 0.532, robot_mode, normal, 
26/04/2022 15:26:14:796, robot_pos_w_timestamp, 1650983074979, 604.44, 146.13, 202.83, 2.33, -0.02, -3.13, tool_force, 0.13, 2.73, 7.19, actual_rep, 1, curr_step, 15, track_size, 99, robot_vel, 41.96, joints_pos, 11.67, 52.33, 2.86, -77.48, -2.11, 51.26, 61.28, tool_torque, 0.557, -0.245, 0.51, robot_mode, normal, 
26/04/2022 15:26:14:949, robot_pos_w_timestamp, 1650983075130, 601.8, 140.32, 203.6, 2.34, -0.02, -3.14, tool_force, -0.29, 2.8, 7.83, actual_rep, 1, curr_step, 16, track_size, 99, robot_vel, 40.14, joints_pos, 11.16, 51.75, 2.85, -78.5, -1.92, 50.56, 60.34, tool_torque, 0.618, -0.186, 0.49, robot_mode, normal, 
26/04/2022 15:26:15:097, robot_pos_w_timestamp, 1650983075278, 598.53, 134.56, 204.14, 2.34, -0.01, -3.14, tool_force, -0.4, 2.38, 6.81, actual_rep, 1, curr_step, 17, track_size, 99, robot_vel, 45.87, joints_pos, 10.8, 51.1, 2.74, -79.7, -2.11, 49.63, 59.86, tool_torque, 0.447, -0.097, 0.493, robot_mode, normal, 
26/04/2022 15:26:15:251, robot_pos_w_timestamp, 1650983075428, 593.76, 128.72, 204.51, 2.35, -0.01, 3.13, tool_force, 0.01, 2.94, 7.58, actual_rep, 1, curr_step, 18, track_size, 99, robot_vel, 49.33, joints_pos, 10.24, 50.31, 2.83, -81.24, -2.0, 48.47, 58.93, tool_torque, 0.547, -0.303, 0.52, robot_mode, normal, 
26/04/2022 15:26:15:400, robot_pos_w_timestamp, 1650983075576, 587.69, 123.42, 204.93, 2.35, -0.01, 3.13, tool_force, 0.15, 2.43, 7.56, actual_rep, 1, curr_step, 19, track_size, 99, robot_vel, 53.55, joints_pos, 9.74, 49.52, 2.92, -82.78, -1.8, 47.72, 58.31, tool_torque, 0.598, -0.34, 0.508, robot_mode, normal, 
26/04/2022 15:26:15:552, robot_pos_w_timestamp, 1650983075726, 582.41, 118.42, 205.33, 2.35, -0.02, 3.13, tool_force, -0.24, 2.56, 7.39, actual_rep, 1, curr_step, 20, track_size, 99, robot_vel, 44.35, joints_pos, 9.24, 48.81, 2.94, -84.14, -1.26, 46.98, 57.49, tool_torque, 0.62, -0.271, 0.522, robot_mode, normal, 
26/04/2022 15:26:15:701, robot_pos_w_timestamp, 1650983075874, 576.3, 113.81, 206.15, 2.35, -0.02, 3.12, tool_force, 0.2, 2.64, 7.83, actual_rep, 1, curr_step, 21, track_size, 99, robot_vel, 42.79, joints_pos, 8.85, 47.97, 2.94, -85.68, -0.96, 46.16, 56.93, tool_torque, 0.684, -0.378, 0.5, robot_mode, normal, 
26/04/2022 15:26:15:870, robot_pos_w_timestamp, 1650983076040, 569.91, 109.31, 207.18, 2.35, -0.02, 3.12, tool_force, 0.04, 2.67, 7.57, actual_rep, 1, curr_step, 22, track_size, 99, robot_vel, 44.93, joints_pos, 8.49, 47.12, 2.94, -87.2, -0.87, 45.44, 56.55, tool_torque, 0.651, -0.302, 0.499, robot_mode, normal, 
26/04/2022 15:26:16:003, robot_pos_w_timestamp, 1650983076172, 564.91, 106.12, 208.27, 2.35, -0.02, 3.12, tool_force, -0.04, 2.82, 7.93, actual_rep, 1, curr_step, 24, track_size, 99, robot_vel, 44.66, joints_pos, 8.29, 46.42, 2.92, -88.4, -0.97, 44.78, 56.4, tool_torque, 0.649, -0.26, 0.451, robot_mode, normal, 
26/04/2022 15:26:16:155, robot_pos_w_timestamp, 1650983076323, 558.97, 103.28, 209.82, 2.35, -0.01, 3.12, tool_force, 0.13, 2.44, 8.19, actual_rep, 1, curr_step, 25, track_size, 99, robot_vel, 44.33, joints_pos, 8.15, 45.5, 2.87, -89.92, -1.09, 43.7, 56.37, tool_torque, 0.579, -0.233, 0.398, robot_mode, normal, 
26/04/2022 15:26:16:310, robot_pos_w_timestamp, 1650983076480, 552.79, 101.45, 211.52, 2.35, -0.01, 3.11, tool_force, 0.13, 2.74, 7.73, actual_rep, 1, curr_step, 26, track_size, 99, robot_vel, 43.77, joints_pos, 7.94, 44.71, 2.95, -91.18, -0.73, 43.3, 55.99, tool_torque, 0.7, -0.354, 0.49, robot_mode, normal, 
26/04/2022 15:26:16:454, robot_pos_w_timestamp, 1650983076620, 547.44, 100.37, 212.81, 2.35, -0.02, 3.11, tool_force, -0.08, 2.29, 7.89, actual_rep, 1, curr_step, 27, track_size, 99, robot_vel, 36.69, joints_pos, 7.84, 44.05, 2.98, -92.24, -0.42, 42.95, 55.71, tool_torque, 0.692, -0.33, 0.472, robot_mode, normal, 
