26/04/2022 15:27:10: File Created!
26/04/2022 15:27:10:484, robot_pos_w_timestamp, 1650983130535, 614.43, 276.64, 201.99, 2.36, -0.03, 3.07, tool_force, -0.94, 0.81, 7.33, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.05, joints_pos, 21.65, 57.6, 3.63, -67.03, 0.12, 52.27, 68.33, tool_torque, 0.036, 0.315, 0.189, robot_mode, normal, 
26/04/2022 15:27:10:575, robot_pos_w_timestamp, 1650983130665, 614.43, 276.65, 202.0, 2.36, -0.03, 3.07, tool_force, -0.91, 0.71, 7.35, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.05, joints_pos, 21.65, 57.6, 3.63, -67.03, 0.12, 52.27, 68.32, tool_torque, 0.02, 0.309, 0.213, robot_mode, normal, 
26/04/2022 15:27:10:742, robot_pos_w_timestamp, 1650983130806, 614.75, 275.78, 201.9, 2.36, -0.03, 3.07, tool_force, 1.11, 1.83, 7.15, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 4.7, joints_pos, 21.62, 57.6, 3.49, -67.05, 0.09, 52.3, 68.37, tool_torque, 0.131, -0.039, 0.189, robot_mode, normal, 
26/04/2022 15:27:10:871, robot_pos_w_timestamp, 1650983130955, 615.93, 270.3, 201.3, 2.35, -0.02, 3.08, tool_force, -0.17, 1.64, 7.46, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 29.46, joints_pos, 21.47, 57.56, 3.17, -67.19, -0.22, 52.42, 68.56, tool_torque, 0.029, 0.123, 0.037, robot_mode, normal, 
26/04/2022 15:27:11:025, robot_pos_w_timestamp, 1650983131106, 616.77, 264.33, 200.72, 2.34, -0.01, 3.09, tool_force, -0.23, 1.92, 7.78, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 36.81, joints_pos, 21.13, 57.46, 3.04, -67.48, -0.78, 52.45, 68.85, tool_torque, 0.078, 0.06, 0.053, robot_mode, normal, 
26/04/2022 15:27:11:171, robot_pos_w_timestamp, 1650983131252, 617.63, 258.56, 200.12, 2.34, -0.01, 3.09, tool_force, -0.14, 1.98, 7.95, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 38.65, joints_pos, 20.66, 57.4, 3.09, -67.7, -1.12, 52.56, 68.76, tool_torque, 0.139, -0.113, 0.265, robot_mode, normal, 
26/04/2022 15:27:11:319, robot_pos_w_timestamp, 1650983131403, 618.43, 252.77, 199.56, 2.34, -0.01, 3.1, tool_force, -0.19, 1.96, 7.67, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 41.04, joints_pos, 20.16, 57.34, 3.19, -67.93, -1.5, 52.65, 68.72, tool_torque, 0.191, -0.126, 0.321, robot_mode, normal, 
26/04/2022 15:27:11:473, robot_pos_w_timestamp, 1650983131550, 618.99, 247.0, 199.01, 2.33, -0.01, 3.1, tool_force, -0.25, 2.43, 7.51, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 41.73, joints_pos, 19.71, 57.18, 3.2, -68.35, -1.84, 52.4, 68.72, tool_torque, 0.407, -0.092, 0.294, robot_mode, normal, 
26/04/2022 15:27:11:621, robot_pos_w_timestamp, 1650983131700, 619.49, 241.24, 198.59, 2.33, 0.0, 3.1, tool_force, -0.18, 2.57, 7.82, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 37.72, joints_pos, 19.27, 57.04, 3.2, -68.71, -2.09, 52.27, 68.72, tool_torque, 0.392, -0.011, 0.296, robot_mode, normal, 
26/04/2022 15:27:11:783, robot_pos_w_timestamp, 1650983131856, 619.83, 235.24, 198.16, 2.33, 0.0, 3.11, tool_force, 0.23, 2.68, 7.56, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 36.66, joints_pos, 18.8, 56.89, 3.2, -69.07, -2.31, 52.24, 68.67, tool_torque, 0.401, -0.151, 0.384, robot_mode, normal, 
26/04/2022 15:27:11:980, robot_pos_w_timestamp, 1650983132010, 620.22, 229.25, 197.7, 2.32, 0.0, 3.11, tool_force, 0.7, 2.65, 7.56, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 37.49, joints_pos, 18.32, 56.77, 3.21, -69.4, -2.52, 52.24, 68.63, tool_torque, 0.425, -0.277, 0.421, robot_mode, rotation_overlay, 
26/04/2022 15:27:12:124, robot_pos_w_timestamp, 1650983132138, 620.15, 228.32, 197.46, 2.32, 0.0, 3.11, tool_force, 0.75, 3.18, 7.55, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 0.71, joints_pos, 18.09, 56.77, 3.48, -69.46, -2.74, 52.23, 68.7, tool_torque, 0.42, -0.194, 0.278, robot_mode, rotation_overlay, 
26/04/2022 15:27:12:278, robot_pos_w_timestamp, 1650983132290, 620.61, 226.16, 196.33, 2.34, 0.0, 3.11, tool_force, -0.17, 1.66, 7.23, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 18.04, joints_pos, 17.96, 56.86, 3.42, -69.47, -2.88, 52.25, 67.56, tool_torque, 0.206, -0.135, 0.442, robot_mode, rotation_overlay, 
26/04/2022 15:27:12:386, robot_pos_w_timestamp, 1650983132435, 620.45, 223.48, 196.63, 2.39, 0.0, 3.12, tool_force, 0.68, 2.38, 7.35, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 25.2, joints_pos, 17.74, 56.73, 3.42, -69.67, -2.92, 52.32, 64.51, tool_torque, 0.306, -0.301, 0.514, robot_mode, rotation_overlay, 
26/04/2022 15:27:12:571, robot_pos_w_timestamp, 1650983132588, 620.36, 220.46, 196.82, 2.45, 0.0, 3.12, tool_force, -0.34, 2.18, 7.84, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 21.58, joints_pos, 17.43, 56.62, 3.54, -69.88, -3.06, 52.33, 60.8, tool_torque, 0.288, -0.243, 0.543, robot_mode, rotation_overlay, 
26/04/2022 15:27:12:687, robot_pos_w_timestamp, 1650983132733, 620.27, 217.64, 197.08, 2.48, 0.0, 3.12, tool_force, 0.05, 1.98, 7.6, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 21.55, joints_pos, 17.18, 56.49, 3.57, -70.08, -3.14, 52.36, 58.96, tool_torque, 0.258, -0.295, 0.538, robot_mode, rotation_overlay, 
26/04/2022 15:27:12:852, robot_pos_w_timestamp, 1650983132864, 620.14, 216.51, 197.3, 2.48, 0.0, 3.12, tool_force, 0.45, 2.84, 7.46, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 5.75, joints_pos, 17.11, 56.43, 3.56, -70.19, -3.16, 52.35, 58.69, tool_torque, 0.396, -0.232, 0.428, robot_mode, rotation_overlay, 
26/04/2022 15:27:12:989, robot_pos_w_timestamp, 1650983133011, 620.29, 215.48, 196.03, 2.47, 0.0, 3.12, tool_force, -0.68, 2.37, 8.09, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 12.39, joints_pos, 17.02, 56.53, 3.55, -70.19, -3.16, 52.3, 59.42, tool_torque, 0.257, 0.06, 0.04, robot_mode, rotation_overlay, 
26/04/2022 15:27:13:141, robot_pos_w_timestamp, 1650983133162, 620.33, 213.63, 196.26, 2.42, 0.0, 3.12, tool_force, -0.22, 1.86, 7.7, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 10.33, joints_pos, 16.88, 56.46, 3.55, -70.31, -3.24, 52.32, 62.12, tool_torque, 0.17, -0.013, 0.035, robot_mode, rotation_overlay, 
26/04/2022 15:27:13:291, robot_pos_w_timestamp, 1650983133311, 620.29, 211.48, 196.5, 2.34, 0.0, 3.12, tool_force, -0.92, 2.43, 7.88, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 15.22, joints_pos, 16.85, 56.34, 3.36, -70.49, -3.29, 52.26, 66.76, tool_torque, 0.262, 0.319, -0.07, robot_mode, rotation_overlay, 
26/04/2022 15:27:13:467, robot_pos_w_timestamp, 1650983133461, 620.13, 209.67, 196.76, 2.24, 0.01, 3.13, tool_force, -0.98, 2.06, 7.48, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 13.85, joints_pos, 16.88, 56.22, 3.06, -70.67, -3.21, 52.26, 73.04, tool_torque, 0.122, 0.472, -0.157, robot_mode, rotation_overlay, 
26/04/2022 15:27:13:591, robot_pos_w_timestamp, 1650983133609, 619.99, 207.87, 196.98, 2.17, 0.01, 3.13, tool_force, -0.61, 2.1, 7.38, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 12.96, joints_pos, 16.86, 56.14, 2.92, -70.79, -3.2, 52.26, 76.15, tool_torque, 0.209, 0.348, -0.155, robot_mode, rotation_overlay, 
26/04/2022 15:27:13:741, robot_pos_w_timestamp, 1650983133758, 619.84, 205.99, 197.2, 2.13, 0.01, 3.13, tool_force, -0.18, 2.43, 7.74, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 13.06, joints_pos, 16.76, 56.04, 2.86, -70.94, -3.27, 52.27, 78.16, tool_torque, 0.221, 0.223, -0.151, robot_mode, rotation_overlay, 
26/04/2022 15:27:13:925, robot_pos_w_timestamp, 1650983133906, 619.69, 204.81, 197.45, 2.13, 0.01, 3.13, tool_force, 0.02, 2.13, 7.37, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 4.65, joints_pos, 16.6, 55.97, 3.0, -71.04, -3.42, 52.27, 78.52, tool_torque, 0.239, 0.072, -0.052, robot_mode, rotation_overlay, 
26/04/2022 15:27:14:052, robot_pos_w_timestamp, 1650983134042, 619.53, 203.99, 196.36, 2.13, 0.01, 3.13, tool_force, 0.85, 2.18, 7.4, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 16.03, joints_pos, 16.57, 56.05, 2.94, -71.09, -3.43, 52.23, 78.01, tool_torque, 0.356, -0.172, 0.292, robot_mode, rotation_overlay, 
26/04/2022 15:27:14:195, robot_pos_w_timestamp, 1650983134187, 619.63, 202.5, 196.43, 2.17, 0.01, 3.13, tool_force, 0.75, 2.58, 7.73, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 9.51, joints_pos, 16.38, 56.02, 3.02, -71.13, -3.43, 52.34, 75.57, tool_torque, 0.248, -0.338, 0.432, robot_mode, rotation_overlay, 
26/04/2022 15:27:14:351, robot_pos_w_timestamp, 1650983134338, 619.33, 200.63, 196.68, 2.24, 0.01, 3.13, tool_force, 0.28, 2.28, 7.98, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 11.33, joints_pos, 16.12, 55.92, 3.17, -71.29, -3.5, 52.37, 71.16, tool_torque, 0.203, -0.366, 0.492, robot_mode, rotation_overlay, 
26/04/2022 15:27:14:496, robot_pos_w_timestamp, 1650983134485, 619.06, 198.89, 196.96, 2.34, 0.0, 3.14, tool_force, 0.62, 2.2, 7.76, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 13.59, joints_pos, 15.84, 55.84, 3.4, -71.43, -3.65, 52.43, 65.49, tool_torque, 0.239, -0.355, 0.55, robot_mode, rotation_overlay, 
26/04/2022 15:27:14:668, robot_pos_w_timestamp, 1650983134635, 618.81, 196.82, 197.27, 2.43, 0.0, 3.14, tool_force, 0.36, 2.49, 7.91, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 12.48, joints_pos, 15.6, 55.74, 3.51, -71.58, -3.7, 52.53, 60.66, tool_torque, 0.28, -0.375, 0.57, robot_mode, rotation_overlay, 
26/04/2022 15:27:14:797, robot_pos_w_timestamp, 1650983134783, 618.55, 195.26, 197.51, 2.46, 0.0, 3.14, tool_force, 0.2, 2.28, 7.77, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 12.58, joints_pos, 15.48, 55.66, 3.49, -71.7, -3.69, 52.59, 58.56, tool_torque, 0.258, -0.345, 0.549, robot_mode, rotation_overlay, 
26/04/2022 15:27:14:964, robot_pos_w_timestamp, 1650983134933, 618.32, 193.83, 197.85, 2.47, 0.0, 3.14, tool_force, -0.55, 2.06, 7.79, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 9.4, joints_pos, 15.43, 55.58, 3.37, -71.8, -3.47, 52.65, 57.77, tool_torque, 0.165, -0.096, 0.452, robot_mode, rotation_overlay, 
