26/04/2022 15:27:41: File Created!
26/04/2022 15:27:41:118, robot_pos_w_timestamp, 1650983160840, 614.41, 276.64, 202.0, 2.36, -0.03, 3.07, tool_force, -0.91, 0.6, 7.38, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.04, joints_pos, 21.08, 57.63, 4.66, -67.04, -0.97, 52.27, 68.92, tool_torque, 0.0030, 0.334, 0.202, robot_mode, normal, 
26/04/2022 15:27:41:269, robot_pos_w_timestamp, 1650983160990, 614.95, 274.91, 201.79, 2.36, -0.03, 3.07, tool_force, 1.21, 1.81, 6.9, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 8.36, joints_pos, 21.04, 57.63, 4.48, -67.06, -1.06, 52.34, 69.03, tool_torque, 0.103, -0.015, 0.163, robot_mode, normal, 
26/04/2022 15:27:41:415, robot_pos_w_timestamp, 1650983161140, 615.96, 269.35, 201.19, 2.35, -0.02, 3.08, tool_force, 0.17, 1.74, 7.79, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 28.58, joints_pos, 20.81, 57.57, 4.23, -67.25, -1.46, 52.43, 69.26, tool_torque, 0.039, 0.114, 0.0040, robot_mode, normal, 
26/04/2022 15:27:41:566, robot_pos_w_timestamp, 1650983161288, 616.84, 263.62, 200.62, 2.34, -0.01, 3.09, tool_force, 0.08, 1.92, 7.87, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 39.53, joints_pos, 20.47, 57.49, 4.15, -67.51, -1.99, 52.48, 69.49, tool_torque, 0.071, 0.041, 0.052, robot_mode, normal, 
26/04/2022 15:27:41:717, robot_pos_w_timestamp, 1650983161440, 617.72, 257.76, 200.03, 2.34, -0.01, 3.09, tool_force, -0.18, 2.15, 8.04, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 40.73, joints_pos, 19.98, 57.43, 4.2, -67.72, -2.3, 52.61, 69.39, tool_torque, 0.106, -0.025, 0.239, robot_mode, normal, 
26/04/2022 15:27:41:867, robot_pos_w_timestamp, 1650983161590, 618.53, 252.04, 199.51, 2.34, -0.01, 3.1, tool_force, 0.09, 2.28, 7.91, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 35.56, joints_pos, 19.51, 57.35, 4.25, -67.98, -2.67, 52.64, 69.34, tool_torque, 0.239, -0.102, 0.306, robot_mode, normal, 
26/04/2022 15:27:42:017, robot_pos_w_timestamp, 1650983161741, 619.09, 246.19, 198.97, 2.33, -0.01, 3.1, tool_force, 0.06, 2.51, 7.48, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 38.65, joints_pos, 19.06, 57.19, 4.26, -68.4, -2.98, 52.39, 69.34, tool_torque, 0.417, -0.045, 0.301, robot_mode, normal, 
26/04/2022 15:27:42:174, robot_pos_w_timestamp, 1650983161893, 619.54, 240.27, 198.5, 2.33, 0.0, 3.1, tool_force, -0.15, 2.65, 7.61, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 38.19, joints_pos, 18.6, 57.04, 4.25, -68.78, -3.24, 52.27, 69.34, tool_torque, 0.429, -0.039, 0.303, robot_mode, normal, 
26/04/2022 15:27:42:324, robot_pos_w_timestamp, 1650983162044, 619.89, 234.61, 198.11, 2.32, 0.0, 3.11, tool_force, -0.09, 2.53, 7.63, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 38.22, joints_pos, 18.15, 56.91, 4.25, -69.1, -3.44, 52.26, 69.29, tool_torque, 0.375, -0.048, 0.332, robot_mode, normal, 
26/04/2022 15:27:42:481, robot_pos_w_timestamp, 1650983162201, 620.25, 228.71, 197.66, 2.32, 0.0, 3.11, tool_force, 0.89, 2.96, 7.88, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 36.61, joints_pos, 17.68, 56.79, 4.26, -69.43, -3.65, 52.26, 69.25, tool_torque, 0.462, -0.263, 0.367, robot_mode, rotation_overlay, 
26/04/2022 15:27:42:647, robot_pos_w_timestamp, 1650983162349, 620.12, 228.18, 197.15, 2.32, 0.0, 3.11, tool_force, 0.81, 1.05, 5.47, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 23.89, joints_pos, 17.51, 56.83, 4.46, -69.46, -3.8, 52.25, 69.27, tool_torque, 0.205, -0.051, 0.269, robot_mode, rotation_overlay, 
26/04/2022 15:27:42:772, robot_pos_w_timestamp, 1650983162479, 620.58, 226.19, 196.4, 2.34, 0.0, 3.11, tool_force, 0.15, 1.77, 7.24, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 15.62, joints_pos, 17.4, 56.88, 4.4, -69.48, -3.91, 52.29, 68.11, tool_torque, 0.19, -0.099, 0.388, robot_mode, rotation_overlay, 
26/04/2022 15:27:42:923, robot_pos_w_timestamp, 1650983162629, 620.35, 223.35, 196.61, 2.39, 0.0, 3.12, tool_force, 1.03, 1.82, 7.64, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 18.9, joints_pos, 17.13, 56.76, 4.48, -69.7, -3.99, 52.34, 64.84, tool_torque, 0.272, -0.216, 0.485, robot_mode, rotation_overlay, 
