29/04/2022 15:41:55: File Created!
29/04/2022 15:41:55:315, robot_pos_w_timestamp, 1651243211917, 612.9, 280.93, 203.72, 2.36, -0.03, 3.07, tool_force, -0.61, 0.07, 7.28, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.0, joints_pos, 22.04, 57.48, 3.64, -66.97, 0.02, 52.4, 68.75, tool_torque, -0.153, 0.174, 0.287, robot_mode, normal, 
29/04/2022 15:41:55:402, robot_pos_w_timestamp, 1651243212042, 613.43, 279.35, 202.31, 2.36, -0.03, 3.07, tool_force, 1.76, 1.87, 8.2, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 15.96, joints_pos, 21.93, 57.61, 3.58, -66.95, -0.01, 52.38, 68.72, tool_torque, 0.191, -0.163, 0.36, robot_mode, normal, 
29/04/2022 15:41:55:553, robot_pos_w_timestamp, 1651243212192, 615.02, 273.33, 201.59, 2.35, -0.02, 3.08, tool_force, 0.02, 1.6, 7.69, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 38.99, joints_pos, 21.52, 57.57, 3.48, -67.14, -0.32, 52.37, 68.68, tool_torque, 0.136, 0.047, 0.282, robot_mode, normal, 
29/04/2022 15:41:55:707, robot_pos_w_timestamp, 1651243212339, 616.04, 267.64, 201.1, 2.35, -0.02, 3.08, tool_force, -0.38, 0.94, 7.23, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 37.18, joints_pos, 21.18, 57.49, 3.39, -67.39, -0.81, 52.4, 68.93, tool_torque, -0.051, 0.186, 0.067, robot_mode, normal, 
29/04/2022 15:41:55:853, robot_pos_w_timestamp, 1651243212489, 616.96, 261.88, 200.49, 2.34, -0.01, 3.09, tool_force, 0.04, 1.39, 7.43, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 35.86, joints_pos, 20.79, 57.42, 3.32, -67.61, -1.2, 52.48, 69.02, tool_torque, -0.037, 0.085, 0.147, robot_mode, normal, 
29/04/2022 15:41:56:006, robot_pos_w_timestamp, 1651243212636, 617.84, 256.02, 199.9, 2.34, -0.01, 3.09, tool_force, 0.0, 1.37, 7.63, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 39.4, joints_pos, 20.33, 57.37, 3.35, -67.82, -1.5, 52.61, 68.86, tool_torque, 0.029, -0.091, 0.342, robot_mode, normal, 
29/04/2022 15:41:56:153, robot_pos_w_timestamp, 1651243212786, 618.7, 250.29, 199.41, 2.34, -0.01, 3.1, tool_force, -0.1, 1.79, 7.18, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 40.74, joints_pos, 19.86, 57.26, 3.37, -68.12, -1.83, 52.52, 68.82, tool_torque, 0.261, -0.072, 0.346, robot_mode, normal, 
29/04/2022 15:41:56:307, robot_pos_w_timestamp, 1651243212935, 619.28, 244.51, 198.92, 2.33, 0.0, 3.1, tool_force, -0.13, 2.12, 6.98, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 38.28, joints_pos, 19.41, 57.1, 3.37, -68.53, -2.15, 52.29, 68.82, tool_torque, 0.337, 0.028, 0.312, robot_mode, normal, 
29/04/2022 15:41:56:459, robot_pos_w_timestamp, 1651243213083, 619.56, 238.71, 198.47, 2.33, 0.0, 3.1, tool_force, -0.13, 2.03, 7.43, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.01, joints_pos, 18.97, 56.96, 3.38, -68.89, -2.37, 52.25, 68.81, tool_torque, 0.356, -0.079, 0.383, robot_mode, normal, 
29/04/2022 15:41:56:610, robot_pos_w_timestamp, 1651243213232, 619.93, 232.83, 198.03, 2.32, 0.0, 3.11, tool_force, 0.22, 1.84, 7.03, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 38.84, joints_pos, 18.5, 56.84, 3.38, -69.21, -2.57, 52.25, 68.77, tool_torque, 0.31, -0.064, 0.396, robot_mode, normal, 
29/04/2022 15:41:56:763, robot_pos_w_timestamp, 1651243213383, 620.01, 226.98, 197.78, 2.32, 0.0, 3.11, tool_force, -0.02, 2.1, 7.5, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 37.67, joints_pos, 18.03, 56.67, 3.39, -69.6, -2.73, 52.26, 68.7, tool_torque, 0.303, -0.102, 0.423, robot_mode, normal, 
