29/04/2022 15:42:20: File Created!
29/04/2022 15:42:20:937, robot_pos_w_timestamp, 1651243237381, 612.87, 280.93, 203.71, 2.36, -0.03, 3.07, tool_force, -1.02, 0.08, 7.26, actual_rep, 2, curr_step, 1, track_size, 99, robot_vel, 29.47, joints_pos, 21.94, 57.49, 3.83, -66.97, -0.18, 52.4, 68.86, tool_torque, -0.174, 0.331, 0.085, robot_mode, normal, 
29/04/2022 15:42:21:058, robot_pos_w_timestamp, 1651243237502, 612.75, 280.89, 202.85, 2.36, -0.03, 3.07, tool_force, -0.95, -0.15, 7.16, actual_rep, 2, curr_step, 1, track_size, 99, robot_vel, 29.47, joints_pos, 21.94, 57.56, 3.83, -66.98, -0.18, 52.36, 68.86, tool_torque, -0.12, 0.375, 0.069, robot_mode, normal, 
29/04/2022 15:42:21:213, robot_pos_w_timestamp, 1651243237658, 613.84, 278.18, 202.11, 2.36, -0.03, 3.07, tool_force, 1.11, 1.52, 7.21, actual_rep, 2, curr_step, 2, track_size, 99, robot_vel, 30.76, joints_pos, 21.73, 57.62, 3.77, -66.99, -0.21, 52.34, 68.77, tool_torque, 0.152, -0.118, 0.266, robot_mode, normal, 
29/04/2022 15:42:21:321, robot_pos_w_timestamp, 1651243237801, 615.11, 272.57, 201.58, 2.35, -0.02, 3.08, tool_force, 0.97, 1.7, 7.51, actual_rep, 2, curr_step, 3, track_size, 99, robot_vel, 34.09, joints_pos, 21.37, 57.56, 3.67, -67.19, -0.59, 52.37, 68.86, tool_torque, 0.113, -0.188, 0.18, robot_mode, normal, 
29/04/2022 15:42:21:472, robot_pos_w_timestamp, 1651243237952, 616.17, 266.76, 201.0, 2.35, -0.02, 3.08, tool_force, -0.08, 1.33, 7.68, actual_rep, 2, curr_step, 3, track_size, 99, robot_vel, 35.9, joints_pos, 21.04, 57.48, 3.52, -67.42, -1.05, 52.42, 69.06, tool_torque, -0.014, 0.117, 0.029, robot_mode, normal, 
29/04/2022 15:42:21:623, robot_pos_w_timestamp, 1651243238101, 617.09, 261.09, 200.4, 2.34, -0.01, 3.09, tool_force, -0.04, 1.19, 7.16, actual_rep, 2, curr_step, 4, track_size, 99, robot_vel, 35.89, joints_pos, 20.66, 57.42, 3.46, -67.64, -1.41, 52.5, 69.08, tool_torque, -0.039, 0.059, 0.173, robot_mode, normal, 
29/04/2022 15:42:21:771, robot_pos_w_timestamp, 1651243238251, 617.97, 255.15, 199.8, 2.34, -0.01, 3.1, tool_force, 0.41, 1.44, 7.56, actual_rep, 2, curr_step, 5, track_size, 99, robot_vel, 35.97, joints_pos, 20.17, 57.36, 3.5, -67.86, -1.71, 52.62, 68.94, tool_torque, 0.054, -0.169, 0.366, robot_mode, normal, 
29/04/2022 15:42:21:946, robot_pos_w_timestamp, 1651243238398, 618.74, 249.46, 199.33, 2.34, -0.01, 3.1, tool_force, 0.04, 2.0, 7.19, actual_rep, 2, curr_step, 5, track_size, 99, robot_vel, 42.26, joints_pos, 19.72, 57.24, 3.52, -68.18, -2.04, 52.49, 68.94, tool_torque, 0.364, -0.038, 0.336, robot_mode, normal, 
29/04/2022 15:42:22:077, robot_pos_w_timestamp, 1651243238553, 619.32, 243.52, 198.83, 2.33, 0.0, 3.1, tool_force, 0.01, 2.29, 7.26, actual_rep, 2, curr_step, 6, track_size, 99, robot_vel, 40.12, joints_pos, 19.27, 57.09, 3.52, -68.59, -2.37, 52.28, 68.93, tool_torque, 0.407, -0.035, 0.357, robot_mode, normal, 
29/04/2022 15:42:22:228, robot_pos_w_timestamp, 1651243238702, 619.62, 237.78, 198.42, 2.33, 0.0, 3.1, tool_force, 0.4, 2.27, 7.28, actual_rep, 2, curr_step, 6, track_size, 99, robot_vel, 40.35, joints_pos, 18.81, 56.94, 3.53, -68.95, -2.57, 52.24, 68.9, tool_torque, 0.376, -0.108, 0.393, robot_mode, normal, 
29/04/2022 15:42:22:377, robot_pos_w_timestamp, 1651243238852, 619.98, 232.04, 197.97, 2.32, 0.0, 3.11, tool_force, 0.12, 2.05, 7.33, actual_rep, 2, curr_step, 7, track_size, 99, robot_vel, 38.98, joints_pos, 18.36, 56.82, 3.53, -69.26, -2.76, 52.24, 68.85, tool_torque, 0.355, -0.12, 0.425, robot_mode, normal, 
