29/04/2022 15:57:55: File Created!
29/04/2022 15:57:55:663, robot_pos_w_timestamp, 1651244173169, 612.9, 280.92, 203.78, 2.36, -0.03, 3.07, tool_force, -1.09, 0.24, 7.34, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.0, joints_pos, 21.53, 57.51, 4.57, -66.97, -0.97, 52.41, 69.3, tool_torque, -0.126, 0.407, 0.016, joint_torque, -0.44, 4.85, 0.03, -2.13, 0.1, -0.05, 0.1, robot_mode, normal, 
29/04/2022 15:57:55:784, robot_pos_w_timestamp, 1651244173306, 613.13, 279.97, 202.61, 2.36, -0.03, 3.07, tool_force, 0.47, 0.44, 7.24, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 22.79, joints_pos, 21.44, 57.62, 4.55, -66.97, -0.99, 52.4, 69.25, tool_torque, 0.0030, 0.031, 0.127, joint_torque, 0.91, 4.55, 0.52, -2.11, 0.15, -0.01, 0.17, robot_mode, normal, 
29/04/2022 15:57:55:971, robot_pos_w_timestamp, 1651244173457, 614.98, 274.03, 201.75, 2.35, -0.03, 3.08, tool_force, -0.33, 1.19, 7.53, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 41.81, joints_pos, 21.05, 57.62, 4.42, -67.07, -1.26, 52.44, 69.22, tool_torque, 0.041, 0.129, 0.211, joint_torque, -0.13, 4.75, -0.06, -1.94, 0.11, -0.07, 0.25, robot_mode, normal, 
29/04/2022 15:57:56:083, robot_pos_w_timestamp, 1651244173605, 615.98, 268.28, 201.15, 2.35, -0.02, 3.08, tool_force, -0.21, 1.31, 7.19, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 40.17, joints_pos, 20.72, 57.53, 4.27, -67.34, -1.7, 52.44, 69.45, tool_torque, 0.053, 0.081, 0.02, joint_torque, 0.53, 4.54, 0.25, -1.9, 0.12, -0.07, 0.01, robot_mode, normal, 
29/04/2022 15:57:56:235, robot_pos_w_timestamp, 1651244173751, 616.86, 262.54, 200.55, 2.34, -0.01, 3.09, tool_force, -0.42, 1.71, 8.12, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 40.9, joints_pos, 20.37, 57.46, 4.19, -67.58, -2.11, 52.49, 69.56, tool_torque, 0.088, 0.025, 0.114, joint_torque, 0.54, 5.11, 0.18, -2.0, 0.13, -0.13, 0.13, robot_mode, normal, 
29/04/2022 15:57:56:411, robot_pos_w_timestamp, 1651244173901, 617.72, 256.78, 199.98, 2.34, -0.01, 3.09, tool_force, 0.27, 1.86, 7.95, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 41.41, joints_pos, 19.91, 57.4, 4.21, -67.8, -2.39, 52.61, 69.4, tool_torque, 0.093, -0.092, 0.317, joint_torque, 0.37, 5.06, 0.08, -2.0, 0.14, -0.15, 0.34, robot_mode, normal, 
29/04/2022 15:57:56:704, robot_pos_w_timestamp, 1651244174200, 618.89, 245.3, 198.89, 2.33, -0.01, 3.1, tool_force, 1.62, 1.58, 7.51, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 37.14, joints_pos, 18.98, 57.14, 4.28, -68.51, -3.04, 52.35, 69.34, tool_torque, 0.533, 0.267, 0.197, joint_torque, 1.52, 5.35, 1.0, -2.65, 0.41, 0.46, 0.21, robot_mode, normal, 
29/04/2022 15:57:56:837, robot_pos_w_timestamp, 1651244174351, 619.22, 239.55, 198.4, 2.33, 0.0, 3.1, tool_force, 2.33, 1.76, 7.69, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.56, joints_pos, 18.53, 56.99, 4.28, -68.89, -3.28, 52.26, 69.32, tool_torque, 0.483, 0.232, 0.202, joint_torque, 1.65, 5.36, 1.03, -2.69, 0.41, 0.44, 0.21, robot_mode, normal, 
29/04/2022 15:57:56:984, robot_pos_w_timestamp, 1651244174497, 619.6, 233.72, 197.99, 2.32, 0.0, 3.11, tool_force, 1.89, 1.53, 7.65, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 38.31, joints_pos, 18.07, 56.87, 4.28, -69.22, -3.46, 52.26, 69.27, tool_torque, 0.466, 0.246, 0.223, joint_torque, 1.39, 5.53, 0.9, -2.74, 0.39, 0.42, 0.24, robot_mode, normal, 
29/04/2022 15:57:57:138, robot_pos_w_timestamp, 1651244174648, 619.82, 227.94, 197.72, 2.32, 0.0, 3.11, tool_force, 1.46, 1.51, 7.7, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 39.59, joints_pos, 17.6, 56.72, 4.29, -69.57, -3.64, 52.26, 69.23, tool_torque, 0.406, 0.098, 0.284, joint_torque, 1.05, 5.31, 0.59, -2.47, 0.29, 0.28, 0.3, robot_mode, normal, 
29/04/2022 15:57:57:287, robot_pos_w_timestamp, 1651244174794, 620.03, 222.01, 197.55, 2.31, 0.0, 3.12, tool_force, 0.5, 1.73, 7.5, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 42.91, joints_pos, 17.13, 56.57, 4.29, -69.9, -3.8, 52.3, 69.15, tool_torque, 0.254, -0.032, 0.362, joint_torque, 0.34, 4.89, 0.07, -2.06, 0.18, 0.04, 0.38, robot_mode, normal, 
29/04/2022 15:57:57:437, robot_pos_w_timestamp, 1651244174944, 620.02, 216.17, 197.5, 2.31, 0.0, 3.12, tool_force, 0.55, 1.86, 7.17, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 39.17, joints_pos, 16.69, 56.39, 4.28, -70.28, -4.09, 52.32, 69.17, tool_torque, 0.213, -0.129, 0.316, joint_torque, 0.37, 4.78, -0.02, -1.95, 0.15, -0.05, 0.3, robot_mode, normal, 
29/04/2022 15:57:57:589, robot_pos_w_timestamp, 1651244175092, 619.83, 210.34, 197.48, 2.3, 0.01, 3.13, tool_force, -0.49, 1.58, 7.51, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 36.85, joints_pos, 16.27, 56.18, 4.24, -70.7, -4.4, 52.3, 69.23, tool_torque, 0.151, 0.181, 0.163, joint_torque, -0.05, 4.62, -0.01, -1.8, 0.16, -0.01, 0.19, robot_mode, normal, 
29/04/2022 15:57:57:737, robot_pos_w_timestamp, 1651244175241, 619.31, 204.64, 197.53, 2.3, 0.01, 3.13, tool_force, 0.13, 1.65, 7.14, actual_rep, 1, curr_step, 9, track_size, 99, robot_vel, 39.92, joints_pos, 15.79, 55.97, 4.29, -71.11, -4.55, 52.37, 69.06, tool_torque, 0.136, -0.111, 0.385, joint_torque, 0.26, 4.97, -0.02, -2.03, 0.16, -0.1, 0.41, robot_mode, normal, 
29/04/2022 15:57:57:888, robot_pos_w_timestamp, 1651244175390, 618.82, 198.8, 197.67, 2.3, 0.0, 3.14, tool_force, 0.25, 1.78, 7.84, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 38.68, joints_pos, 15.26, 55.77, 4.36, -71.51, -4.56, 52.51, 68.68, tool_torque, 0.123, -0.211, 0.481, joint_torque, 0.16, 4.75, -0.14, -1.88, 0.16, -0.16, 0.5, robot_mode, normal, 
29/04/2022 15:57:58:047, robot_pos_w_timestamp, 1651244175539, 618.16, 193.04, 197.98, 2.3, 0.0, 3.14, tool_force, 0.2, 1.88, 7.37, actual_rep, 1, curr_step, 10, track_size, 99, robot_vel, 38.49, joints_pos, 14.76, 55.52, 4.39, -71.96, -4.61, 52.52, 68.27, tool_torque, 0.245, -0.164, 0.473, joint_torque, 0.0, 4.62, -0.26, -1.81, 0.15, -0.06, 0.48, robot_mode, normal, 
