29/04/2022 17:25:46: File Created!
29/04/2022 17:25:46:643, robot_pos_w_timestamp, 1651249444559, 612.9, 280.92, 203.78, 2.36, -0.03, 3.07, tool_force, -1.11, 0.41, 7.42, actual_rep, 1, curr_step, 1, track_size, 99, robot_vel, 0.0, joints_pos, 21.13, 57.54, 5.3, -66.97, -1.75, 52.42, 69.73, tool_torque, -0.086, 0.376, 0.018, joint_torque, -0.42, 4.89, -0.06, -2.11, 0.1, -0.05, 0.09, robot_mode, normal, 
29/04/2022 17:25:46:812, robot_pos_w_timestamp, 1651249444696, 613.22, 279.65, 202.59, 2.36, -0.03, 3.07, tool_force, 1.15, 0.9, 7.51, actual_rep, 1, curr_step, 2, track_size, 99, robot_vel, 18.04, joints_pos, 20.95, 57.68, 5.24, -66.97, -1.79, 52.33, 69.59, tool_torque, 0.26, 0.021, 0.216, joint_torque, 0.64, 5.09, 0.3, -2.01, 0.13, 0.0, 0.26, robot_mode, normal, 
29/04/2022 17:25:46:911, robot_pos_w_timestamp, 1651249444842, 614.97, 274.06, 201.77, 2.35, -0.03, 3.08, tool_force, -0.74, 1.14, 7.69, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 33.51, joints_pos, 20.64, 57.65, 5.16, -67.08, -2.0, 52.43, 69.59, tool_torque, 0.091, 0.137, 0.232, joint_torque, -0.05, 5.06, -0.04, -2.0, 0.12, -0.07, 0.27, robot_mode, normal, 
29/04/2022 17:25:47:065, robot_pos_w_timestamp, 1651249444990, 615.98, 268.32, 201.15, 2.35, -0.02, 3.08, tool_force, -0.43, 1.34, 7.27, actual_rep, 1, curr_step, 3, track_size, 99, robot_vel, 35.37, joints_pos, 20.33, 57.56, 5.0, -67.34, -2.45, 52.43, 69.85, tool_torque, 0.064, 0.148, 0.018, joint_torque, 0.23, 4.86, 0.05, -1.99, 0.12, -0.07, 0.01, robot_mode, normal, 
29/04/2022 17:25:47:217, robot_pos_w_timestamp, 1651249445142, 616.88, 262.51, 200.55, 2.34, -0.01, 3.09, tool_force, 0.07, 1.75, 7.69, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 39.87, joints_pos, 19.98, 57.49, 4.88, -67.57, -2.85, 52.54, 69.97, tool_torque, 0.101, -0.035, 0.123, joint_torque, 0.66, 4.86, 0.21, -1.94, 0.14, -0.12, 0.12, robot_mode, normal, 
29/04/2022 17:25:47:367, robot_pos_w_timestamp, 1651249445291, 617.81, 256.59, 199.96, 2.34, -0.01, 3.09, tool_force, -0.09, 1.73, 7.73, actual_rep, 1, curr_step, 4, track_size, 99, robot_vel, 38.95, joints_pos, 19.51, 57.43, 4.9, -67.79, -3.13, 52.64, 69.79, tool_torque, 0.093, -0.051, 0.298, joint_torque, 0.17, 4.91, -0.03, -1.91, 0.13, -0.14, 0.32, robot_mode, normal, 
29/04/2022 17:25:47:562, robot_pos_w_timestamp, 1651249445446, 618.69, 250.66, 199.44, 2.34, -0.01, 3.1, tool_force, -0.25, 1.76, 7.47, actual_rep, 1, curr_step, 5, track_size, 99, robot_vel, 40.69, joints_pos, 19.02, 57.33, 4.94, -68.08, -3.47, 52.57, 69.75, tool_torque, 0.238, -0.035, 0.314, joint_torque, 0.04, 4.74, -0.24, -1.9, 0.13, 0.01, 0.31, robot_mode, normal, 
29/04/2022 17:25:47:667, robot_pos_w_timestamp, 1651249445588, 619.19, 245.11, 198.94, 2.33, 0.0, 3.1, tool_force, -0.19, 2.17, 7.38, actual_rep, 1, curr_step, 6, track_size, 99, robot_vel, 39.38, joints_pos, 18.58, 57.17, 4.94, -68.49, -3.78, 52.35, 69.75, tool_torque, 0.4, -0.05, 0.306, joint_torque, 0.44, 5.02, -0.04, -1.94, 0.14, 0.07, 0.29, robot_mode, normal, 
29/04/2022 17:25:47:971, robot_pos_w_timestamp, 1651249445886, 619.91, 233.55, 198.07, 2.32, 0.0, 3.11, tool_force, 0.17, 2.29, 7.44, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 37.55, joints_pos, 17.67, 56.91, 4.94, -69.17, -4.2, 52.3, 69.7, tool_torque, 0.363, -0.106, 0.359, joint_torque, 0.28, 4.92, -0.13, -1.92, 0.14, 0.04, 0.35, robot_mode, normal, 
29/04/2022 17:25:48:141, robot_pos_w_timestamp, 1651249446053, 620.04, 227.07, 197.76, 2.32, 0.0, 3.11, tool_force, -0.07, 1.9, 7.17, actual_rep, 1, curr_step, 7, track_size, 99, robot_vel, 35.43, joints_pos, 17.14, 56.73, 4.95, -69.58, -4.37, 52.3, 69.62, tool_torque, 0.29, -0.084, 0.374, joint_torque, 0.12, 4.63, -0.17, -1.82, 0.15, 0.01, 0.37, robot_mode, normal, 
29/04/2022 17:25:48:275, robot_pos_w_timestamp, 1651249446183, 620.09, 221.93, 197.55, 2.31, 0.0, 3.12, tool_force, 0.05, 1.86, 7.4, actual_rep, 1, curr_step, 8, track_size, 99, robot_vel, 41.42, joints_pos, 16.73, 56.6, 4.96, -69.89, -4.5, 52.33, 69.56, tool_torque, 0.246, -0.118, 0.378, joint_torque, 0.21, 4.75, -0.16, -1.84, 0.16, -0.05, 0.37, robot_mode, normal, 
